Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m�);Chuva (mm)
2023/01/01;0000 UTC;25;26,5;24,9;;;;;;;1001,9;1001,9;1001,4;1;40;4,5;;0
2023/01/01;0100 UTC;24,3;25;24,2;;;;;;;1002,3;1002,3;1001,9;1,2;20;5,6;;0
2023/01/01;0200 UTC;23,5;24,3;23,4;;;;;;;1002,3;1002,5;1002,2;0,8;23;6,3;;0
2023/01/01;0300 UTC;22;23,6;21,8;;;;;;;1001,9;1002,3;1001,8;0,2;332;3,6;;0
2023/01/01;0400 UTC;21,9;22,1;21,5;;;;;;;1001,5;1002;1001,5;0,4;336;2,8;;0
2023/01/01;0500 UTC;21,3;22;21,2;;;;;;;1001,4;1001,6;1001,4;0,1;346;3,1;;0
2023/01/01;0600 UTC;19,3;21,8;19,3;;;;;;;1001,7;1001,8;1001,4;0;137;2,1;;0
2023/01/01;0700 UTC;18;19,3;18;;;;;;;1001,8;1001,9;1001,7;0;153;0,5;;0
2023/01/01;0800 UTC;17,3;18;17,3;;;;;;;1002;1002,2;1001,8;0;129;0;;0
2023/01/01;0900 UTC;20,4;20,4;17,3;;;;;;;1002,3;1002,4;1002;0,2;76;2,2;36;0
2023/01/01;1000 UTC;21,6;21,6;20,3;;;;;;;1002,8;1002,9;1002,3;0;21;2,6;279;0
2023/01/01;1100 UTC;23,9;24;21,6;;;;;;;1002,7;1003;1002,7;0,5;72;2,7;996;0
2023/01/01;1200 UTC;26,1;26,7;23,7;;;;;;;1002,5;1002,7;1002,5;1;101;3,8;2177,8;0
2023/01/01;1300 UTC;29;29,2;26,1;;;;;;;1002,1;1002,5;1002,1;1;49;3,3;2861,9;0
2023/01/01;1400 UTC;30,7;31;29;;;;;;;1001,5;1002,1;1001,4;0,8;77;3,8;3326,3;0
2023/01/01;1500 UTC;32;32,4;30,7;;;;;;;1001;1001,5;1000,9;1,8;64;5,1;3599,2;0
2023/01/01;1600 UTC;32,5;33,2;31,6;;;;;;;1000,3;1001;1000,3;1,7;85;5,1;3676,8;0
2023/01/01;1700 UTC;32,3;33,9;32,3;;;;;;;999,6;1000,3;999,6;2,4;145;7,2;3535,6;0
2023/01/01;1800 UTC;31,9;33;31,1;;;;;;;999,1;999,7;999,1;2,1;118;6,5;2743,5;0
2023/01/01;1900 UTC;30,6;31,9;30,2;;;;;;;998,7;999,2;998,7;2,5;90;6,5;2119,6;0
2023/01/01;2000 UTC;29,1;31,5;29,1;;;;;;;997,7;998,7;997,7;2,2;64;8,9;1749,7;0
2023/01/01;2100 UTC;27,9;29,1;27,9;;;;;;;997,3;997,8;997,3;1,4;83;6,4;651;0
