"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,3";"28,5";"27,0";"38,0";"38,0";"35,0";"11,6";"12,2";"11,5";"959,6";"959,6";"959,3";"2,2";"153,0";"5,6";"";"0,0"
"01/01/2023";"0100";"26,1";"27,3";"25,9";"41,0";"42,0";"38,0";"11,9";"12,0";"11,5";"960,1";"960,1";"959,6";"2,2";"130,0";"4,6";"";"0,0"
"01/01/2023";"0200";"25,0";"26,1";"24,8";"47,0";"47,0";"41,0";"13,0";"13,0";"11,8";"960,4";"960,4";"960,1";"2,7";"119,0";"5,3";"";"0,0"
"01/01/2023";"0300";"23,6";"25,0";"23,6";"55,0";"55,0";"47,0";"14,1";"14,1";"13,0";"960,3";"960,5";"960,3";"2,8";"93,0";"4,6";"";"0,0"
"01/01/2023";"0400";"23,4";"24,2";"23,3";"58,0";"58,0";"54,0";"14,8";"14,8";"14,1";"960,1";"960,3";"960,1";"3,1";"100,0";"5,6";"";"0,0"
"01/01/2023";"0500";"22,2";"23,6";"22,0";"65,0";"66,0";"58,0";"15,4";"15,5";"14,9";"959,9";"960,1";"959,9";"2,7";"100,0";"6,0";"";"0,0"
"01/01/2023";"0600";"20,7";"22,2";"20,7";"74,0";"74,0";"65,0";"15,9";"15,9";"15,4";"960,0";"960,0";"959,8";"2,8";"83,0";"4,6";"";"0,0"
"01/01/2023";"0700";"20,8";"20,9";"20,6";"74,0";"75,0";"73,0";"15,9";"16,1";"15,9";"959,8";"960,0";"959,8";"3,1";"79,0";"4,9";"";"0,0"
"01/01/2023";"0800";"20,5";"20,8";"20,2";"75,0";"76,0";"74,0";"15,9";"15,9";"15,8";"960,2";"960,2";"959,8";"2,7";"67,0";"5,1";"";"0,0"
"01/01/2023";"0900";"20,3";"20,8";"20,3";"77,0";"77,0";"73,0";"16,3";"16,3";"15,8";"960,8";"960,8";"960,2";"2,7";"71,0";"5,5";"11,50";"0,0"
"01/01/2023";"1000";"22,9";"22,9";"20,3";"72,0";"77,0";"72,0";"17,5";"17,7";"16,3";"961,2";"961,2";"960,8";"2,2";"68,0";"5,3";"399,20";"0,0"
"01/01/2023";"1100";"24,7";"24,8";"22,9";"68,0";"73,0";"68,0";"18,4";"18,7";"17,3";"961,6";"961,6";"961,1";"3,8";"57,0";"8,3";"1145,40";"0,0"
"01/01/2023";"1200";"27,8";"27,9";"24,6";"59,0";"69,0";"58,0";"19,0";"19,7";"18,3";"961,6";"961,7";"961,5";"3,7";"35,0";"9,4";"1977,90";"0,0"
"01/01/2023";"1300";"30,4";"30,8";"27,8";"52,0";"59,0";"51,0";"19,3";"20,1";"18,7";"961,4";"961,7";"961,4";"3,2";"358,0";"8,6";"2742,10";"0,0"
"01/01/2023";"1400";"31,5";"32,0";"30,2";"49,0";"54,0";"48,0";"19,3";"20,6";"18,9";"960,8";"961,4";"960,8";"3,0";"336,0";"8,2";"3197,60";"0,0"
"01/01/2023";"1500";"33,0";"33,0";"31,1";"42,0";"51,0";"42,0";"18,6";"20,3";"18,1";"960,1";"960,8";"960,1";"3,1";"314,0";"7,8";"3515,20";"0,0"
"01/01/2023";"1600";"33,2";"33,7";"31,7";"39,0";"45,0";"36,0";"17,6";"19,4";"16,1";"959,5";"960,1";"959,5";"2,7";"1,0";"7,0";"2731,30";"0,0"
"01/01/2023";"1700";"34,7";"34,7";"32,4";"37,0";"41,0";"34,0";"17,7";"18,3";"15,6";"958,7";"959,5";"958,7";"3,1";"6,0";"9,9";"2943,60";"0,0"
"01/01/2023";"1800";"32,8";"34,9";"32,7";"37,0";"40,0";"33,0";"16,4";"17,8";"15,7";"957,8";"958,7";"957,8";"2,2";"24,0";"6,1";"2031,90";"0,0"
"01/01/2023";"1900";"35,4";"35,5";"32,8";"32,0";"39,0";"32,0";"16,0";"18,2";"15,2";"957,0";"957,8";"957,0";"2,4";"17,0";"5,8";"1556,10";"0,0"
"01/01/2023";"2000";"34,4";"35,9";"33,6";"32,0";"34,0";"29,0";"15,3";"16,7";"13,9";"956,0";"957,0";"956,0";"1,6";"278,0";"6,7";"1826,40";"0,0"
"01/01/2023";"2100";"31,4";"35,1";"31,4";"45,0";"45,0";"30,0";"18,1";"18,1";"14,7";"955,6";"956,0";"955,5";"2,0";"139,0";"4,9";"1216,60";"0,0"
"01/01/2023";"2200";"30,4";"31,4";"30,4";"45,0";"49,0";"42,0";"17,2";"18,6";"16,6";"955,6";"955,7";"955,4";"1,8";"64,0";"4,9";"213,00";"0,0"
"01/01/2023";"2300";"29,3";"30,5";"29,1";"48,0";"49,0";"42,0";"17,2";"17,5";"16,3";"955,7";"956,1";"955,6";"2,4";"36,0";"6,9";"30,00";"0,0"
"02/01/2023";"0000";"29,1";"29,3";"28,4";"49,0";"52,0";"48,0";"17,2";"17,7";"17,2";"956,7";"956,7";"955,7";"2,2";"35,0";"3,5";"";"0,0"
"02/01/2023";"0100";"28,0";"29,2";"28,0";"54,0";"55,0";"49,0";"17,9";"18,0";"17,2";"957,6";"957,6";"956,6";"1,5";"18,0";"3,8";"";"0,0"
"02/01/2023";"0200";"28,1";"28,7";"27,9";"52,0";"54,0";"50,0";"17,4";"17,9";"17,2";"957,7";"957,8";"957,5";"1,6";"24,0";"3,1";"";"0,0"
"02/01/2023";"0300";"25,2";"28,3";"24,2";"70,0";"79,0";"51,0";"19,4";"20,3";"17,2";"959,0";"959,0";"957,7";"2,6";"182,0";"6,3";"3,80";"0,6"
