"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"22,9";"24,0";"22,9";"87,0";"87,0";"84,0";"20,6";"21,1";"20,6";"1009,5";"1009,7";"1009,3";"0,2";"141,0";"4,0";"";"0,0"
"01/01/2023";"0100";"22,3";"22,9";"22,3";"89,0";"89,0";"86,0";"20,4";"20,6";"20,1";"1009,9";"1009,9";"1009,5";"0,0";"137,0";"4,1";"";"0,0"
"01/01/2023";"0200";"21,8";"22,3";"21,7";"92,0";"92,0";"89,0";"20,4";"20,8";"20,3";"1010,0";"1010,0";"1009,9";"0,0";"139,0";"2,8";"";"0,0"
"01/01/2023";"0300";"21,4";"21,8";"21,4";"94,0";"94,0";"92,0";"20,4";"20,5";"20,3";"1009,9";"1010,1";"1009,9";"0,0";"120,0";"0,0";"";"0,0"
"01/01/2023";"0400";"21,0";"21,4";"21,0";"95,0";"96,0";"94,0";"20,3";"20,4";"20,2";"1009,6";"1009,9";"1009,6";"0,0";"112,0";"0,0";"";"0,0"
"01/01/2023";"0500";"20,8";"21,0";"20,6";"97,0";"97,0";"95,0";"20,2";"20,3";"20,0";"1009,5";"1009,7";"1009,5";"0,0";"126,0";"0,0";"";"0,0"
"01/01/2023";"0600";"20,6";"20,9";"20,4";"97,0";"97,0";"96,0";"20,2";"20,5";"19,9";"1009,3";"1009,5";"1009,3";"0,0";"266,0";"0,0";"";"0,0"
"01/01/2023";"0700";"21,3";"21,3";"20,6";"98,0";"98,0";"97,0";"20,9";"20,9";"20,2";"1008,9";"1009,3";"1008,9";"0,0";"333,0";"0,0";"";"0,0"
"01/01/2023";"0800";"21,9";"22,0";"21,3";"97,0";"98,0";"97,0";"21,4";"21,5";"21,0";"1009,1";"1009,1";"1008,8";"0,0";"110,0";"0,0";"1,30";"0,0"
"01/01/2023";"0900";"21,7";"21,9";"21,5";"98,0";"98,0";"97,0";"21,3";"21,5";"21,1";"1009,4";"1009,6";"1009,1";"0,0";"90,0";"0,0";"23,50";"0,0"
"01/01/2023";"1000";"22,2";"22,2";"21,6";"97,0";"98,0";"97,0";"21,7";"21,7";"21,2";"1009,5";"1009,6";"1009,3";"0,0";"60,0";"0,0";"294,80";"0,0"
"01/01/2023";"1100";"25,5";"25,5";"22,1";"84,0";"97,0";"84,0";"22,7";"22,7";"21,6";"1009,3";"1009,5";"1009,2";"0,0";"104,0";"0,0";"1249,70";"0,0"
"01/01/2023";"1200";"27,5";"27,7";"25,3";"63,0";"84,0";"62,0";"19,9";"22,8";"19,6";"1009,3";"1009,4";"1009,2";"0,0";"42,0";"0,0";"2045,80";"0,0"
"01/01/2023";"1300";"30,6";"30,6";"27,3";"51,0";"65,0";"51,0";"19,2";"20,2";"18,5";"1008,8";"1009,3";"1008,7";"0,0";"26,0";"0,0";"2741,10";"0,0"
"01/01/2023";"1400";"32,8";"33,4";"30,1";"32,0";"51,0";"31,0";"13,7";"19,1";"13,7";"1008,3";"1008,8";"1008,2";"0,8";"66,0";"3,8";"3168,90";"0,0"
"01/01/2023";"1500";"34,4";"35,4";"32,7";"31,0";"32,0";"26,0";"14,9";"15,4";"11,8";"1007,4";"1008,3";"1007,4";"1,1";"73,0";"4,9";"3541,80";"0,0"
"01/01/2023";"1600";"34,9";"35,7";"34,1";"32,0";"34,0";"26,0";"15,9";"16,6";"12,7";"1006,6";"1007,4";"1006,6";"1,5";"86,0";"5,4";"3575,40";"0,0"
"01/01/2023";"1700";"33,1";"34,9";"31,9";"51,0";"55,0";"32,0";"21,6";"22,0";"15,5";"1005,9";"1006,7";"1005,9";"2,4";"88,0";"5,7";"2535,90";"0,0"
"01/01/2023";"1800";"31,2";"33,2";"31,2";"53,0";"57,0";"50,0";"20,4";"22,4";"20,4";"1005,2";"1006,0";"1005,2";"2,0";"89,0";"5,7";"2113,40";"0,0"
"01/01/2023";"1900";"30,8";"31,9";"30,8";"57,0";"57,0";"51,0";"21,4";"21,5";"19,8";"1004,3";"1005,2";"1004,3";"3,1";"92,0";"6,0";"1699,90";"0,0"
"01/01/2023";"2000";"29,6";"31,3";"29,6";"67,0";"67,0";"57,0";"22,7";"23,0";"21,4";"1004,0";"1004,5";"1003,9";"2,2";"86,0";"5,4";"1504,10";"0,0"
"01/01/2023";"2100";"30,0";"30,0";"29,2";"66,0";"71,0";"66,0";"23,0";"23,8";"22,8";"1002,9";"1004,0";"1002,9";"1,8";"76,0";"5,1";"939,00";"0,0"
"01/01/2023";"2200";"28,4";"30,5";"28,4";"72,0";"72,0";"65,0";"22,7";"23,3";"22,5";"1002,4";"1003,1";"1002,3";"1,3";"74,0";"5,1";"541,60";"0,0"
"01/01/2023";"2300";"27,4";"28,4";"27,3";"75,0";"76,0";"72,0";"22,6";"22,8";"22,6";"1003,0";"1003,0";"1002,4";"0,0";"63,0";"4,6";"74,30";"0,0"
"02/01/2023";"0000";"27,1";"27,4";"27,1";"73,0";"76,0";"71,0";"21,7";"22,6";"21,6";"1003,1";"1003,1";"1002,2";"1,7";"58,0";"5,1";"";"0,0"
"02/01/2023";"0100";"26,5";"27,1";"26,5";"76,0";"77,0";"73,0";"21,9";"22,1";"21,7";"1003,8";"1003,8";"1003,1";"0,4";"62,0";"5,1";"";"0,0"
"02/01/2023";"0200";"25,9";"26,5";"25,9";"79,0";"79,0";"76,0";"22,0";"22,0";"21,8";"1003,8";"1003,9";"1003,6";"0,2";"49,0";"3,8";"";"0,0"
"02/01/2023";"0300";"26,5";"27,3";"25,9";"67,0";"79,0";"61,0";"19,8";"22,0";"19,1";"1005,1";"1005,7";"1003,8";"2,8";"306,0";"7,2";"";"0,0"
