"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"24,6";"27,2";"24,5";"50,0";"51,0";"38,0";"13,6";"13,6";"11,4";"919,2";"919,2";"918,9";"2,4";"102,0";"6,2";"";"0,0"
"01/01/2023";"0100";"25,0";"25,1";"24,4";"46,0";"52,0";"46,0";"12,7";"13,8";"12,6";"919,5";"919,5";"919,2";"2,5";"111,0";"4,2";"";"0,0"
"01/01/2023";"0200";"22,3";"25,1";"22,3";"62,0";"62,0";"46,0";"14,7";"14,7";"12,7";"920,0";"920,0";"919,5";"1,8";"75,0";"6,7";"";"0,0"
"01/01/2023";"0300";"22,0";"22,5";"21,9";"70,0";"70,0";"62,0";"16,3";"16,4";"14,7";"920,0";"920,2";"920,0";"3,5";"50,0";"7,6";"";"0,0"
"01/01/2023";"0400";"21,5";"22,1";"21,5";"75,0";"75,0";"70,0";"16,8";"16,8";"16,4";"919,9";"920,0";"919,8";"3,7";"41,0";"7,6";"";"0,0"
"01/01/2023";"0500";"21,1";"21,6";"21,0";"76,0";"77,0";"74,0";"16,8";"17,0";"16,8";"919,8";"919,9";"919,8";"3,5";"46,0";"7,8";"";"0,0"
"01/01/2023";"0600";"20,2";"21,2";"20,1";"80,0";"80,0";"76,0";"16,6";"16,8";"16,4";"920,0";"920,0";"919,8";"2,4";"44,0";"7,2";"";"0,0"
"01/01/2023";"0700";"19,5";"20,2";"19,5";"84,0";"84,0";"80,0";"16,7";"16,7";"16,6";"920,1";"920,1";"919,9";"3,4";"30,0";"6,5";"";"0,0"
"01/01/2023";"0800";"18,8";"19,5";"18,7";"87,0";"87,0";"84,0";"16,5";"16,7";"16,5";"920,4";"920,5";"920,1";"3,1";"29,0";"6,4";"";"0,0"
"01/01/2023";"0900";"18,5";"18,8";"18,4";"86,0";"87,0";"86,0";"16,1";"16,5";"16,0";"920,8";"920,8";"920,4";"3,2";"44,0";"6,1";"42,30";"0,0"
"01/01/2023";"1000";"19,9";"20,1";"18,5";"80,0";"86,0";"80,0";"16,3";"16,8";"16,1";"921,3";"921,3";"920,8";"2,9";"41,0";"5,9";"573,80";"0,0"
"01/01/2023";"1100";"21,4";"21,6";"19,8";"74,0";"80,0";"73,0";"16,4";"16,9";"16,0";"921,5";"921,5";"921,3";"4,5";"21,0";"7,6";"1431,20";"0,0"
"01/01/2023";"1200";"24,0";"24,0";"21,3";"64,0";"74,0";"64,0";"16,9";"17,2";"16,2";"921,5";"921,6";"921,5";"3,4";"34,0";"7,7";"2299,00";"0,0"
"01/01/2023";"1300";"26,1";"26,1";"23,5";"55,0";"65,0";"52,0";"16,2";"17,2";"15,0";"921,4";"921,6";"921,4";"4,0";"352,0";"6,9";"3018,90";"0,0"
"01/01/2023";"1400";"27,3";"28,1";"25,9";"52,0";"55,0";"48,0";"16,7";"17,2";"15,5";"920,8";"921,4";"920,8";"4,0";"351,0";"7,7";"3532,30";"0,0"
"01/01/2023";"1500";"28,1";"28,9";"27,4";"45,0";"52,0";"44,0";"15,2";"17,3";"14,8";"920,3";"920,8";"920,3";"3,0";"345,0";"7,7";"3494,40";"0,0"
"01/01/2023";"1600";"29,3";"30,1";"28,1";"42,0";"49,0";"39,0";"15,0";"16,7";"14,2";"919,6";"920,3";"919,6";"2,8";"342,0";"7,2";"3466,60";"0,0"
"01/01/2023";"1700";"30,0";"31,0";"28,7";"38,0";"43,0";"34,0";"14,2";"15,7";"12,9";"918,9";"919,6";"918,9";"1,8";"39,0";"6,5";"2356,00";"0,0"
"01/01/2023";"1800";"30,7";"31,6";"29,5";"34,0";"40,0";"31,0";"13,2";"15,5";"12,1";"918,1";"918,9";"918,1";"2,4";"352,0";"6,1";"3108,50";"0,0"
"01/01/2023";"1900";"30,4";"31,6";"30,3";"32,0";"36,0";"30,0";"12,1";"13,9";"11,5";"917,5";"918,1";"917,5";"1,7";"18,0";"6,9";"2835,50";"0,0"
"01/01/2023";"2000";"30,5";"31,0";"30,1";"33,0";"35,0";"32,0";"12,3";"13,4";"11,9";"916,8";"917,5";"916,8";"2,2";"16,0";"5,5";"1382,70";"0,0"
"01/01/2023";"2100";"29,7";"30,8";"29,6";"35,0";"37,0";"30,0";"12,7";"13,2";"11,1";"916,4";"916,8";"916,4";"2,7";"9,0";"5,1";"950,70";"0,0"
"01/01/2023";"2200";"28,9";"29,7";"28,9";"39,0";"39,0";"35,0";"13,5";"13,7";"12,6";"916,4";"916,4";"916,2";"2,2";"32,0";"4,4";"567,30";"0,0"
"01/01/2023";"2300";"26,9";"28,9";"26,9";"46,0";"46,0";"39,0";"14,3";"14,4";"13,5";"916,7";"916,7";"916,4";"2,8";"30,0";"4,3";"31,50";"0,0"
"02/01/2023";"0000";"25,7";"26,9";"25,7";"52,0";"52,0";"46,0";"15,2";"15,2";"14,0";"917,4";"917,4";"916,7";"3,2";"18,0";"9,0";"";"0,0"
"02/01/2023";"0100";"24,8";"25,8";"24,8";"58,0";"58,0";"52,0";"16,0";"16,0";"15,2";"918,4";"918,4";"917,4";"2,9";"35,0";"7,1";"";"0,0"
"02/01/2023";"0200";"23,6";"24,9";"23,6";"65,0";"65,0";"58,0";"16,7";"16,7";"16,1";"919,0";"919,0";"918,4";"4,6";"43,0";"8,0";"";"0,0"
"02/01/2023";"0300";"22,4";"23,6";"22,4";"74,0";"74,0";"65,0";"17,5";"17,5";"16,7";"918,7";"919,0";"918,5";"5,6";"34,0";"10,0";"";"0,0"
"02/01/2023";"0400";"21,7";"22,4";"21,6";"79,0";"79,0";"74,0";"17,8";"17,8";"17,5";"917,8";"918,7";"917,8";"4,7";"34,0";"9,5";"";"0,0"
"02/01/2023";"0500";"21,1";"21,7";"21,1";"79,0";"79,0";"79,0";"17,3";"17,8";"17,3";"917,3";"917,9";"917,3";"4,8";"34,0";"10,7";"";"0,0"
"02/01/2023";"0600";"20,6";"21,1";"20,6";"80,0";"80,0";"79,0";"17,0";"17,3";"17,0";"917,0";"917,3";"916,9";"5,0";"28,0";"10,1";"";"0,0"
"02/01/2023";"0700";"20,3";"20,6";"20,3";"81,0";"81,0";"80,0";"16,9";"17,0";"16,9";"916,7";"917,1";"916,6";"5,2";"30,0";"11,8";"";"0,0"
"02/01/2023";"0800";"20,0";"20,3";"19,9";"83,0";"83,0";"81,0";"16,9";"16,9";"16,8";"917,7";"917,7";"916,5";"3,6";"3,0";"10,4";"";"0,0"
"02/01/2023";"0900";"20,4";"20,5";"20,0";"81,0";"83,0";"81,0";"17,1";"17,2";"16,9";"918,0";"918,1";"917,7";"2,5";"11,0";"9,2";"4,10";"0,0"
"02/01/2023";"1000";"20,3";"20,5";"20,3";"81,0";"83,0";"81,0";"16,9";"17,3";"16,9";"917,8";"918,0";"917,8";"3,7";"28,0";"6,5";"104,10";"0,0"
"02/01/2023";"1100";"20,3";"20,5";"20,3";"82,0";"82,0";"81,0";"17,1";"17,2";"16,9";"918,5";"918,5";"917,8";"4,4";"13,0";"8,7";"223,00";"0,0"
"02/01/2023";"1200";"19,9";"20,4";"19,8";"89,0";"89,0";"82,0";"18,0";"18,0";"17,1";"918,5";"918,6";"918,4";"4,2";"356,0";"9,7";"512,00";"0,0"
"02/01/2023";"1300";"21,6";"21,8";"19,8";"82,0";"90,0";"82,0";"18,4";"19,3";"17,9";"917,7";"918,5";"917,7";"3,0";"330,0";"7,5";"1489,10";"0,0"
"02/01/2023";"1400";"22,0";"22,7";"21,4";"84,0";"84,0";"77,0";"19,1";"19,1";"17,9";"917,6";"917,8";"917,5";"3,4";"349,0";"6,8";"1620,10";"0,0"
"02/01/2023";"1500";"23,7";"24,3";"21,8";"71,0";"84,0";"69,0";"18,2";"19,5";"18,1";"917,4";"917,6";"917,3";"3,7";"355,0";"7,5";"2480,50";"0,0"
