"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,0";"29,4";"27,0";"51,0";"51,0";"42,0";"15,9";"16,1";"14,9";"998,3";"998,3";"998,1";"0,9";"93,0";"2,0";"";"0,0"
"01/01/2023";"0100";"23,8";"26,9";"23,8";"64,0";"64,0";"50,0";"16,5";"16,8";"15,6";"998,7";"998,7";"998,3";"0,9";"111,0";"1,8";"";"0,0"
"01/01/2023";"0200";"23,1";"24,0";"23,1";"67,0";"67,0";"62,0";"16,5";"16,7";"16,1";"999,2";"999,2";"998,7";"0,5";"174,0";"1,3";"";"0,0"
"01/01/2023";"0300";"22,1";"23,0";"21,5";"71,0";"75,0";"65,0";"16,5";"17,0";"15,9";"999,2";"999,2";"999,1";"0,9";"132,0";"2,4";"";"0,0"
"01/01/2023";"0400";"22,4";"23,2";"21,6";"71,0";"72,0";"65,0";"16,9";"16,9";"16,0";"998,9";"999,2";"998,9";"1,0";"101,0";"2,2";"";"0,0"
"01/01/2023";"0500";"22,1";"22,5";"22,1";"76,0";"76,0";"71,0";"17,7";"17,7";"16,9";"999,0";"999,0";"998,9";"1,1";"87,0";"3,6";"";"0,0"
"01/01/2023";"0600";"21,1";"22,1";"21,1";"79,0";"80,0";"76,0";"17,4";"18,0";"17,4";"998,9";"999,0";"998,9";"0,9";"119,0";"3,6";"";"0,0"
"01/01/2023";"0700";"20,3";"21,1";"20,3";"84,0";"84,0";"79,0";"17,5";"17,6";"17,2";"998,6";"998,9";"998,6";"0,8";"79,0";"1,9";"";"0,0"
"01/01/2023";"0800";"20,1";"20,6";"20,0";"88,0";"89,0";"83,0";"18,0";"18,3";"17,4";"999,0";"999,1";"998,6";"0,7";"88,0";"1,6";"";"0,0"
"01/01/2023";"0900";"19,2";"20,1";"18,8";"94,0";"95,0";"87,0";"18,2";"18,4";"17,8";"999,6";"999,6";"999,0";"0,2";"26,0";"1,4";"19,50";"0,0"
"01/01/2023";"1000";"22,1";"22,5";"19,2";"82,0";"95,0";"82,0";"19,0";"19,5";"18,2";"999,7";"999,7";"999,5";"1,2";"81,0";"2,5";"323,50";"0,0"
"01/01/2023";"1100";"24,2";"24,6";"22,1";"74,0";"83,0";"73,0";"19,2";"20,1";"18,8";"999,9";"999,9";"999,7";"2,2";"115,0";"4,6";"1183,60";"0,0"
"01/01/2023";"1200";"28,1";"28,3";"24,2";"62,0";"75,0";"62,0";"20,1";"20,6";"19,4";"999,6";"999,9";"999,6";"1,9";"95,0";"4,6";"1908,50";"0,0"
"01/01/2023";"1300";"32,6";"33,1";"28,1";"45,0";"63,0";"44,0";"19,2";"21,4";"19,1";"999,2";"999,6";"999,2";"2,4";"18,0";"5,2";"2676,30";"0,0"
"01/01/2023";"1400";"34,4";"34,7";"32,3";"41,0";"47,0";"39,0";"19,3";"20,3";"18,5";"998,6";"999,2";"998,6";"3,3";"322,0";"6,1";"3182,70";"0,0"
"01/01/2023";"1500";"35,6";"36,3";"34,2";"35,0";"42,0";"34,0";"17,6";"20,2";"17,6";"997,9";"998,6";"997,9";"2,8";"17,0";"6,9";"3382,50";"0,0"
"01/01/2023";"1600";"36,5";"36,9";"35,3";"33,0";"36,0";"31,0";"17,7";"18,6";"16,0";"997,2";"998,0";"997,1";"2,2";"7,0";"7,0";"2552,30";"0,0"
"01/01/2023";"1700";"37,8";"37,9";"36,0";"32,0";"35,0";"30,0";"18,3";"19,0";"16,4";"996,2";"997,2";"996,2";"1,9";"360,0";"5,2";"2517,30";"0,0"
"01/01/2023";"1800";"38,1";"38,4";"36,3";"30,0";"34,0";"28,0";"17,4";"18,6";"16,0";"995,3";"996,2";"995,3";"1,4";"62,0";"3,9";"2027,20";"0,0"
"01/01/2023";"1900";"38,0";"38,5";"36,9";"29,0";"32,0";"27,0";"16,8";"17,9";"16,0";"994,4";"995,3";"994,4";"2,1";"48,0";"5,9";"2467,90";"0,0"
"01/01/2023";"2000";"35,0";"38,3";"34,9";"42,0";"42,0";"28,0";"20,0";"20,1";"16,0";"993,5";"994,4";"993,5";"3,6";"82,0";"7,5";"1360,60";"0,0"
"01/01/2023";"2100";"33,8";"35,0";"33,8";"46,0";"46,0";"41,0";"20,5";"20,7";"19,5";"993,1";"993,5";"993,0";"3,0";"89,0";"6,6";"580,20";"0,0"
"01/01/2023";"2200";"25,4";"33,8";"25,3";"74,0";"77,0";"46,0";"20,4";"21,2";"18,7";"994,4";"994,4";"992,7";"6,0";"42,0";"12,1";"75,60";"0,6"
"01/01/2023";"2300";"24,0";"25,7";"23,8";"82,0";"85,0";"67,0";"20,8";"21,5";"19,2";"994,8";"995,2";"994,2";"2,1";"155,0";"12,1";"";"1,0"
"02/01/2023";"0000";"25,1";"25,1";"23,8";"76,0";"83,0";"76,0";"20,6";"21,6";"20,2";"994,7";"994,8";"994,2";"2,7";"35,0";"5,2";"";"0,0"
"02/01/2023";"0100";"24,3";"26,0";"24,3";"87,0";"87,0";"74,0";"22,1";"22,1";"20,4";"998,1";"998,1";"994,7";"3,5";"188,0";"8,6";"";"0,4"
"02/01/2023";"0200";"23,5";"24,4";"22,7";"95,0";"100,0";"86,0";"22,6";"23,2";"22,0";"998,6";"999,1";"997,5";"2,5";"195,0";"7,4";"";"5,0"
"02/01/2023";"0300";"23,2";"23,5";"23,1";"98,0";"98,0";"94,0";"22,9";"22,9";"22,4";"998,0";"998,7";"998,0";"1,2";"37,0";"5,7";"";"0,2"
"02/01/2023";"0400";"23,1";"23,3";"23,1";"97,0";"100,0";"96,0";"22,5";"23,2";"22,5";"996,8";"998,0";"996,8";"2,5";"40,0";"4,6";"";"0,2"
"02/01/2023";"0500";"23,0";"23,1";"22,9";"99,0";"99,0";"95,0";"22,9";"22,9";"22,2";"996,0";"996,8";"995,9";"0,3";"146,0";"3,5";"";"0,0"
"02/01/2023";"0600";"22,9";"23,0";"22,7";"97,0";"100,0";"97,0";"22,4";"22,9";"22,4";"996,1";"996,1";"995,6";"1,0";"321,0";"2,4";"";"0,0"
"02/01/2023";"0700";"23,1";"23,1";"22,8";"98,0";"99,0";"95,0";"22,7";"22,8";"22,2";"995,8";"996,6";"995,8";"0,6";"158,0";"4,2";"";"0,0"
"02/01/2023";"0800";"23,6";"23,7";"22,8";"91,0";"100,0";"89,0";"22,0";"22,9";"21,8";"994,1";"995,8";"994,1";"2,0";"23,0";"3,5";"";"0,0"
"02/01/2023";"0900";"23,1";"23,6";"23,0";"96,0";"96,0";"90,0";"22,5";"22,5";"21,8";"995,9";"995,9";"994,1";"1,7";"181,0";"3,3";"17,70";"0,0"
"02/01/2023";"1000";"24,3";"24,3";"23,0";"92,0";"99,0";"91,0";"22,9";"23,2";"22,4";"996,8";"996,8";"996,0";"0,9";"163,0";"3,3";"330,30";"0,0"
"02/01/2023";"1100";"24,6";"25,3";"24,3";"86,0";"92,0";"84,0";"22,2";"23,2";"22,2";"997,2";"997,2";"996,8";"0,8";"284,0";"2,3";"713,50";"0,0"
"02/01/2023";"1200";"27,5";"27,5";"24,6";"70,0";"89,0";"70,0";"21,6";"23,4";"21,6";"996,9";"997,2";"996,9";"1,6";"339,0";"3,5";"1525,90";"0,0"
"02/01/2023";"1300";"29,2";"29,4";"27,4";"60,0";"73,0";"59,0";"20,6";"22,3";"20,5";"996,6";"996,9";"996,5";"2,8";"307,0";"5,4";"2584,60";"0,0"
"02/01/2023";"1400";"30,1";"30,2";"29,0";"61,0";"64,0";"58,0";"21,6";"21,9";"20,5";"995,9";"996,6";"995,9";"3,2";"328,0";"6,8";"2279,40";"0,2"
"02/01/2023";"1500";"30,5";"30,8";"29,8";"58,0";"62,0";"55,0";"21,4";"22,1";"20,2";"995,4";"995,9";"995,3";"2,5";"318,0";"7,7";"2233,90";"0,0"
"02/01/2023";"1600";"30,5";"31,0";"29,9";"56,0";"61,0";"54,0";"20,8";"22,1";"20,3";"994,8";"995,4";"994,8";"3,3";"313,0";"6,9";"1911,40";"0,0"
