"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"28,2";"29,3";"28,2";"41,0";"42,0";"39,0";"13,7";"14,7";"13,5";"955,0";"955,0";"954,7";"0,9";"116,0";"4,4";"";"0,0"
"01/01/2023";"0100";"26,8";"28,2";"26,7";"47,0";"49,0";"41,0";"14,5";"15,9";"13,6";"955,6";"955,6";"955,0";"1,5";"115,0";"4,0";"";"0,0"
"01/01/2023";"0200";"25,3";"26,8";"25,3";"54,0";"54,0";"47,0";"15,2";"15,2";"14,4";"956,0";"956,0";"955,6";"1,6";"96,0";"4,8";"";"0,0"
"01/01/2023";"0300";"24,7";"25,3";"24,5";"51,0";"56,0";"51,0";"14,0";"15,3";"14,0";"955,8";"956,0";"955,8";"0,6";"96,0";"4,1";"";"0,0"
"01/01/2023";"0400";"24,6";"25,2";"24,6";"53,0";"53,0";"50,0";"14,4";"14,4";"13,9";"955,6";"955,8";"955,6";"1,4";"111,0";"4,3";"";"0,0"
"01/01/2023";"0500";"24,6";"24,8";"24,2";"52,0";"54,0";"52,0";"14,1";"14,5";"14,1";"955,4";"955,6";"955,4";"1,2";"103,0";"5,6";"";"0,0"
"01/01/2023";"0600";"22,9";"25,2";"22,9";"60,0";"60,0";"50,0";"14,8";"14,9";"13,9";"955,3";"955,5";"955,3";"0,2";"129,0";"4,5";"";"0,0"
"01/01/2023";"0700";"22,8";"23,7";"22,7";"66,0";"66,0";"58,0";"16,1";"16,2";"14,5";"955,1";"955,3";"955,0";"0,3";"196,0";"4,3";"";"0,0"
"01/01/2023";"0800";"22,9";"23,5";"22,8";"70,0";"70,0";"65,0";"17,2";"17,2";"16,0";"955,4";"955,4";"955,1";"0,9";"87,0";"4,6";"";"0,0"
"01/01/2023";"0900";"22,8";"23,0";"22,6";"73,0";"74,0";"70,0";"17,7";"17,8";"17,2";"956,2";"956,2";"955,4";"0,9";"81,0";"6,5";"8,10";"0,0"
