"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"17,3";"17,9";"16,9";"83,0";"83,0";"72,0";"14,3";"14,3";"12,8";"879,4";"879,5";"879,1";"6,0";"73,0";"8,1";"";"0,0"
"01/01/2023";"0100";"17,0";"17,7";"16,6";"82,0";"83,0";"78,0";"13,9";"14,4";"13,7";"879,7";"879,7";"879,4";"7,0";"62,0";"7,8";"";"0,0"
"01/01/2023";"0200";"16,4";"17,1";"16,4";"82,0";"84,0";"81,0";"13,4";"13,9";"13,4";"879,7";"879,8";"879,7";"5,7";"59,0";"7,8";"";"0,0"
"01/01/2023";"0300";"17,0";"17,1";"16,2";"71,0";"83,0";"71,0";"11,6";"13,4";"11,6";"879,3";"879,7";"879,3";"5,6";"46,0";"6,5";"";"0,0"
"01/01/2023";"0400";"17,1";"17,2";"16,6";"67,0";"71,0";"66,0";"11,0";"11,6";"10,7";"878,8";"879,3";"878,8";"6,3";"40,0";"7,0";"";"0,0"
"01/01/2023";"0500";"16,5";"17,2";"16,4";"73,0";"73,0";"67,0";"11,6";"11,8";"11,0";"878,4";"878,8";"878,4";"6,1";"36,0";"7,0";"";"0,0"
"01/01/2023";"0600";"16,3";"17,2";"16,3";"72,0";"73,0";"65,0";"11,4";"11,5";"10,5";"878,4";"878,4";"878,3";"6,5";"5,0";"7,7";"";"0,0"
"01/01/2023";"0700";"15,3";"16,4";"15,1";"80,0";"80,0";"72,0";"11,7";"11,9";"11,3";"878,3";"878,5";"878,3";"7,0";"351,0";"8,4";"";"0,0"
"01/01/2023";"0800";"14,6";"15,4";"14,4";"86,0";"86,0";"79,0";"12,2";"12,3";"11,7";"878,8";"878,8";"878,3";"6,8";"358,0";"8,9";"";"0,0"
"01/01/2023";"0900";"15,4";"15,4";"14,5";"88,0";"88,0";"84,0";"13,3";"13,3";"12,1";"879,3";"879,3";"878,8";"7,1";"2,0";"8,8";"64,30";"0,0"
"01/01/2023";"1000";"17,0";"17,0";"15,3";"81,0";"88,0";"81,0";"13,7";"13,8";"13,3";"879,7";"879,7";"879,3";"5,9";"4,0";"8,8";"631,40";"0,0"
"01/01/2023";"1100";"19,5";"19,5";"17,0";"70,0";"81,0";"70,0";"13,9";"14,1";"13,2";"880,1";"880,1";"879,7";"5,9";"359,0";"8,3";"1493,50";"0,0"
"01/01/2023";"1200";"22,6";"22,6";"19,5";"59,0";"72,0";"56,0";"14,1";"14,6";"12,6";"880,2";"880,2";"880,0";"4,5";"352,0";"8,4";"2330,00";"0,0"
"01/01/2023";"1300";"23,7";"24,1";"22,3";"53,0";"61,0";"49,0";"13,5";"15,3";"12,3";"880,2";"880,5";"880,1";"4,4";"330,0";"6,7";"3036,40";"0,0"
