"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"1000";"25,3";"25,3";"23,1";"59,0";"65,0";"59,0";"16,8";"16,8";"16,1";"960,5";"960,5";"960,1";"2,0";"35,0";"5,4";"870,60";"0,0"
"01/01/2023";"1100";"27,2";"27,2";"24,7";"55,0";"60,0";"55,0";"17,4";"17,4";"16,4";"960,6";"960,8";"960,4";"3,2";"19,0";"6,8";"1385,30";"0,0"
"01/01/2023";"1200";"29,9";"29,9";"27,0";"51,0";"55,0";"51,0";"18,6";"18,7";"17,0";"960,5";"960,7";"960,5";"3,9";"6,0";"8,2";"2511,40";"0,0"
"01/01/2023";"1300";"31,9";"32,2";"29,5";"47,0";"52,0";"46,0";"19,2";"19,3";"18,1";"960,0";"960,5";"960,0";"3,3";"358,0";"8,7";"3142,70";"0,0"
"01/01/2023";"1400";"33,7";"34,0";"31,9";"44,0";"47,0";"42,0";"19,7";"20,1";"18,9";"959,6";"960,0";"959,6";"2,8";"324,0";"7,9";"3658,40";"0,0"
"01/01/2023";"1500";"34,5";"34,8";"33,4";"38,0";"44,0";"38,0";"18,2";"19,6";"17,7";"958,9";"959,6";"958,9";"2,8";"346,0";"7,8";"3747,90";"0,0"
"01/01/2023";"1600";"35,3";"35,9";"34,0";"34,0";"38,0";"28,0";"16,9";"18,2";"14,9";"958,2";"958,9";"958,2";"3,9";"347,0";"9,0";"3455,90";"0,0"
"01/01/2023";"1700";"35,0";"35,9";"34,3";"36,0";"38,0";"33,0";"17,7";"18,3";"16,0";"957,4";"958,2";"957,4";"4,0";"351,0";"9,0";"3049,30";"0,0"
"01/01/2023";"1800";"34,3";"36,2";"34,2";"34,0";"37,0";"33,0";"16,3";"17,9";"16,2";"956,4";"957,4";"956,4";"3,8";"6,0";"9,5";"2528,90";"0,0"
"01/01/2023";"1900";"35,9";"36,5";"34,3";"31,0";"36,0";"31,0";"16,2";"17,4";"16,0";"955,5";"956,5";"955,5";"2,7";"334,0";"7,7";"2535,50";"0,0"
"01/01/2023";"2000";"34,9";"35,9";"34,7";"34,0";"34,0";"30,0";"16,6";"16,6";"15,5";"954,8";"955,5";"954,7";"2,4";"333,0";"7,3";"1750,40";"0,0"
"01/01/2023";"2100";"33,1";"35,0";"33,1";"38,0";"38,0";"33,0";"16,8";"16,9";"16,1";"954,6";"955,0";"954,6";"1,2";"334,0";"6,0";"550,90";"0,0"
"01/01/2023";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"1000";"22,6";"22,7";"21,6";"91,0";"95,0";"91,0";"21,0";"21,2";"20,7";"958,0";"958,0";"957,3";"2,7";"360,0";"5,1";"557,60";"0,0"
"02/01/2023";"1100";"23,9";"23,9";"22,5";"83,0";"91,0";"83,0";"20,9";"21,3";"20,7";"958,0";"958,2";"958,0";"2,8";"341,0";"5,5";"1004,30";"0,0"
"02/01/2023";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"1400";"26,3";"26,5";"25,3";"75,0";"79,0";"74,0";"21,6";"21,8";"21,2";"957,1";"957,7";"957,0";"3,0";"347,0";"7,5";"1483,00";"0,2"
"02/01/2023";"1500";"28,1";"28,1";"25,9";"66,0";"77,0";"65,0";"21,0";"22,0";"20,9";"956,4";"957,1";"956,4";"2,3";"310,0";"6,6";"1615,10";"0,0"
"02/01/2023";"1600";"28,8";"29,4";"28,1";"58,0";"66,0";"57,0";"19,6";"21,3";"19,4";"955,9";"956,4";"955,9";"3,1";"286,0";"7,8";"2389,20";"0,0"
"02/01/2023";"1700";"28,1";"28,5";"27,4";"65,0";"66,0";"59,0";"20,9";"20,9";"19,5";"955,6";"955,9";"955,6";"2,7";"261,0";"6,8";"747,80";"0,0"
"02/01/2023";"1800";"27,6";"28,9";"27,6";"64,0";"66,0";"62,0";"20,3";"21,3";"20,3";"955,0";"955,6";"954,9";"3,0";"253,0";"7,7";"1539,50";"0,0"
"02/01/2023";"1900";"29,2";"29,5";"27,5";"61,0";"66,0";"58,0";"20,9";"21,1";"20,0";"954,0";"955,0";"954,0";"3,1";"243,0";"7,9";"1919,70";"0,0"
"02/01/2023";"2000";"29,4";"29,8";"28,5";"56,0";"61,0";"55,0";"19,7";"20,7";"19,2";"953,5";"954,0";"953,5";"2,7";"218,0";"7,9";"1751,00";"0,0"
"02/01/2023";"2100";"28,7";"29,8";"27,9";"57,0";"59,0";"53,0";"19,4";"20,1";"18,6";"953,6";"953,6";"953,5";"2,0";"222,0";"6,0";"781,70";"0,0"
"02/01/2023";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"1000";"19,8";"19,9";"17,0";"76,0";"82,0";"74,0";"15,4";"15,6";"13,2";"958,1";"958,1";"957,5";"1,1";"188,0";"2,9";"873,20";"0,0"
"03/01/2023";"1100";"22,5";"22,7";"19,8";"63,0";"76,0";"62,0";"15,2";"16,3";"14,7";"958,5";"958,5";"958,1";"2,4";"131,0";"5,6";"1779,80";"0,0"
"03/01/2023";"1200";"24,5";"24,5";"22,5";"53,0";"64,0";"53,0";"14,3";"15,8";"13,8";"958,6";"958,7";"958,4";"2,1";"132,0";"6,5";"2592,50";"0,0"
"03/01/2023";"1300";"25,8";"25,8";"24,3";"43,0";"53,0";"40,0";"12,1";"14,4";"11,4";"958,5";"958,9";"958,5";"2,0";"157,0";"6,5";"3302,90";"0,0"
"03/01/2023";"1400";"27,3";"27,3";"25,5";"38,0";"44,0";"29,0";"11,6";"12,6";"7,2";"958,0";"958,5";"958,0";"2,0";"135,0";"6,2";"3807,80";"0,0"
"03/01/2023";"1500";"28,5";"28,7";"26,3";"30,0";"38,0";"26,0";"9,1";"11,5";"7,5";"957,4";"958,0";"957,4";"2,5";"190,0";"6,0";"4066,80";"0,0"
"03/01/2023";"1600";"29,5";"30,2";"28,1";"25,0";"30,0";"20,0";"7,4";"8,7";"4,2";"955,9";"957,5";"955,9";"2,5";"162,0";"6,7";"3729,30";"0,0"
"03/01/2023";"1700";"29,0";"30,3";"28,8";"23,0";"27,0";"20,0";"6,0";"8,4";"3,6";"955,7";"956,1";"955,7";"1,8";"167,0";"6,6";"2549,50";"0,0"
"03/01/2023";"1800";"27,5";"28,9";"27,5";"28,0";"28,0";"23,0";"7,1";"7,9";"5,6";"955,5";"955,9";"955,5";"2,7";"192,0";"8,8";"1355,50";"0,0"
"03/01/2023";"1900";"26,8";"27,6";"26,7";"30,0";"31,0";"28,0";"7,9";"8,4";"7,1";"956,3";"956,4";"955,5";"1,5";"153,0";"7,6";"912,30";"0,0"
"03/01/2023";"2000";"25,8";"26,9";"25,7";"34,0";"35,0";"30,0";"8,8";"9,2";"7,5";"956,3";"956,3";"956,1";"1,7";"135,0";"5,8";"503,70";"0,0"
"03/01/2023";"2100";"25,0";"25,9";"25,0";"38,0";"38,0";"33,0";"9,5";"9,7";"8,2";"957,1";"957,1";"956,4";"1,3";"141,0";"4,6";"290,00";"0,0"
