"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"30,1";"31,7";"30,0";"28,0";"29,0";"27,0";"9,8";"10,5";"9,8";"1000,0";"1000,0";"999,6";"2,9";"83,0";"4,7";"";"0,0"
"01/01/2023";"0100";"28,5";"30,4";"28,5";"34,0";"34,0";"28,0";"11,0";"11,0";"9,8";"1000,5";"1000,5";"1000,0";"3,4";"96,0";"5,0";"";"0,0"
"01/01/2023";"0200";"28,6";"29,6";"28,5";"35,0";"35,0";"31,0";"11,6";"11,7";"10,5";"1000,7";"1000,8";"1000,5";"4,4";"70,0";"6,5";"";"0,0"
"01/01/2023";"0300";"25,8";"28,6";"25,8";"44,0";"44,0";"35,0";"12,6";"12,7";"11,2";"1000,6";"1000,8";"1000,6";"3,2";"49,0";"6,5";"";"0,0"
"01/01/2023";"0400";"24,6";"26,6";"24,6";"47,0";"47,0";"41,0";"12,6";"12,7";"11,9";"1000,3";"1000,6";"1000,3";"3,7";"45,0";"4,5";"";"0,0"
"01/01/2023";"0500";"25,8";"26,3";"24,6";"45,0";"47,0";"42,0";"12,8";"12,9";"12,2";"999,8";"1000,4";"999,8";"3,5";"55,0";"6,9";"";"0,0"
"01/01/2023";"0600";"23,7";"26,0";"23,7";"54,0";"54,0";"44,0";"13,7";"13,8";"12,8";"999,8";"999,9";"999,7";"3,0";"32,0";"6,9";"";"0,0"
"01/01/2023";"0700";"24,5";"24,9";"23,6";"50,0";"55,0";"49,0";"13,5";"14,1";"13,1";"999,5";"999,8";"999,4";"3,9";"58,0";"5,5";"";"0,0"
"01/01/2023";"0800";"24,2";"24,8";"24,2";"51,0";"51,0";"49,0";"13,6";"13,6";"13,3";"999,7";"999,7";"999,5";"3,8";"59,0";"6,3";"";"0,0"
"01/01/2023";"0900";"22,8";"24,4";"22,5";"60,0";"61,0";"51,0";"14,6";"14,7";"13,5";"1000,0";"1000,0";"999,6";"4,3";"73,0";"6,4";"2,40";"0,0"
"01/01/2023";"1000";"26,4";"26,4";"22,8";"43,0";"60,0";"43,0";"12,8";"14,6";"12,7";"1000,2";"1000,2";"999,8";"5,2";"56,0";"8,4";"276,90";"0,0"
"01/01/2023";"1100";"29,4";"29,4";"26,4";"37,0";"43,0";"37,0";"13,2";"13,4";"12,7";"1000,6";"1000,6";"1000,2";"5,8";"60,0";"8,4";"1099,90";"0,0"
"01/01/2023";"1200";"31,2";"31,5";"29,3";"34,0";"37,0";"33,0";"13,4";"13,7";"12,6";"1000,5";"1000,6";"1000,3";"7,5";"35,0";"10,5";"1987,40";"0,0"
"01/01/2023";"1300";"33,3";"34,0";"31,2";"33,0";"35,0";"31,0";"14,8";"15,2";"13,4";"1000,2";"1000,6";"1000,2";"5,7";"32,0";"10,5";"2742,60";"0,0"
"01/01/2023";"1400";"35,4";"35,5";"33,2";"33,0";"35,0";"33,0";"16,8";"17,0";"15,2";"1000,0";"1000,4";"1000,0";"5,8";"20,0";"9,4";"3337,80";"0,0"
"01/01/2023";"1500";"37,6";"38,6";"34,9";"29,0";"35,0";"28,0";"16,5";"18,0";"15,8";"999,0";"1000,0";"999,0";"6,4";"13,0";"10,8";"3517,40";"0,0"
"01/01/2023";"1600";"37,1";"39,2";"36,8";"28,0";"30,0";"26,0";"15,8";"17,3";"14,7";"998,2";"999,0";"998,2";"4,7";"358,0";"11,0";"3032,20";"0,0"
"01/01/2023";"1700";"37,9";"39,5";"37,0";"29,0";"30,0";"27,0";"16,8";"17,5";"15,4";"997,1";"998,2";"997,1";"4,9";"10,0";"9,1";"2818,40";"0,0"
"01/01/2023";"1800";"35,0";"37,9";"34,3";"38,0";"39,0";"28,0";"18,4";"18,7";"16,0";"996,4";"997,1";"996,3";"4,4";"73,0";"9,5";"1334,60";"0,0"
"01/01/2023";"1900";"29,5";"35,1";"27,7";"59,0";"70,0";"35,0";"20,7";"21,7";"16,9";"996,1";"996,8";"996,0";"2,5";"22,0";"9,1";"134,10";"0,0"
"01/01/2023";"2000";"26,7";"30,6";"26,7";"78,0";"78,0";"55,0";"22,6";"22,6";"20,5";"997,5";"997,5";"996,1";"1,9";"273,0";"6,3";"170,20";"0,2"
"01/01/2023";"2100";"24,6";"26,7";"24,5";"84,0";"94,0";"78,0";"21,8";"23,8";"21,8";"998,2";"998,2";"997,1";"4,9";"26,0";"7,3";"73,30";"1,0"
"01/01/2023";"2200";"23,3";"24,6";"22,8";"95,0";"97,0";"84,0";"22,5";"22,5";"21,4";"1000,3";"1000,4";"998,1";"3,1";"132,0";"9,3";"14,00";"6,6"
"01/01/2023";"2300";"23,4";"23,6";"23,3";"94,0";"95,0";"93,0";"22,5";"22,6";"22,3";"999,8";"1001,0";"999,8";"3,8";"96,0";"5,5";"95,40";"0,8"
"02/01/2023";"0000";"23,3";"23,5";"23,2";"95,0";"97,0";"91,0";"22,3";"22,8";"21,7";"1000,0";"1000,1";"999,8";"5,4";"60,0";"8,9";"0,50";"0,0"
"02/01/2023";"0100";"23,2";"23,4";"23,2";"94,0";"95,0";"93,0";"22,2";"22,4";"22,1";"1000,3";"1000,4";"999,9";"1,2";"48,0";"8,9";"";"0,0"
"02/01/2023";"0200";"23,3";"23,5";"23,2";"96,0";"96,0";"93,0";"22,7";"22,7";"22,2";"1000,8";"1000,8";"1000,3";"1,9";"216,0";"2,9";"";"0,0"
"02/01/2023";"0300";"23,3";"23,6";"23,3";"96,0";"97,0";"95,0";"22,6";"22,8";"22,6";"999,5";"1000,9";"999,5";"1,6";"42,0";"3,5";"";"0,2"
"02/01/2023";"0400";"23,0";"23,3";"23,0";"98,0";"98,0";"96,0";"22,7";"22,8";"22,6";"999,8";"999,8";"999,0";"1,6";"198,0";"3,5";"";"0,0"
"02/01/2023";"0500";"22,3";"23,0";"22,3";"98,0";"98,0";"98,0";"21,9";"22,7";"21,9";"999,0";"999,8";"999,0";"1,3";"172,0";"3,9";"";"0,0"
"02/01/2023";"0600";"22,4";"22,4";"21,8";"99,0";"99,0";"98,0";"22,2";"22,3";"21,6";"999,0";"999,3";"999,0";"1,7";"178,0";"2,8";"";"0,0"
"02/01/2023";"0700";"22,3";"22,5";"22,2";"99,0";"99,0";"99,0";"22,2";"22,4";"22,1";"999,7";"999,7";"999,0";"2,1";"187,0";"4,3";"";"0,0"
"02/01/2023";"0800";"22,2";"22,3";"22,0";"99,0";"99,0";"99,0";"22,0";"22,2";"21,8";"999,8";"999,9";"999,7";"1,5";"158,0";"5,5";"";"0,0"
"02/01/2023";"0900";"22,4";"22,5";"22,2";"98,0";"99,0";"98,0";"22,1";"22,2";"22,0";"1000,2";"1000,2";"999,8";"1,4";"213,0";"3,4";"0,50";"0,0"
"02/01/2023";"1000";"22,1";"22,5";"22,1";"98,0";"98,0";"97,0";"21,8";"22,2";"21,8";"1000,7";"1000,7";"1000,2";"2,2";"201,0";"6,0";"21,40";"0,0"
"02/01/2023";"1100";"22,6";"22,7";"22,0";"85,0";"98,0";"85,0";"20,0";"21,8";"20,0";"1001,2";"1001,2";"1000,6";"3,4";"204,0";"7,4";"368,30";"0,0"
"02/01/2023";"1200";"23,4";"23,9";"22,6";"76,0";"85,0";"75,0";"19,0";"20,1";"18,7";"1001,2";"1001,3";"1001,0";"4,0";"190,0";"9,2";"1899,70";"0,0"
"02/01/2023";"1300";"24,3";"24,7";"23,2";"68,0";"77,0";"67,0";"17,9";"19,3";"17,9";"1001,7";"1001,7";"1001,2";"4,2";"185,0";"9,3";"2565,40";"0,0"
"02/01/2023";"1400";"25,7";"26,5";"23,7";"61,0";"72,0";"59,0";"17,7";"19,2";"17,4";"1001,4";"1001,8";"1001,4";"3,4";"186,0";"9,9";"3222,80";"0,0"
"02/01/2023";"1500";"27,7";"27,7";"25,7";"50,0";"62,0";"50,0";"16,4";"18,4";"16,4";"1001,5";"1001,5";"1001,2";"4,2";"215,0";"8,7";"3983,80";"0,0"
"02/01/2023";"1600";"28,6";"29,1";"26,9";"36,0";"51,0";"35,0";"11,9";"16,3";"11,9";"1000,9";"1001,5";"1000,8";"4,0";"208,0";"9,1";"4104,30";"0,0"
