"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"29,2";"31,0";"29,2";"34,0";"34,0";"30,0";"11,7";"11,7";"11,0";"995,6";"995,6";"995,3";"1,2";"95,0";"4,2";"";"0,0"
"01/01/2023";"0100";"28,1";"29,4";"28,0";"37,0";"38,0";"34,0";"12,2";"12,5";"11,5";"996,1";"996,1";"995,6";"1,0";"98,0";"4,4";"";"0,0"
"01/01/2023";"0200";"25,9";"28,1";"25,4";"45,0";"47,0";"37,0";"13,0";"13,4";"12,2";"996,3";"996,4";"996,1";"0,6";"93,0";"2,8";"";"0,0"
"01/01/2023";"0300";"23,5";"26,7";"23,5";"54,0";"54,0";"42,0";"13,7";"14,0";"12,6";"996,0";"996,4";"996,0";"0,8";"164,0";"2,0";"";"0,0"
"01/01/2023";"0400";"23,0";"24,2";"22,9";"57,0";"58,0";"53,0";"14,0";"14,4";"13,6";"996,0";"996,1";"996,0";"0,4";"80,0";"1,5";"";"0,0"
"01/01/2023";"0500";"22,3";"24,5";"22,3";"59,0";"60,0";"52,0";"14,0";"14,3";"13,9";"995,8";"996,0";"995,8";"0,6";"93,0";"2,4";"";"0,0"
"01/01/2023";"0600";"24,8";"24,8";"21,4";"49,0";"64,0";"49,0";"13,5";"14,7";"13,5";"995,7";"995,8";"995,6";"1,5";"68,0";"3,0";"";"0,0"
"01/01/2023";"0700";"24,6";"25,4";"24,2";"49,0";"50,0";"46,0";"13,3";"13,3";"12,7";"995,6";"995,7";"995,4";"1,5";"96,0";"3,7";"";"0,0"
"01/01/2023";"0800";"23,8";"24,7";"23,7";"58,0";"58,0";"49,0";"15,0";"15,0";"13,1";"995,9";"996,0";"995,6";"2,0";"94,0";"5,7";"";"0,0"
"01/01/2023";"0900";"22,3";"23,9";"22,0";"66,0";"67,0";"58,0";"15,7";"15,8";"15,0";"996,0";"996,2";"995,9";"2,3";"126,0";"5,3";"6,40";"0,0"
"01/01/2023";"1000";"24,1";"24,1";"22,3";"63,0";"66,0";"61,0";"16,7";"16,7";"15,6";"996,2";"996,3";"995,9";"2,4";"117,0";"6,3";"240,90";"0,0"
"01/01/2023";"1100";"26,8";"26,9";"24,1";"56,0";"63,0";"55,0";"17,2";"17,6";"16,7";"996,6";"996,6";"996,1";"2,1";"113,0";"5,6";"915,00";"0,0"
"01/01/2023";"1200";"29,7";"29,7";"26,8";"49,0";"57,0";"49,0";"17,9";"18,5";"17,2";"996,6";"996,8";"996,6";"1,8";"92,0";"4,9";"1945,00";"0,0"
"01/01/2023";"1300";"32,4";"32,4";"29,8";"43,0";"50,0";"41,0";"18,2";"19,2";"16,9";"996,2";"996,6";"996,2";"2,9";"51,0";"6,0";"2724,70";"0,0"
"01/01/2023";"1400";"34,3";"34,4";"32,4";"38,0";"44,0";"38,0";"18,1";"19,4";"17,0";"995,9";"996,2";"995,8";"2,0";"35,0";"6,6";"3316,80";"0,0"
"01/01/2023";"1500";"35,4";"36,2";"34,2";"38,0";"44,0";"34,0";"18,8";"20,2";"17,3";"994,9";"995,9";"994,9";"2,7";"340,0";"7,1";"3137,20";"0,0"
"01/01/2023";"1600";"36,7";"36,9";"35,4";"35,0";"39,0";"30,0";"18,6";"19,9";"16,3";"994,2";"994,9";"994,2";"3,0";"336,0";"8,1";"3821,40";"0,0"
"01/01/2023";"1700";"37,4";"37,9";"36,4";"29,0";"38,0";"27,0";"16,2";"20,1";"15,7";"993,2";"994,2";"993,2";"3,2";"355,0";"9,8";"3886,30";"0,0"
"01/01/2023";"1800";"37,8";"38,4";"37,3";"27,0";"33,0";"26,0";"15,6";"18,6";"15,5";"992,3";"993,2";"992,3";"3,2";"324,0";"9,0";"3791,20";"0,0"
"01/01/2023";"1900";"36,8";"38,8";"36,8";"27,0";"29,0";"24,0";"14,8";"16,7";"14,0";"991,2";"992,3";"991,2";"1,9";"345,0";"7,6";"2890,90";"0,0"
"01/01/2023";"2000";"36,2";"37,6";"36,2";"29,0";"31,0";"26,0";"15,2";"17,6";"14,3";"990,5";"991,2";"990,5";"1,4";"321,0";"4,5";"1017,20";"0,0"
"01/01/2023";"2100";"34,2";"36,2";"34,2";"37,0";"38,0";"29,0";"17,5";"18,1";"15,3";"990,7";"991,1";"990,5";"1,2";"312,0";"3,9";"258,60";"0,0"
