"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,6";"28,9";"26,6";"43,0";"44,0";"36,0";"12,9";"14,5";"12,2";"984,9";"984,9";"984,5";"3,0";"117,0";"7,9";"";"0,0"
"01/01/2023";"0100";"28,6";"28,7";"26,4";"38,0";"46,0";"37,0";"12,7";"13,8";"12,6";"985,3";"985,3";"984,9";"4,2";"78,0";"7,5";"";"0,0"
"01/01/2023";"0200";"28,0";"28,9";"27,9";"38,0";"38,0";"34,0";"12,3";"12,7";"11,3";"985,7";"985,7";"985,3";"4,1";"68,0";"9,3";"";"0,0"
"01/01/2023";"0300";"26,5";"28,0";"26,2";"44,0";"44,0";"38,0";"13,2";"13,8";"12,4";"985,8";"985,9";"985,7";"4,3";"60,0";"10,2";"";"0,0"
"01/01/2023";"0400";"24,3";"26,6";"23,5";"54,0";"56,0";"43,0";"14,3";"14,6";"13,1";"985,8";"986,0";"985,8";"3,2";"93,0";"6,6";"";"0,0"
"01/01/2023";"0500";"23,7";"25,1";"23,1";"56,0";"58,0";"51,0";"14,5";"14,6";"14,1";"985,8";"985,8";"985,7";"1,9";"87,0";"5,5";"";"0,0"
"01/01/2023";"0600";"22,6";"23,8";"21,5";"59,0";"64,0";"55,0";"14,1";"14,7";"13,8";"985,6";"985,9";"985,6";"2,5";"58,0";"5,6";"";"0,0"
"01/01/2023";"0700";"21,6";"23,3";"20,7";"63,0";"65,0";"56,0";"14,2";"14,4";"13,3";"985,5";"985,6";"985,4";"1,3";"41,0";"7,4";"";"0,0"
"01/01/2023";"0800";"21,5";"22,0";"21,1";"65,0";"65,0";"62,0";"14,6";"14,6";"14,0";"985,5";"985,6";"985,4";"3,8";"50,0";"5,7";"";"0,0"
"01/01/2023";"0900";"21,5";"22,0";"21,3";"65,0";"65,0";"63,0";"14,7";"14,7";"14,3";"986,1";"986,1";"985,5";"2,6";"45,0";"6,9";"41,10";"0,0"
"01/01/2023";"1000";"24,2";"24,2";"21,5";"56,0";"65,0";"55,0";"14,7";"15,0";"14,6";"985,7";"986,1";"985,7";"4,9";"58,0";"8,5";"518,00";"0,0"
"01/01/2023";"1100";"27,7";"27,7";"24,2";"47,0";"56,0";"47,0";"15,5";"15,8";"14,7";"985,8";"985,9";"985,7";"4,2";"40,0";"8,2";"1370,20";"0,0"
"01/01/2023";"1200";"30,2";"30,5";"27,6";"40,0";"49,0";"39,0";"15,0";"16,2";"14,6";"985,9";"986,0";"985,7";"5,1";"48,0";"8,2";"2216,90";"0,0"
"01/01/2023";"1300";"32,1";"32,5";"30,2";"34,0";"41,0";"34,0";"14,5";"16,4";"14,4";"985,5";"985,9";"985,5";"4,3";"56,0";"7,8";"2954,40";"0,0"
"01/01/2023";"1400";"33,9";"34,5";"31,9";"27,0";"39,0";"26,0";"12,4";"16,5";"12,0";"985,0";"985,5";"985,0";"4,3";"30,0";"7,9";"3505,80";"0,0"
"01/01/2023";"1500";"34,4";"35,3";"33,5";"27,0";"31,0";"25,0";"12,8";"14,2";"11,3";"984,5";"985,0";"984,5";"4,9";"13,0";"7,5";"3579,80";"0,0"
"01/01/2023";"1600";"34,9";"35,0";"34,1";"24,0";"30,0";"22,0";"11,4";"14,5";"10,2";"983,7";"984,5";"983,7";"2,0";"353,0";"7,5";"3119,10";"0,0"
"01/01/2023";"1700";"35,5";"36,1";"34,1";"24,0";"28,0";"22,0";"11,7";"14,5";"9,5";"982,9";"983,7";"982,9";"2,8";"346,0";"7,7";"3021,90";"0,0"
"01/01/2023";"1800";"35,4";"35,7";"34,2";"26,0";"29,0";"22,0";"12,9";"14,1";"11,0";"982,2";"982,9";"982,2";"3,9";"350,0";"8,5";"2456,40";"0,0"
"01/01/2023";"1900";"34,8";"35,4";"34,5";"29,0";"30,0";"24,0";"14,4";"15,2";"11,9";"981,6";"982,2";"981,5";"4,1";"360,0";"8,0";"2213,80";"0,0"
"01/01/2023";"2000";"34,8";"35,9";"34,6";"28,0";"30,0";"25,0";"13,6";"14,7";"12,3";"980,4";"981,6";"980,4";"2,4";"329,0";"7,9";"2258,50";"0,0"
