"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"25,8";"27,1";"25,8";"54,0";"54,0";"45,0";"15,9";"15,9";"14,1";"942,1";"942,2";"941,8";"3,5";"108,0";"8,0";"";"0,0"
"01/01/2023";"0100";"25,1";"25,8";"24,8";"52,0";"57,0";"52,0";"14,6";"16,1";"14,6";"942,8";"942,8";"942,1";"5,0";"84,0";"8,9";"";"0,0"
"01/01/2023";"0200";"24,4";"25,1";"24,4";"53,0";"53,0";"51,0";"14,0";"14,6";"13,9";"943,0";"943,0";"942,8";"5,0";"76,0";"9,2";"";"0,0"
"01/01/2023";"0300";"23,7";"24,3";"23,6";"53,0";"53,0";"52,0";"13,6";"14,1";"13,5";"942,8";"943,0";"942,8";"3,5";"73,0";"8,8";"";"0,0"
"01/01/2023";"0400";"23,6";"23,8";"23,5";"56,0";"56,0";"52,0";"14,3";"14,3";"13,4";"942,5";"942,8";"942,4";"4,0";"55,0";"7,7";"";"0,0"
"01/01/2023";"0500";"23,0";"23,6";"23,0";"59,0";"59,0";"56,0";"14,7";"14,7";"14,2";"942,4";"942,5";"942,3";"3,3";"48,0";"7,5";"";"0,0"
"01/01/2023";"0600";"22,6";"23,1";"22,4";"63,0";"63,0";"59,0";"15,2";"15,2";"14,7";"942,6";"942,6";"942,4";"4,0";"50,0";"6,5";"";"0,0"
"01/01/2023";"0700";"22,2";"22,6";"22,1";"67,0";"67,0";"63,0";"15,8";"15,8";"15,2";"942,2";"942,6";"942,2";"4,8";"46,0";"7,9";"";"0,0"
"01/01/2023";"0800";"21,6";"22,2";"21,6";"72,0";"72,0";"67,0";"16,2";"16,3";"15,8";"942,6";"942,6";"942,2";"4,4";"43,0";"8,1";"";"0,0"
"01/01/2023";"0900";"20,9";"21,6";"20,8";"76,0";"76,0";"72,0";"16,4";"16,4";"16,2";"943,4";"943,4";"942,6";"3,1";"46,0";"8,0";"23,40";"0,0"
