Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m�);Chuva (mm)
2023/01/01;0000 UTC;28;29;27,7;42;43;38;14;14,1;12,9;963,7;963,8;963,4;;;;;0
2023/01/01;0100 UTC;26,9;28;26,8;45;45;42;13,9;14,1;13,8;964,4;964,4;963,7;;;;;0
2023/01/01;0200 UTC;24,9;27,1;24,7;56;56;44;15,5;15,5;13,7;964,9;964,9;964,4;;;;;0
2023/01/01;0300 UTC;24,7;25,3;24,6;55;56;53;14,9;15,6;14,9;964,8;964,9;964,7;;;;;0
2023/01/01;0400 UTC;24,2;24,7;23,6;53;58;53;14;15;14;964,6;964,8;964,6;;;;;0
2023/01/01;0500 UTC;22,8;24,2;22,8;57;57;53;13,8;14;13,8;964,4;964,6;964,4;;;;;0
2023/01/01;0600 UTC;22,5;23;22,3;56;57;56;13,4;13,7;13,4;964,3;964,4;964,2;;;;;0
2023/01/01;0700 UTC;21,5;22,7;21,4;60;60;54;13,3;13,4;13;964;964,3;963,9;;;;;0
2023/01/01;0800 UTC;21,1;21,7;21,1;60;60;58;13,1;13,3;13;964,1;964,1;964;;;;;0
2023/01/01;0900 UTC;22;22;21;55;60;55;12,6;13,1;12,5;964,3;964,4;964,1;;;;25,4;0
2023/01/01;1000 UTC;23,8;23,8;22;53;55;52;13,6;13,8;12,2;964,7;964,7;964,3;;;;472,2;0
2023/01/01;1100 UTC;25,3;25,3;23,8;52;54;51;14,7;15,3;13,4;964,8;964,8;964,6;;;;1268,6;0
2023/01/01;1200 UTC;26,3;26,4;25;52;55;51;15,7;16,2;14,3;964,6;964,8;964,5;;;;2121,6;0
2023/01/01;1300 UTC;28,2;28,5;26,2;51;55;50;17,2;18;15,9;964,5;964,6;964,5;;;;2883,2;0
2023/01/01;1400 UTC;30,4;30,8;28,2;47;53;45;17,7;18,9;16,9;964,1;964,5;964,1;;;;3473,8;0
2023/01/01;1500 UTC;32;32,3;30,2;42;49;39;17,6;19,2;16,2;963,6;964,1;963,6;;;;3799,8;0
2023/01/01;1600 UTC;32,7;33,4;31,8;35;44;32;15,4;18,6;14;963,1;963,6;963,1;;;;3465,3;0
2023/01/01;1700 UTC;33,1;34,6;32,1;32;38;30;14,3;16,9;13,3;962,4;963,1;962,3;;;;3312,7;0
2023/01/01;1800 UTC;34,2;34,6;32,5;30;35;27;14,1;15,7;12,3;961,6;962,4;961,6;;;;2961,5;0
2023/01/01;1900 UTC;33,1;34,2;32,4;35;40;29;15,8;17,3;12,9;960,7;961,6;960,7;;;;1462,5;0
2023/01/01;2000 UTC;32,4;34,4;32,4;34;36;31;14,6;16,5;14,3;959,8;960,7;959,8;;;;2266,6;0
2023/01/01;2100 UTC;32,4;33,6;32;34;36;32;14,7;16;14,3;959,1;959,8;959;;;;1271,2;0
2023/01/01;2200 UTC;30,5;32,5;30,5;42;42;33;15,9;16;14,5;959,1;959,1;958,8;;;;554,7;0
2023/01/01;2300 UTC;29,4;30,5;29,2;44;47;42;16;16,6;16;959,3;959,5;958,8;;;;64,9;0
2023/01/02;0000 UTC;30,2;30,2;29,4;41;47;41;15,7;17;15,7;960,7;960,7;959,1;;;;;0
2023/01/02;0100 UTC;20,8;30,3;20,3;92;93;42;19,4;19,4;15,9;963,5;963,5;960,7;;;;4,5;4,4
2023/01/02;0200 UTC;20,8;20,8;20,3;95;95;91;20;20;19,1;962,7;963,6;962,7;;;;;3,2
2023/01/02;0300 UTC;21,3;22;20,8;90;95;86;19,6;20,4;19,2;962,9;963,3;962,6;;;;;1,6
2023/01/02;0400 UTC;22,2;22,2;21,3;79;90;79;18,3;19,6;18,3;960,6;962,9;960,6;;;;;0,6
2023/01/02;0500 UTC;22,2;23,2;22,2;79;79;73;18,4;18,4;18;960,2;960,7;960,1;;;;6,3;0
2023/01/02;0600 UTC;22,5;22,7;21,9;79;81;76;18,6;18,6;18,2;959,7;960,3;959,7;;;;2,3;0
2023/01/02;0700 UTC;22,5;22,8;22,2;79;80;77;18,7;18,8;18,4;959,6;959,7;959,3;;;;;0
2023/01/02;0800 UTC;20,9;22,5;20,9;91;91;79;19,5;19,5;18,6;960;960;959,5;;;;;0
2023/01/02;0900 UTC;21,5;21,5;20,9;91;94;91;19,9;20;19,5;960,3;960,4;960;;;;19,2;0
2023/01/02;1000 UTC;22,3;22,3;21,5;88;91;87;20,1;20,3;19,5;960,5;960,6;960,3;;;;353,5;0
2023/01/02;1100 UTC;23;23,5;22,3;85;88;82;20,3;20,8;20,1;960,8;960,8;960,4;;;;1033,1;0
2023/01/02;1200 UTC;23,9;23,9;22,9;83;86;83;20,9;20,9;20,3;961,1;961,1;960,7;;;;937,2;0
2023/01/02;1300 UTC;24,8;24,8;23,6;82;87;81;21,5;22,2;20,6;960,6;961,1;960,6;;;;2117,7;0
2023/01/02;1400 UTC;26,4;26,4;24,7;76;82;74;21,7;22,1;21;960,3;960,6;960,2;;;;3036,1;0
2023/01/02;1500 UTC;26,1;27,4;25,1;73;79;70;20,8;22,2;20,4;959,6;960,4;959,6;;;;2679,2;0
2023/01/02;1600 UTC;26,2;27,5;25,8;72;76;70;20,7;22,3;20,4;959,5;959,7;959,4;;;;1953,3;0
2023/01/02;1700 UTC;23,9;26,9;22,8;86;89;71;21,4;21,6;20,5;959,2;959,5;959,1;;;;1662,6;2,8
2023/01/02;1800 UTC;26,6;26,6;23,9;71;86;69;20,8;22;20,2;958,4;959,2;958,3;;;;3465,7;0
2023/01/02;1900 UTC;27,5;27,8;26,3;62;72;61;19,6;21,6;19,1;957,8;958,4;957,8;;;;2507,1;0
2023/01/02;2000 UTC;27,9;28;26,5;57;66;57;18,7;20;18,5;957,2;957,8;957,2;;;;1901,7;0
2023/01/02;2100 UTC;26,8;28;26,4;53;57;53;16,5;18,5;16,3;957,3;957,3;957;;;;1554,8;0
2023/01/02;2200 UTC;25,5;26,8;25,5;52;54;51;14,8;16,7;14,8;958,1;958,1;957,3;;;;735,4;0
2023/01/02;2300 UTC;23,2;25,5;23,2;54;54;48;13,3;14,6;13;958,6;958,6;958;;;;98,4;0
2023/01/03;0000 UTC;22,1;23,3;22;59;59;54;13,8;13,8;13,3;959,2;959,2;958,6;;;;;0
2023/01/03;0100 UTC;22;22,4;21,9;52;59;51;11,6;13,8;11,6;960,3;960,3;959,2;;;;;0
2023/01/03;0200 UTC;21,4;22,1;21,3;49;53;48;10,2;11,6;10,2;960,6;960,7;960,3;;;;;0
2023/01/03;0300 UTC;21;21,5;20,7;49;50;46;9,9;10,2;9,5;960,4;960,7;960,4;;;;;0
2023/01/03;0400 UTC;19,2;21;19,2;59;59;49;11;11,1;9,9;960,2;960,4;960,1;;;;;0
2023/01/03;0500 UTC;17,7;19,2;17,7;74;74;59;13,1;13,1;11;960;960,2;959,9;;;;;0
2023/01/03;0600 UTC;16,6;17,7;16,6;80;80;74;13,1;13,2;12,9;959,6;960;959,6;;;;;0
2023/01/03;0700 UTC;15,6;16,7;15,6;86;86;80;13,2;13,4;13;959,7;959,7;959,5;;;;;0
2023/01/03;0800 UTC;15,3;15,9;15,3;88;88;86;13,3;13,6;13,3;960,3;960,3;959,7;;;;;0
2023/01/03;0900 UTC;15,1;15,3;14,9;90;90;88;13,4;13,4;13;961,2;961,2;960,3;;;;26;0
2023/01/03;1000 UTC;17,3;17,3;15,1;81;90;80;13,9;14,3;13,4;962,1;962,1;961,2;;;;513,4;0
2023/01/03;1100 UTC;18,4;18,8;17,3;74;81;72;13,7;14,4;13,6;962,8;962,8;962,1;;;;1352,1;0
2023/01/03;1200 UTC;19,4;19,6;18,4;69;75;69;13,7;14,2;13,1;963,1;963,1;962,8;;;;2226,8;0
2023/01/03;1300 UTC;21,2;21,7;19,3;62;73;60;13,6;15,1;13,1;962,9;963,2;962,9;;;;2974,2;0
2023/01/03;1400 UTC;22,3;22,7;21,2;44;62;42;9,4;13,9;8,8;962,8;962,9;962,7;;;;3573,2;0
2023/01/03;1500 UTC;24,7;24,9;22,4;39;47;36;9,8;11,4;8;962,4;962,9;962,3;;;;3963,1;0
2023/01/03;1600 UTC;25,7;26;24,3;32;40;29;7,5;10,2;6,7;961,3;962,4;961,3;;;;4106,2;0
2023/01/03;1700 UTC;26,8;27,1;25,6;24;32;24;4,6;8,5;4,4;961,2;961,9;961,2;;;;3990,8;0
2023/01/03;1800 UTC;27,1;27,7;26,4;26;28;22;6;7;3,3;960,8;961,2;960,8;;;;3312,6;0
2023/01/03;1900 UTC;26,7;27,4;26,4;31;31;25;8,1;8,1;5,1;960;960,8;960;;;;1924,1;0
2023/01/03;2000 UTC;26,9;27,2;26,5;32;34;29;8,8;9,7;7,2;960;960,1;959,8;;;;1445,4;0
2023/01/03;2100 UTC;25,9;27;25,8;39;44;32;10,9;12,9;9;960,9;960,9;959,9;;;;779,3;0
2023/01/03;2200 UTC;24,8;25,9;24,6;39;50;36;10;13,6;9,6;961;961;960,7;;;;241,4;0
2023/01/03;2300 UTC;23,4;25,3;23,4;39;40;33;8,6;10,1;7,3;962,2;962,2;961;;;;32,5;0
2023/01/04;0000 UTC;21,3;23,5;21,3;48;48;39;9,8;9,9;8,7;962;962,3;961,8;;;;;0
2023/01/04;0100 UTC;20,7;21,4;20,4;45;49;43;8,3;10;7,9;963,1;963,1;962;;;;;0
2023/01/04;0200 UTC;18,9;20,6;18,9;48;48;42;7,5;8,5;6,7;963,4;963,5;963,1;;;;;0
2023/01/04;0300 UTC;19,3;19,7;18,6;44;50;42;6,6;7,9;6,5;963;963,4;963;;;;;0
2023/01/04;0400 UTC;18,2;19,3;18,2;50;50;43;7,5;7,5;6,4;962,4;963,1;962,4;;;;;0
2023/01/04;0500 UTC;18,3;18,9;18,1;50;51;47;7,9;7,9;7,3;961,7;962,5;961,7;;;;;0
2023/01/04;0600 UTC;17,8;18,3;17,8;64;64;51;11;11;7,9;961,6;961,8;961,4;;;;;0
2023/01/04;0700 UTC;17,4;17,8;17,4;87;87;64;15,2;15,2;11,1;961,8;961,8;961,6;;;;;0
2023/01/04;0800 UTC;16,9;17,7;16,8;91;91;85;15,4;15,4;15;962,3;962,3;961,7;;;;;0
2023/01/04;0900 UTC;17;17;16,6;93;94;91;15,9;15,9;15,4;962,8;962,8;962,3;;;;17,5;0
2023/01/04;1000 UTC;19,5;19,5;17;82;93;82;16,4;16,5;15,8;963,5;963,5;962,7;;;;475,3;0
2023/01/04;1100 UTC;20,8;21;19,5;73;82;73;15,9;17;15,6;964;964;963,5;;;;1058,8;0
2023/01/04;1200 UTC;23,8;23,8;20,8;62;75;60;15,9;17,4;15;964,3;964,3;964;;;;2127,8;0
2023/01/04;1300 UTC;25,5;26,3;23,8;49;61;47;13,9;16,3;13,1;964,5;964,5;964,3;;;;2863,2;0
2023/01/04;1400 UTC;27,2;27,4;25,4;34;49;34;9,8;13,9;9,8;964,4;964,6;964,4;;;;3454;0
2023/01/04;1500 UTC;28,7;28,9;26,8;32;37;31;10,4;11,4;9,4;964;964,4;964;;;;3854,2;0
2023/01/04;1600 UTC;29,1;29,6;28,1;29;34;27;9,2;11,6;7,9;963,3;964;963,3;;;;4022,1;0
2023/01/04;1700 UTC;30,1;30,1;27,7;28;32;26;9,7;10,9;7,6;962,7;963,3;962,7;;;;2740;0
