"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"18,8";"20,8";"18,8";"67,0";"70,0";"56,0";"12,5";"13,1";"11,6";"902,2";"902,2";"901,9";"1,0";"83,0";"4,5";"";"0,0"
"01/01/2023";"0100";"18,8";"19,9";"18,2";"65,0";"70,0";"59,0";"12,0";"12,7";"11,5";"902,5";"902,5";"902,2";"1,7";"56,0";"3,4";"";"0,0"
"01/01/2023";"0200";"18,6";"19,1";"18,6";"65,0";"66,0";"63,0";"12,0";"12,1";"11,9";"902,4";"902,7";"902,4";"1,2";"80,0";"3,3";"";"0,0"
"01/01/2023";"0300";"18,1";"19,0";"18,1";"69,0";"69,0";"64,0";"12,3";"12,3";"11,9";"902,0";"902,5";"902,0";"2,1";"53,0";"3,7";"";"0,0"
"01/01/2023";"0400";"17,4";"18,2";"17,3";"71,0";"71,0";"68,0";"12,0";"12,5";"11,9";"901,5";"902,0";"901,5";"1,6";"41,0";"4,0";"";"0,0"
"01/01/2023";"0500";"17,4";"17,6";"17,3";"66,0";"71,0";"66,0";"11,0";"12,0";"11,0";"901,2";"901,5";"901,2";"2,1";"46,0";"3,8";"";"0,0"
"01/01/2023";"0600";"15,3";"17,5";"15,3";"78,0";"78,0";"66,0";"11,4";"11,5";"10,8";"901,3";"901,3";"901,1";"0,6";"356,0";"3,1";"";"0,0"
"01/01/2023";"0700";"15,2";"15,9";"14,1";"75,0";"85,0";"73,0";"10,9";"11,8";"10,9";"901,4";"901,5";"901,3";"1,7";"38,0";"3,6";"";"0,0"
"01/01/2023";"0800";"15,6";"15,7";"15,2";"76,0";"77,0";"74,0";"11,3";"11,3";"11,0";"901,9";"901,9";"901,4";"1,9";"27,0";"2,5";"";"0,0"
"01/01/2023";"0900";"16,3";"16,3";"15,6";"79,0";"81,0";"75,0";"12,7";"12,7";"11,3";"902,4";"902,4";"901,9";"1,6";"21,0";"2,5";"40,00";"0,0"
