Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m�);Chuva (mm)
2023/01/01;0000 UTC;26,5;28,2;26,5;56;56;48;17;17;16,1;1009,3;1009,3;1008,9;1,3;78;4,1;;0
2023/01/01;0100 UTC;25,7;26,5;25,5;57;58;54;16,4;17,1;16,3;1009,8;1009,8;1009,3;1,3;67;3,8;;0
2023/01/01;0200 UTC;23,4;25,6;23,4;66;66;57;16,7;16,9;16,4;1009,9;1010,1;1009,8;0,6;70;3,7;;0
2023/01/01;0300 UTC;22,2;23,4;22,2;71;71;66;16,7;16,8;16,5;1009,7;1010,1;1009,7;0,4;83;2;;0
2023/01/01;0400 UTC;21,4;22,2;21,4;76;76;71;17;17;16,5;1009,4;1009,7;1009,4;0,3;295;1,7;;0
2023/01/01;0500 UTC;20,3;21,4;20,3;81;81;76;16,9;17,3;16,9;1009,1;1009,4;1009,1;0,3;58;1,1;;0
2023/01/01;0600 UTC;20;20,5;19,9;83;83;81;17,1;17,2;16,8;1009,3;1009,4;1009,1;0,3;65;1,1;;0
2023/01/01;0700 UTC;19,4;20;19,3;86;86;83;16,9;17,1;16,9;1009,4;1009,4;1009,3;0,4;83;1,1;;0
2023/01/01;0800 UTC;19,4;19,5;19,1;87;87;86;17,1;17,3;16,7;1010;1010;1009,4;0,9;60;1,6;;0
2023/01/01;0900 UTC;20,2;20,2;19,3;85;87;85;17,5;17,6;17;1010,4;1010,4;1009,9;1,1;81;2,1;24,4;0
2023/01/01;1000 UTC;22,8;22,8;20,2;66;85;66;16,1;17,6;16,1;1010,6;1010,6;1010,4;2,4;75;3,9;138,6;0
2023/01/01;1100 UTC;26,4;26,4;22,7;53;68;53;16,2;17;15,9;1010,9;1010,9;1010,6;0,5;152;3,9;1367,8;0
2023/01/01;1200 UTC;28,8;28,9;26,4;48;55;47;16,8;17,6;15;1010,8;1011,1;1010,8;1;71;2,4;2290,1;0
2023/01/01;1300 UTC;31,5;31,6;28,7;40;50;38;16,4;18,5;15,6;1009,9;1010,8;1009,9;1,8;72;3,7;3001,5;0
2023/01/01;1400 UTC;33,7;33,8;31,5;37;43;35;17,1;18,3;15,9;1009,3;1010;1009,2;1,3;107;4,3;3186,2;0
2023/01/01;1500 UTC;;;;;;;;;;;;;;;;;
2023/01/01;1600 UTC;37,3;37,5;35,5;31;34;28;17,2;18;14,7;1007,6;1008,4;1007,6;0,9;112;4,5;4053,8;0
2023/01/01;1700 UTC;38,8;38,8;36,8;26;32;24;15,6;17,4;13,5;1006,7;1007,6;1006,7;1,4;178;4,3;3448,2;0
2023/01/01;1800 UTC;36,5;39,4;36;31;34;22;16,6;18;13,2;1006,3;1006,7;1006,3;1,5;127;5,9;2671,7;0
2023/01/01;1900 UTC;37,1;37,3;35,5;31;34;30;17,1;18,2;16,4;1005,7;1006,3;1005,7;1,4;129;6,3;2057,3;0
2023/01/01;2000 UTC;35;37,1;34,5;32;33;30;15,8;17,9;15,1;1005,1;1005,7;1005;2,4;89;6,1;1599,2;0
2023/01/01;2100 UTC;34,6;35,3;34,5;31;34;30;15,2;16,7;14,6;1004,6;1005,1;1004,6;1,4;98;6,1;1351,5;0
2023/01/01;2200 UTC;32;34,6;32;42;42;31;17,6;17,6;14,4;1004,5;1004,6;1004,3;2,5;83;6,8;338,6;0
2023/01/01;2300 UTC;30;32;30;52;52;42;19,2;19,2;17,7;1005,1;1005,2;999,4;2,2;79;7,3;19,3;0
2023/01/02;0000 UTC;29,5;30,1;29,3;48;54;48;17,5;19,3;17,5;1003,9;1005,3;1003,9;2,1;67;4,5;;0
2023/01/02;0100 UTC;28;29,6;27,9;55;56;48;18,3;18,3;17,3;1004,2;1004,7;1003,8;1,5;64;5,2;;0
2023/01/02;0200 UTC;27,1;28,1;26,4;60;63;55;18,7;19;18,2;1006,8;1006,8;1003,1;1,1;73;3,4;;0
2023/01/02;0300 UTC;26,7;27,2;26,7;62;62;60;18,8;19,1;18,7;1005,8;1006,8;1005,8;1;82;2,9;;0
2023/01/02;0400 UTC;26,2;26,8;25,9;61;66;60;18,2;19,2;18,2;1005,1;1006;1005,1;0,3;314;2,1;;0
2023/01/02;0500 UTC;28,1;28,2;26,1;50;61;50;16,7;18,1;16,6;1004,4;1005,1;1004,3;1,7;70;6,3;0,7;0
2023/01/02;0600 UTC;26,5;28,2;26,2;57;58;49;17,3;17,5;16,4;1005,2;1005,2;1004,4;1,2;251;6,3;;0
2023/01/02;0700 UTC;27,2;28,7;26,4;57;59;50;17,9;18;17,2;1005,2;1005,5;1005,2;0,9;259;7;0,5;0
2023/01/02;0800 UTC;25,8;27,2;25,8;66;66;57;18,9;18,9;17,8;1005,4;1005,4;1005,2;0,4;290;2;;0
2023/01/02;0900 UTC;27;27,4;25,7;58;66;57;18,2;19;18;1005,6;1005,6;1005,2;1,1;358;3,4;9,3;0
2023/01/02;1000 UTC;28,1;28,1;26,6;52;62;52;17,2;18,7;17,1;1005,9;1005,9;1005,6;1,1;304;3,4;206,3;0
2023/01/02;1100 UTC;28;28,4;27,8;52;55;51;17,4;17,9;17,1;1006,2;1006,2;1005,8;1,8;258;4,6;438,2;0
2023/01/02;1200 UTC;28,4;28,6;28;53;55;51;18;18,3;17,3;1006,4;1006,5;1006,2;1,1;98;6;660,6;0
2023/01/02;1300 UTC;29,6;30,1;28,4;51;56;48;18,3;19,5;17,6;1006,2;1006,5;1006;1,7;295;4,6;1154,3;0
2023/01/02;1400 UTC;30,2;30,8;29,6;48;52;46;18,1;19;17,5;1005,3;1006,2;1005,3;2,3;295;4,7;1659,6;0
2023/01/02;1500 UTC;33,5;33,6;30,2;42;51;42;18,7;19,6;18,1;1004,8;1005,3;1004,7;1,8;298;7,2;2792,2;0
2023/01/02;1600 UTC;33;33,7;31,9;41;48;39;17,8;20,2;17,6;1003,8;1004,8;1003,8;2,2;277;7,5;2083;0
2023/01/02;1700 UTC;33;34,7;32,6;41;43;37;18,1;19,1;17,3;1002,9;1003,8;1002,9;2,3;272;6,5;1909,7;0
2023/01/02;1800 UTC;34,2;35,2;32,9;37;44;35;17,3;19,9;16,8;1002;1002,9;1001,9;1,7;301;6,3;1923,4;0
2023/01/02;1900 UTC;33,2;34,2;32,8;42;44;37;18,4;19,6;17,4;1001,3;1002;1001,2;1,8;32;6,3;1935,2;0
2023/01/02;2000 UTC;34,3;34,7;31,7;41;49;40;19,1;20,5;18,3;1000,3;1001,3;1000,3;1,4;24;5,5;1328,7;0
2023/01/02;2100 UTC;32;34,3;31,9;49;50;40;20;20,1;18,7;1000;1000,3;999,7;0,7;348;4,3;669,5;0
2023/01/02;2200 UTC;29,3;32,2;29,3;63;63;46;21,5;21,5;19,2;1001;1001;999,9;1,2;232;7,8;255,7;0
2023/01/02;2300 UTC;27,8;29,3;27,8;74;74;62;22,8;22,8;21,1;1001,9;1001,9;1000,9;0,7;154;3,1;13,7;0
2023/01/03;0000 UTC;27,4;27,8;27,3;76;77;74;22,9;23,1;22,8;1002,5;1002,5;1001,9;1,1;25;3,1;2,9;0
2023/01/03;0100 UTC;25,8;27,5;25,8;85;85;75;23;23;22,5;1003,8;1003,8;1002,5;0,8;108;3,9;1,3;0
