"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,4";"27,1";"26,3";"36,0";"40,0";"36,0";"10,2";"12,1";"10,0";"961,0";"961,0";"960,6";"4,1";"63,0";"7,2";"";"0,0"
"01/01/2023";"0100";"25,3";"26,4";"25,1";"38,0";"40,0";"36,0";"9,8";"10,4";"9,8";"961,3";"961,3";"961,0";"4,6";"51,0";"9,3";"";"0,0"
"01/01/2023";"0200";"23,9";"25,3";"23,9";"53,0";"53,0";"38,0";"13,7";"13,7";"9,8";"961,5";"961,5";"961,2";"4,7";"46,0";"9,1";"";"0,0"
"01/01/2023";"0300";"23,3";"23,9";"23,2";"63,0";"63,0";"53,0";"15,8";"15,9";"13,8";"961,4";"961,6";"961,4";"4,5";"39,0";"8,8";"";"0,0"
"01/01/2023";"0400";"23,5";"23,5";"23,1";"47,0";"63,0";"47,0";"11,7";"15,8";"11,6";"961,1";"961,4";"961,1";"5,5";"31,0";"9,8";"";"0,0"
"01/01/2023";"0500";"23,8";"24,1";"23,5";"40,0";"47,0";"39,0";"9,4";"11,5";"9,2";"961,0";"961,2";"960,9";"5,7";"32,0";"10,3";"";"0,0"
"01/01/2023";"0600";"23,4";"24,0";"23,4";"42,0";"42,0";"38,0";"9,9";"9,9";"8,8";"960,9";"961,0";"960,9";"5,6";"25,0";"9,6";"";"0,0"
"01/01/2023";"0700";"23,4";"23,6";"23,3";"41,0";"43,0";"40,0";"9,4";"10,0";"9,2";"960,8";"960,9";"960,8";"5,5";"28,0";"9,0";"";"0,0"
"01/01/2023";"0800";"22,9";"23,4";"22,9";"44,0";"44,0";"41,0";"10,1";"10,1";"9,5";"961,0";"961,0";"960,8";"5,0";"18,0";"9,4";"";"0,0"
"01/01/2023";"0900";"24,3";"24,3";"22,9";"37,0";"44,0";"37,0";"8,5";"10,1";"8,5";"961,2";"961,2";"960,9";"5,6";"29,0";"9,0";"21,60";"0,0"
