"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,4";"27,7";"26,7";"38,0";"38,0";"36,0";"11,8";"12,0";"10,9";"962,2";"962,2";"961,8";"5,0";"298,0";"6,8";"";"0,0"
"01/01/2023";"0100";"26,5";"27,4";"26,5";"39,0";"39,0";"37,0";"11,4";"11,9";"10,9";"962,7";"962,7";"962,2";"4,6";"298,0";"7,4";"";"0,0"
"01/01/2023";"0200";"24,8";"26,5";"24,5";"46,0";"47,0";"39,0";"12,5";"12,5";"11,5";"962,9";"963,0";"962,7";"4,1";"298,0";"6,4";"";"0,0"
"01/01/2023";"0300";"25,3";"25,3";"23,6";"43,0";"49,0";"43,0";"11,9";"12,6";"11,9";"962,7";"963,0";"962,7";"4,5";"298,0";"6,1";"";"0,0"
"01/01/2023";"0400";"24,1";"25,3";"24,0";"49,0";"49,0";"43,0";"12,7";"12,7";"11,9";"962,5";"962,7";"962,5";"4,9";"298,0";"7,1";"";"0,0"
"01/01/2023";"0500";"23,0";"24,1";"22,9";"56,0";"56,0";"49,0";"13,7";"13,7";"12,7";"962,4";"962,6";"962,4";"4,9";"298,0";"7,7";"";"0,0"
"01/01/2023";"0600";"21,5";"23,0";"21,5";"64,0";"64,0";"56,0";"14,4";"14,4";"13,7";"962,2";"962,4";"962,2";"4,3";"298,0";"6,7";"";"0,0"
"01/01/2023";"0700";"21,2";"21,7";"21,1";"67,0";"67,0";"64,0";"14,8";"14,8";"14,4";"961,9";"962,2";"961,9";"4,4";"298,0";"6,5";"";"0,0"
"01/01/2023";"0800";"21,1";"21,4";"20,9";"66,0";"68,0";"65,0";"14,4";"14,8";"14,4";"962,4";"962,4";"961,9";"3,3";"298,0";"6,1";"";"0,0"
"01/01/2023";"0900";"21,0";"21,1";"20,6";"65,0";"67,0";"64,0";"14,2";"14,4";"14,1";"963,0";"963,0";"962,4";"3,7";"298,0";"5,5";"12,60";"0,0"
"01/01/2023";"1000";"22,8";"22,8";"21,0";"65,0";"67,0";"64,0";"15,8";"15,8";"14,2";"963,3";"963,3";"963,0";"2,2";"298,0";"5,9";"286,90";"0,0"
"01/01/2023";"1100";"26,1";"26,1";"22,8";"60,0";"65,0";"59,0";"17,6";"17,8";"15,7";"963,7";"963,7";"963,3";"4,4";"298,0";"6,9";"1175,40";"0,0"
"01/01/2023";"1200";"28,9";"29,0";"26,1";"53,0";"60,0";"53,0";"18,5";"18,9";"17,5";"963,8";"963,8";"963,5";"3,3";"298,0";"7,5";"2014,40";"0,0"
"01/01/2023";"1300";"30,6";"30,6";"28,7";"54,0";"56,0";"53,0";"20,1";"20,3";"18,3";"963,8";"963,9";"963,8";"3,0";"298,0";"8,6";"2786,00";"0,0"
"01/01/2023";"1400";"30,1";"31,5";"29,7";"53,0";"56,0";"51,0";"19,6";"21,2";"19,4";"963,3";"963,8";"963,3";"3,1";"298,0";"9,6";"3335,80";"0,0"
"01/01/2023";"1500";"32,0";"32,6";"30,1";"47,0";"56,0";"47,0";"19,2";"21,0";"19,2";"962,7";"963,3";"962,7";"2,7";"298,0";"7,3";"3841,70";"0,0"
"01/01/2023";"1600";"32,9";"33,7";"31,2";"41,0";"49,0";"40,0";"18,0";"20,1";"17,9";"962,1";"962,7";"962,0";"2,9";"298,0";"7,8";"3821,70";"0,0"
"01/01/2023";"1700";"34,6";"34,6";"32,9";"38,0";"43,0";"36,0";"18,1";"19,1";"16,4";"961,2";"962,1";"961,1";"2,7";"298,0";"8,2";"4000,80";"0,0"
"01/01/2023";"1800";"34,1";"35,0";"33,5";"34,0";"39,0";"33,0";"16,1";"18,3";"16,1";"960,5";"961,2";"960,5";"2,6";"298,0";"8,0";"3517,00";"0,0"
"01/01/2023";"1900";"34,8";"35,2";"33,7";"35,0";"37,0";"33,0";"17,1";"18,1";"16,1";"959,6";"960,5";"959,6";"2,4";"298,0";"6,6";"3131,00";"0,0"
"01/01/2023";"2000";"34,1";"35,0";"33,9";"35,0";"37,0";"33,0";"16,4";"17,7";"15,6";"958,5";"959,6";"958,5";"2,1";"298,0";"5,9";"2328,10";"0,0"
"01/01/2023";"2100";"33,5";"34,4";"33,5";"36,0";"38,0";"34,0";"16,5";"17,6";"15,7";"958,1";"958,5";"957,9";"1,2";"298,0";"5,9";"1426,10";"0,0"
"01/01/2023";"2200";"31,9";"33,5";"31,9";"40,0";"41,0";"36,0";"16,6";"17,3";"16,2";"958,1";"958,1";"957,9";"1,1";"298,0";"4,2";"289,60";"0,0"
"01/01/2023";"2300";"29,0";"31,9";"28,9";"51,0";"51,0";"40,0";"17,6";"17,7";"16,5";"958,0";"958,3";"957,9";"1,2";"298,0";"3,6";"26,50";"0,0"
"02/01/2023";"0000";"27,8";"29,4";"27,3";"54,0";"57,0";"49,0";"17,6";"17,9";"17,6";"959,4";"959,4";"958,0";"0,7";"298,0";"3,6";"";"0,0"
"02/01/2023";"0100";"27,9";"28,9";"27,3";"53,0";"57,0";"50,0";"17,5";"18,2";"17,2";"960,3";"960,3";"959,4";"0,0";"298,0";"1,9";"";"0,0"
