"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,7";"30,1";"27,2";"44,0";"46,0";"36,0";"14,3";"15,8";"12,9";"992,1";"992,1";"992,0";"2,2";"37,0";"2,7";"";"0,0"
"01/01/2023";"0100";"24,6";"28,0";"24,6";"57,0";"57,0";"39,0";"15,5";"15,5";"12,5";"992,6";"992,6";"992,1";"1,2";"60,0";"2,7";"";"0,0"
"01/01/2023";"0200";"25,9";"26,2";"23,5";"47,0";"63,0";"46,0";"13,8";"16,2";"13,8";"993,2";"993,2";"992,6";"4,3";"92,0";"8,2";"";"0,0"
"01/01/2023";"0300";"27,7";"27,8";"25,1";"41,0";"50,0";"40,0";"13,1";"14,1";"13,1";"993,0";"993,2";"992,8";"4,8";"41,0";"8,2";"";"0,0"
"01/01/2023";"0400";"23,1";"27,7";"23,1";"59,0";"59,0";"40,0";"14,6";"14,6";"13,0";"993,2";"993,2";"993,0";"2,6";"125,0";"7,2";"";"0,0"
"01/01/2023";"0500";"26,8";"27,1";"23,0";"45,0";"60,0";"44,0";"13,9";"14,8";"13,8";"992,9";"993,3";"992,8";"4,7";"43,0";"6,7";"";"0,0"
"01/01/2023";"0600";"26,0";"26,9";"25,4";"48,0";"50,0";"45,0";"14,1";"14,4";"13,8";"992,7";"992,9";"992,6";"7,4";"48,0";"10,8";"";"0,0"
"01/01/2023";"0700";"22,6";"26,2";"21,8";"63,0";"65,0";"47,0";"15,1";"15,3";"13,7";"992,8";"993,1";"992,6";"3,0";"172,0";"10,3";"";"0,0"
"01/01/2023";"0800";"21,9";"22,8";"21,9";"62,0";"64,0";"59,0";"14,3";"15,1";"14,2";"993,2";"993,2";"992,8";"1,8";"150,0";"4,8";"";"0,0"
"01/01/2023";"0900";"22,2";"22,7";"21,3";"59,0";"64,0";"58,0";"13,7";"14,6";"13,7";"993,6";"993,7";"993,2";"1,7";"138,0";"4,4";"14,60";"0,0"
"01/01/2023";"1000";"23,8";"23,8";"22,2";"58,0";"61,0";"54,0";"15,2";"15,4";"13,7";"993,3";"993,6";"993,2";"1,9";"186,0";"3,4";"442,40";"0,0"
"01/01/2023";"1100";"28,3";"28,3";"23,8";"47,0";"59,0";"47,0";"15,8";"16,4";"14,8";"993,5";"993,5";"993,2";"2,1";"331,0";"5,1";"1232,40";"0,0"
"01/01/2023";"1200";"31,2";"31,3";"28,3";"40,0";"47,0";"40,0";"15,9";"16,7";"15,3";"993,3";"993,5";"993,3";"4,2";"23,0";"8,0";"2087,50";"0,0"
"01/01/2023";"1300";"33,6";"33,8";"31,0";"33,0";"40,0";"32,0";"14,9";"17,0";"14,9";"992,8";"993,4";"992,7";"5,2";"29,0";"7,8";"2704,20";"0,0"
"01/01/2023";"1400";"34,4";"34,7";"32,6";"28,0";"33,0";"28,0";"13,0";"15,6";"13,0";"992,8";"993,0";"992,8";"6,4";"24,0";"10,3";"2887,30";"0,0"
"01/01/2023";"1500";"34,4";"35,5";"34,2";"28,0";"30,0";"26,0";"13,1";"14,6";"12,4";"992,0";"992,8";"992,0";"5,3";"40,0";"10,3";"3384,70";"0,0"
"01/01/2023";"1600";"34,9";"35,7";"34,4";"25,0";"30,0";"22,0";"11,7";"14,4";"10,5";"991,5";"992,0";"991,5";"4,0";"348,0";"8,6";"2770,10";"0,0"
"01/01/2023";"1700";"35,1";"35,7";"34,8";"26,0";"28,0";"24,0";"12,5";"14,1";"11,8";"990,8";"991,5";"990,8";"5,2";"5,0";"8,4";"2236,10";"0,0"
"01/01/2023";"1800";"35,8";"36,5";"35,1";"23,0";"27,0";"22,0";"11,5";"13,4";"10,7";"989,8";"990,8";"989,8";"4,7";"13,0";"8,6";"2944,90";"0,0"
"01/01/2023";"1900";"35,3";"36,3";"35,3";"25,0";"26,0";"22,0";"12,1";"13,3";"10,8";"989,1";"989,8";"989,1";"2,3";"334,0";"8,1";"2284,50";"0,0"
"01/01/2023";"2000";"36,1";"36,5";"35,3";"27,0";"28,0";"24,0";"14,2";"14,4";"11,8";"987,8";"989,1";"987,8";"2,9";"69,0";"5,8";"2191,90";"0,0"
"01/01/2023";"2100";"35,1";"36,2";"34,2";"30,0";"30,0";"25,0";"14,9";"14,9";"12,6";"987,1";"987,8";"987,1";"3,2";"81,0";"5,8";"1298,20";"0,0"
"01/01/2023";"2200";"33,6";"35,3";"33,6";"31,0";"31,0";"26,0";"14,2";"14,6";"13,1";"987,0";"987,2";"986,9";"2,6";"68,0";"5,2";"658,10";"0,0"
"01/01/2023";"2300";"29,1";"33,6";"29,0";"53,0";"53,0";"31,0";"18,4";"18,5";"14,1";"987,8";"988,1";"986,9";"5,4";"329,0";"11,6";"46,90";"0,0"
"02/01/2023";"0000";"27,0";"29,3";"26,3";"64,0";"69,0";"50,0";"19,7";"20,4";"17,8";"990,9";"990,9";"987,8";"3,0";"281,0";"12,1";"";"0,0"
"02/01/2023";"0100";"22,8";"27,2";"22,8";"87,0";"87,0";"60,0";"20,5";"20,6";"18,5";"993,2";"993,3";"990,9";"6,4";"266,0";"15,0";"";"0,0"
"02/01/2023";"0200";"22,4";"22,8";"22,4";"91,0";"91,0";"87,0";"20,9";"20,9";"20,5";"992,4";"993,5";"992,4";"2,7";"83,0";"9,1";"";"2,6"
"02/01/2023";"0300";"22,2";"22,4";"22,1";"92,0";"92,0";"91,0";"20,8";"21,0";"20,8";"991,0";"992,4";"990,7";"1,4";"97,0";"5,4";"";"0,0"
"02/01/2023";"0400";"22,4";"22,6";"22,2";"92,0";"92,0";"92,0";"21,0";"21,3";"20,9";"990,1";"991,1";"990,1";"2,0";"32,0";"2,6";"";"0,0"
"02/01/2023";"0500";"22,4";"22,5";"22,3";"92,0";"92,0";"92,0";"21,0";"21,1";"20,8";"989,6";"990,5";"989,4";"1,6";"354,0";"2,7";"";"0,2"
"02/01/2023";"0600";"22,2";"22,4";"22,1";"93,0";"93,0";"92,0";"21,0";"21,0";"20,8";"989,2";"990,0";"988,9";"1,6";"325,0";"3,0";"";"0,0"
"02/01/2023";"0700";"22,0";"22,3";"22,0";"93,0";"93,0";"93,0";"20,8";"21,0";"20,8";"989,8";"989,8";"989,1";"1,7";"296,0";"3,5";"";"0,0"
"02/01/2023";"0800";"22,0";"22,1";"21,8";"93,0";"93,0";"93,0";"20,9";"20,9";"20,6";"989,9";"989,9";"989,7";"2,4";"260,0";"3,4";"";"0,0"
"02/01/2023";"0900";"22,0";"22,0";"21,8";"93,0";"93,0";"93,0";"20,9";"20,9";"20,7";"990,3";"990,3";"989,9";"1,2";"347,0";"3,6";"2,60";"0,0"
"02/01/2023";"1000";"22,3";"22,3";"21,9";"93,0";"93,0";"93,0";"21,1";"21,1";"20,8";"990,3";"990,4";"990,2";"0,3";"290,0";"2,6";"104,10";"0,0"
"02/01/2023";"1100";"23,2";"23,2";"22,3";"91,0";"93,0";"91,0";"21,7";"21,8";"21,0";"990,7";"990,7";"990,3";"1,1";"321,0";"3,2";"329,00";"0,0"
"02/01/2023";"1200";"24,0";"24,1";"23,1";"85,0";"91,0";"85,0";"21,3";"21,9";"21,3";"990,8";"990,8";"990,6";"3,5";"262,0";"4,9";"715,10";"0,2"
"02/01/2023";"1300";"24,8";"25,1";"23,8";"79,0";"86,0";"77,0";"20,9";"22,0";"20,4";"990,6";"990,8";"990,5";"3,9";"265,0";"5,5";"1273,00";"0,0"
"02/01/2023";"1400";"24,1";"25,2";"23,9";"79,0";"81,0";"76,0";"20,2";"21,4";"20,1";"990,6";"990,6";"990,5";"5,5";"251,0";"8,2";"734,90";"0,0"
