"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,8";"28,4";"26,8";"47,0";"47,0";"38,0";"14,4";"14,4";"12,6";"964,7";"964,7";"964,3";"1,3";"100,0";"4,2";"";"0,0"
"01/01/2023";"0100";"25,2";"26,8";"25,2";"47,0";"50,0";"47,0";"13,2";"14,8";"13,2";"965,3";"965,3";"964,7";"1,8";"97,0";"4,7";"";"0,0"
"01/01/2023";"0200";"24,1";"25,2";"24,1";"53,0";"54,0";"47,0";"14,1";"14,1";"13,1";"965,5";"965,6";"965,3";"2,2";"84,0";"5,3";"";"0,0"
"01/01/2023";"0300";"23,7";"24,1";"23,5";"54,0";"59,0";"53,0";"13,8";"15,2";"13,8";"965,4";"965,6";"965,3";"2,4";"69,0";"4,5";"";"0,0"
"01/01/2023";"0400";"23,3";"23,7";"23,0";"50,0";"56,0";"50,0";"12,4";"14,1";"12,4";"965,0";"965,4";"965,0";"2,4";"70,0";"5,1";"";"0,0"
"01/01/2023";"0500";"23,1";"23,3";"23,0";"45,0";"50,0";"45,0";"10,6";"12,2";"10,5";"964,9";"965,1";"964,9";"1,0";"55,0";"5,4";"";"0,0"
"01/01/2023";"0600";"23,1";"23,1";"22,8";"42,0";"46,0";"42,0";"9,7";"10,6";"9,7";"964,9";"964,9";"964,7";"1,8";"57,0";"3,6";"";"0,0"
"01/01/2023";"0700";"22,8";"23,3";"22,7";"43,0";"43,0";"42,0";"9,4";"9,7";"9,4";"964,6";"964,9";"964,6";"2,5";"87,0";"4,3";"";"0,0"
"01/01/2023";"0800";"22,8";"23,1";"22,7";"43,0";"43,0";"41,0";"9,7";"9,7";"9,2";"964,8";"964,8";"964,5";"1,7";"105,0";"4,3";"";"0,0"
"01/01/2023";"0900";"23,1";"23,1";"22,6";"46,0";"47,0";"43,0";"11,0";"11,0";"9,7";"965,1";"965,1";"964,8";"2,4";"90,0";"3,9";"20,00";"0,0"
"01/01/2023";"1000";"25,4";"25,4";"23,1";"45,0";"48,0";"45,0";"12,7";"12,7";"11,0";"965,5";"965,5";"965,0";"1,9";"85,0";"3,9";"170,70";"0,0"
"01/01/2023";"1100";"26,9";"26,9";"25,4";"49,0";"49,0";"45,0";"15,2";"15,2";"12,7";"965,6";"965,7";"965,5";"3,8";"50,0";"6,4";"1306,10";"0,0"
"01/01/2023";"1200";"28,1";"28,1";"26,6";"49,0";"51,0";"48,0";"16,3";"16,6";"14,9";"965,4";"965,6";"965,3";"3,5";"29,0";"7,6";"2156,50";"0,0"
