"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"25,5";"26,5";"25,3";"39,0";"40,0";"38,0";"10,6";"11,3";"10,5";"935,3";"935,3";"934,9";"1,8";"112,0";"3,2";"";"0,0"
"01/01/2023";"0100";"24,1";"25,5";"23,9";"45,0";"47,0";"39,0";"11,5";"11,8";"10,6";"935,6";"935,6";"935,3";"2,1";"116,0";"4,5";"";"0,0"
"01/01/2023";"0200";"23,1";"24,3";"23,1";"51,0";"51,0";"45,0";"12,4";"12,4";"11,5";"935,5";"935,7";"935,5";"2,8";"124,0";"4,5";"";"0,0"
"01/01/2023";"0300";"22,1";"23,4";"20,3";"55,0";"62,0";"50,0";"12,7";"13,1";"12,1";"935,4";"935,6";"935,3";"2,6";"81,0";"5,8";"";"0,0"
"01/01/2023";"0400";"22,1";"22,2";"21,5";"64,0";"64,0";"55,0";"14,9";"14,9";"12,7";"935,6";"935,6";"935,4";"3,4";"67,0";"7,3";"";"0,0"
"01/01/2023";"0500";"20,9";"22,2";"20,8";"72,0";"72,0";"64,0";"15,5";"15,6";"14,8";"935,6";"935,7";"935,5";"3,7";"81,0";"7,3";"";"0,0"
"01/01/2023";"0600";"20,6";"21,0";"20,3";"76,0";"76,0";"71,0";"16,2";"16,3";"15,5";"935,8";"935,8";"935,6";"3,0";"75,0";"6,0";"";"0,0"
"01/01/2023";"0700";"20,4";"20,6";"20,1";"80,0";"81,0";"76,0";"16,8";"16,9";"16,1";"935,8";"935,8";"935,7";"4,1";"74,0";"7,7";"";"0,0"
"01/01/2023";"0800";"20,0";"20,4";"19,7";"83,0";"84,0";"80,0";"16,9";"17,0";"16,7";"936,1";"936,2";"935,8";"4,7";"72,0";"7,7";"";"0,0"
"01/01/2023";"0900";"20,7";"20,7";"19,9";"80,0";"83,0";"80,0";"17,2";"17,2";"16,9";"936,7";"936,7";"936,1";"4,9";"69,0";"8,1";"208,80";"0,0"
"01/01/2023";"1000";"22,7";"22,7";"20,7";"73,0";"80,0";"73,0";"17,7";"17,7";"17,2";"937,1";"937,1";"936,7";"4,5";"60,0";"8,2";"890,40";"0,0"
"01/01/2023";"1100";"24,2";"24,4";"22,5";"67,0";"73,0";"66,0";"17,7";"18,2";"17,2";"937,3";"937,4";"937,1";"4,6";"48,0";"8,9";"1712,60";"0,0"
"01/01/2023";"1200";"27,2";"27,2";"24,1";"59,0";"68,0";"58,0";"18,4";"18,8";"17,5";"937,2";"937,4";"937,2";"4,9";"33,0";"8,6";"2475,90";"0,0"
