"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,5";"27,7";"26,4";"55,0";"57,0";"54,0";"16,7";"17,8";"16,6";"1006,4";"1006,4";"1006,1";"2,0";"125,0";"6,1";"";"0,0"
"01/01/2023";"0100";"26,8";"26,9";"26,2";"49,0";"56,0";"49,0";"15,1";"16,8";"15,1";"1006,8";"1006,8";"1006,4";"1,9";"109,0";"6,1";"";"0,0"
"01/01/2023";"0200";"26,3";"26,9";"25,6";"50,0";"53,0";"47,0";"14,9";"15,4";"14,3";"1006,8";"1006,9";"1006,8";"1,5";"112,0";"5,4";"";"0,0"
"01/01/2023";"0300";"25,2";"26,6";"25,2";"59,0";"59,0";"48,0";"16,5";"16,5";"14,7";"1006,5";"1006,8";"1006,5";"1,4";"136,0";"6,2";"";"0,0"
"01/01/2023";"0400";"24,1";"25,2";"24,0";"65,0";"65,0";"59,0";"17,1";"17,2";"16,4";"1006,1";"1006,5";"1006,1";"1,1";"134,0";"5,1";"";"0,0"
"01/01/2023";"0500";"23,1";"24,1";"23,0";"73,0";"73,0";"65,0";"18,0";"18,0";"17,0";"1006,0";"1006,2";"1006,0";"1,1";"97,0";"5,1";"";"0,0"
"01/01/2023";"0600";"22,0";"23,1";"22,0";"81,0";"81,0";"73,0";"18,6";"18,6";"17,9";"1006,1";"1006,1";"1006,0";"1,1";"117,0";"3,0";"";"0,0"
"01/01/2023";"0700";"21,5";"22,0";"21,5";"89,0";"89,0";"81,0";"19,5";"19,5";"18,7";"1006,1";"1006,2";"1006,1";"1,2";"125,0";"3,5";"";"0,0"
"01/01/2023";"0800";"21,0";"21,5";"21,0";"91,0";"91,0";"89,0";"19,5";"19,5";"19,4";"1006,7";"1006,7";"1006,1";"0,9";"98,0";"3,0";"";"0,0"
"01/01/2023";"0900";"21,1";"21,1";"20,8";"91,0";"92,0";"91,0";"19,6";"19,6";"19,4";"1007,0";"1007,0";"1006,5";"1,2";"126,0";"2,9";"29,40";"0,0"
"01/01/2023";"1000";"23,5";"23,5";"21,1";"82,0";"91,0";"81,0";"20,2";"20,4";"19,6";"1007,3";"1007,3";"1007,0";"1,1";"127,0";"2,9";"491,00";"0,0"
"01/01/2023";"1100";"26,2";"26,3";"23,6";"72,0";"82,0";"72,0";"20,9";"21,2";"20,1";"1007,8";"1007,8";"1007,3";"1,0";"116,0";"2,7";"1326,80";"0,0"
"01/01/2023";"1200";"28,7";"28,7";"26,2";"60,0";"73,0";"55,0";"20,1";"21,4";"18,2";"1007,5";"1007,8";"1007,5";"1,1";"31,0";"2,6";"2088,90";"0,0"
"01/01/2023";"1300";"30,8";"31,0";"28,5";"45,0";"60,0";"45,0";"17,5";"19,7";"17,5";"1006,8";"1007,5";"1006,8";"0,9";"339,0";"3,9";"2812,30";"0,0"
"01/01/2023";"1400";"32,7";"32,9";"30,6";"36,0";"48,0";"36,0";"15,8";"18,9";"15,6";"1006,3";"1006,8";"1006,3";"1,7";"340,0";"4,2";"3340,40";"0,0"
"01/01/2023";"1500";"33,8";"34,8";"32,6";"37,0";"41,0";"34,0";"16,9";"19,4";"16,1";"1005,7";"1006,3";"1005,7";"1,3";"38,0";"4,6";"3735,50";"0,0"
