"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"28,4";"30,7";"28,4";"35,0";"35,0";"28,0";"11,5";"11,5";"10,4";"995,5";"995,5";"995,1";"2,8";"51,0";"4,6";"";"0,0"
"01/01/2023";"0100";"26,3";"28,4";"26,3";"42,0";"42,0";"35,0";"12,4";"12,4";"11,4";"996,1";"996,1";"995,5";"2,7";"40,0";"4,3";"";"0,0"
"01/01/2023";"0200";"26,5";"26,5";"25,8";"39,0";"43,0";"39,0";"11,2";"12,4";"11,2";"996,2";"996,2";"996,1";"2,4";"48,0";"4,5";"";"0,0"
"01/01/2023";"0300";"26,3";"26,6";"26,1";"37,0";"39,0";"37,0";"10,4";"11,2";"10,4";"995,8";"996,2";"995,8";"2,7";"41,0";"3,8";"";"0,0"
"01/01/2023";"0400";"25,4";"26,4";"25,3";"40,0";"40,0";"35,0";"10,7";"10,7";"9,6";"995,6";"995,8";"995,6";"2,8";"38,0";"4,9";"";"0,0"
"01/01/2023";"0500";"25,5";"26,5";"25,4";"40,0";"40,0";"37,0";"11,0";"11,0";"10,6";"995,4";"995,6";"995,4";"3,4";"56,0";"4,6";"";"0,0"
"01/01/2023";"0600";"24,9";"25,5";"24,4";"42,0";"44,0";"40,0";"11,0";"11,3";"10,9";"995,5";"995,5";"995,3";"3,0";"50,0";"5,4";"";"0,0"
"01/01/2023";"0700";"23,7";"25,0";"22,2";"48,0";"55,0";"41,0";"12,1";"12,9";"10,9";"995,5";"995,7";"995,4";"2,8";"104,0";"5,5";"";"0,0"
"01/01/2023";"0800";"22,0";"23,7";"22,0";"55,0";"55,0";"48,0";"12,5";"12,8";"11,9";"995,6";"995,7";"995,4";"1,8";"158,0";"5,5";"";"0,0"
"01/01/2023";"0900";"21,9";"23,5";"21,0";"56,0";"59,0";"52,0";"12,6";"13,4";"12,5";"995,7";"995,8";"995,5";"2,2";"181,0";"4,6";"8,70";"0,0"
"01/01/2023";"1000";"27,1";"27,1";"21,8";"46,0";"58,0";"46,0";"14,5";"14,9";"12,8";"995,9";"995,9";"995,7";"4,1";"61,0";"8,3";"456,60";"0,0"
"01/01/2023";"1100";"30,4";"30,5";"27,1";"36,0";"46,0";"36,0";"13,8";"14,6";"13,7";"996,1";"996,1";"995,8";"5,5";"56,0";"9,2";"1143,80";"0,0"
"01/01/2023";"1200";"32,8";"33,2";"30,4";"33,0";"37,0";"32,0";"14,2";"14,7";"13,6";"996,0";"996,1";"995,8";"7,0";"47,0";"10,8";"2038,90";"0,0"
"01/01/2023";"1300";"35,6";"35,7";"32,8";"27,0";"33,0";"27,0";"13,7";"14,9";"13,5";"995,8";"996,0";"995,8";"5,8";"35,0";"10,7";"2763,10";"0,0"
"01/01/2023";"1400";"36,9";"37,8";"35,5";"24,0";"27,0";"23,0";"13,2";"14,7";"12,6";"995,3";"995,8";"995,2";"5,1";"21,0";"10,9";"3344,00";"0,0"
"01/01/2023";"1500";"36,5";"38,7";"36,4";"25,0";"25,0";"22,0";"13,5";"14,3";"12,3";"994,8";"995,3";"994,7";"5,0";"5,0";"11,1";"3520,70";"0,0"
"01/01/2023";"1600";"38,5";"39,1";"36,5";"23,0";"27,0";"22,0";"13,7";"15,3";"13,0";"993,8";"994,8";"993,8";"4,9";"332,0";"11,1";"3823,00";"0,0"
"01/01/2023";"1700";"37,2";"39,9";"37,0";"25,0";"25,0";"21,0";"13,5";"14,8";"12,8";"992,8";"993,8";"992,8";"4,0";"356,0";"10,8";"3312,60";"0,0"
"01/01/2023";"1800";"39,4";"40,9";"37,1";"22,0";"25,0";"20,0";"13,4";"14,5";"12,5";"991,6";"992,8";"991,6";"3,5";"353,0";"10,7";"3434,40";"0,0"
"01/01/2023";"1900";"28,1";"39,7";"27,7";"47,0";"50,0";"21,0";"15,6";"18,4";"13,4";"991,5";"991,6";"991,4";"9,5";"329,0";"19,0";"1046,20";"0,0"
"01/01/2023";"2000";"30,7";"31,5";"27,9";"41,0";"51,0";"35,0";"16,0";"17,4";"14,3";"990,9";"991,8";"990,9";"2,6";"328,0";"17,7";"358,20";"0,0"
"01/01/2023";"2100";"23,3";"31,6";"21,3";"94,0";"95,0";"35,0";"22,2";"22,3";"14,3";"992,0";"992,4";"990,9";"8,6";"5,0";"21,1";"81,70";"11,4"
"01/01/2023";"2200";"23,4";"24,0";"23,2";"88,0";"93,0";"85,0";"21,2";"22,2";"21,1";"994,3";"994,3";"992,0";"7,0";"328,0";"15,3";"16,20";"1,2"
"01/01/2023";"2300";"22,5";"23,4";"22,5";"93,0";"93,0";"88,0";"21,4";"21,9";"21,1";"996,4";"997,1";"994,4";"4,5";"260,0";"12,5";"0,80";"2,4"
"02/01/2023";"0000";"22,7";"22,7";"22,4";"94,0";"94,0";"93,0";"21,6";"21,7";"21,4";"995,1";"996,4";"994,9";"1,9";"133,0";"6,5";"";"0,6"
"02/01/2023";"0100";"22,2";"22,7";"22,1";"93,0";"94,0";"93,0";"21,1";"21,5";"21,1";"995,8";"995,9";"995,1";"2,4";"141,0";"3,6";"";"0,0"
"02/01/2023";"0200";"21,7";"22,4";"21,7";"94,0";"95,0";"93,0";"20,7";"21,3";"20,6";"995,7";"996,2";"995,7";"2,7";"143,0";"5,4";"";"0,2"
"02/01/2023";"0300";"21,8";"21,9";"21,5";"94,0";"95,0";"94,0";"20,8";"21,0";"20,6";"995,3";"995,8";"994,6";"1,9";"175,0";"4,2";"";"0,0"
"02/01/2023";"0400";"21,6";"21,9";"21,6";"94,0";"94,0";"94,0";"20,6";"20,9";"20,5";"994,3";"995,3";"994,3";"2,3";"170,0";"4,0";"";"0,0"
"02/01/2023";"0500";"21,0";"21,6";"21,0";"95,0";"95,0";"94,0";"20,2";"20,6";"20,1";"993,9";"994,3";"993,7";"0,9";"58,0";"3,5";"";"0,2"
"02/01/2023";"0600";"21,4";"21,4";"20,8";"96,0";"96,0";"95,0";"20,6";"20,6";"20,1";"994,4";"994,4";"993,8";"0,1";"245,0";"1,7";"";"0,0"
"02/01/2023";"0700";"21,7";"21,7";"21,3";"95,0";"96,0";"95,0";"20,9";"20,9";"20,6";"994,6";"994,6";"994,4";"0,7";"174,0";"1,7";"";"0,0"
"02/01/2023";"0800";"21,7";"21,8";"21,5";"95,0";"95,0";"95,0";"20,8";"20,9";"20,7";"994,8";"994,8";"994,6";"0,4";"16,0";"1,5";"";"0,0"
"02/01/2023";"0900";"21,8";"21,9";"21,7";"95,0";"95,0";"95,0";"21,0";"21,1";"20,8";"994,7";"994,8";"994,6";"1,1";"54,0";"1,5";"2,10";"0,0"
"02/01/2023";"1000";"22,0";"22,4";"21,8";"94,0";"95,0";"94,0";"21,1";"21,5";"21,0";"995,4";"995,4";"994,7";"2,9";"248,0";"4,3";"36,80";"0,0"
"02/01/2023";"1100";"22,1";"22,5";"22,0";"89,0";"95,0";"89,0";"20,2";"21,3";"20,2";"995,5";"995,5";"995,3";"4,2";"224,0";"6,6";"320,70";"0,0"
"02/01/2023";"1200";"22,6";"22,6";"22,1";"81,0";"90,0";"80,0";"19,2";"20,4";"18,9";"995,8";"995,9";"995,5";"4,6";"208,0";"7,6";"727,60";"0,0"
"02/01/2023";"1300";"25,1";"25,1";"22,6";"72,0";"81,0";"72,0";"19,6";"19,7";"17,9";"996,1";"996,2";"995,7";"5,0";"213,0";"8,7";"1292,20";"0,0"
"02/01/2023";"1400";"26,1";"26,5";"24,2";"60,0";"72,0";"58,0";"17,8";"18,8";"17,3";"995,7";"996,2";"995,7";"4,8";"228,0";"10,7";"3437,90";"0,0"
"02/01/2023";"1500";"27,7";"27,9";"25,5";"53,0";"62,0";"48,0";"17,2";"18,3";"15,6";"995,4";"995,7";"995,4";"5,6";"224,0";"9,0";"3805,60";"0,0"
"02/01/2023";"1600";"29,5";"29,6";"27,4";"38,0";"53,0";"37,0";"13,9";"17,3";"12,6";"995,3";"995,4";"995,2";"5,2";"209,0";"9,1";"3885,60";"0,0"
"02/01/2023";"1700";"30,7";"30,7";"28,2";"34,0";"41,0";"33,0";"12,8";"14,7";"11,7";"994,5";"995,3";"994,5";"5,5";"228,0";"10,5";"3833,10";"0,0"
"02/01/2023";"1800";"30,5";"31,6";"29,7";"26,0";"34,0";"25,0";"8,9";"12,9";"8,6";"993,8";"994,5";"993,8";"5,9";"215,0";"11,5";"3549,40";"0,0"
"02/01/2023";"1900";"30,9";"31,7";"30,2";"21,0";"28,0";"20,0";"6,1";"9,9";"5,7";"993,0";"993,8";"993,0";"6,7";"199,0";"13,7";"3035,60";"0,0"
"02/01/2023";"2000";"31,4";"31,7";"30,7";"17,0";"22,0";"16,0";"3,0";"6,7";"2,8";"992,1";"993,1";"992,1";"6,8";"204,0";"13,7";"2355,60";"0,0"
"02/01/2023";"2100";"30,5";"31,7";"30,5";"15,0";"18,0";"15,0";"1,0";"4,2";"1,0";"992,1";"992,2";"992,0";"6,3";"188,0";"12,1";"1554,90";"0,0"
"02/01/2023";"2200";"29,1";"30,6";"29,1";"19,0";"19,0";"15,0";"2,9";"4,0";"1,2";"992,7";"992,7";"992,1";"5,5";"192,0";"11,1";"726,30";"0,0"
"02/01/2023";"2300";"26,4";"29,1";"26,1";"24,0";"25,0";"18,0";"4,3";"4,4";"2,4";"993,5";"993,5";"992,7";"3,0";"184,0";"9,4";"75,10";"0,0"
"03/01/2023";"0000";"23,6";"26,5";"23,6";"32,0";"32,0";"24,0";"5,8";"5,9";"4,0";"994,1";"994,1";"993,4";"2,5";"194,0";"4,7";"";"0,0"
"03/01/2023";"0100";"21,9";"23,7";"21,8";"38,0";"38,0";"32,0";"7,0";"7,1";"5,9";"994,7";"994,7";"994,1";"1,4";"178,0";"3,9";"";"0,0"
"03/01/2023";"0200";"17,8";"21,9";"17,8";"60,0";"60,0";"38,0";"10,0";"10,0";"7,3";"995,4";"995,4";"994,7";"1,3";"74,0";"3,0";"";"0,0"
"03/01/2023";"0300";"16,5";"17,8";"16,2";"68,0";"71,0";"60,0";"10,6";"10,8";"10,0";"995,5";"995,5";"995,4";"2,0";"56,0";"3,0";"";"0,0"
"03/01/2023";"0400";"15,2";"16,6";"15,2";"73,0";"77,0";"67,0";"10,4";"11,4";"10,2";"995,0";"995,5";"995,0";"0,3";"108,0";"2,8";"";"0,0"
"03/01/2023";"0500";"14,3";"15,4";"14,2";"79,0";"80,0";"72,0";"10,8";"11,0";"10,2";"994,6";"995,0";"994,6";"0,2";"125,0";"1,4";"";"0,0"
"03/01/2023";"0600";"15,1";"16,2";"13,8";"74,0";"85,0";"70,0";"10,5";"12,4";"10,5";"994,4";"994,6";"994,2";"1,4";"118,0";"3,2";"";"0,0"
"03/01/2023";"0700";"14,4";"15,4";"13,8";"74,0";"80,0";"73,0";"10,0";"10,7";"9,7";"994,5";"994,7";"994,4";"1,5";"129,0";"3,0";"";"0,0"
"03/01/2023";"0800";"14,0";"15,1";"12,9";"78,0";"82,0";"73,0";"10,2";"10,3";"9,4";"995,3";"995,3";"994,5";"1,8";"139,0";"3,2";"";"0,0"
"03/01/2023";"0900";"13,0";"15,0";"13,0";"82,0";"82,0";"74,0";"10,0";"10,4";"9,7";"996,3";"996,3";"995,3";"1,1";"123,0";"3,7";"5,90";"0,0"
"03/01/2023";"1000";"16,7";"16,7";"13,0";"69,0";"82,0";"68,0";"11,0";"11,0";"10,0";"996,7";"996,7";"996,3";"1,4";"137,0";"3,1";"436,80";"0,0"
