"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"24,9";"25,7";"24,8";"78,0";"78,0";"73,0";"20,7";"20,7";"20,4";"1011,6";"1011,6";"1011,2";"1,8";"98,0";"4,6";"";"0,0"
"01/01/2023";"0100";"24,4";"24,9";"24,4";"78,0";"78,0";"77,0";"20,3";"20,8";"20,3";"1012,1";"1012,2";"1011,6";"1,7";"115,0";"3,6";"";"0,0"
"01/01/2023";"0200";"23,9";"24,4";"23,9";"80,0";"80,0";"78,0";"20,1";"20,4";"20,1";"1012,4";"1012,4";"1012,1";"2,2";"96,0";"4,4";"";"0,0"
"01/01/2023";"0300";"24,3";"24,4";"23,6";"77,0";"80,0";"76,0";"20,0";"20,1";"19,6";"1012,3";"1012,4";"1012,3";"1,7";"12,0";"3,9";"";"0,0"
"01/01/2023";"0400";"24,3";"24,7";"24,3";"80,0";"81,0";"77,0";"20,7";"21,0";"20,1";"1012,0";"1012,3";"1012,0";"2,0";"11,0";"4,4";"";"0,0"
"01/01/2023";"0500";"23,7";"24,5";"23,7";"78,0";"80,0";"77,0";"19,6";"20,8";"19,6";"1012,1";"1012,1";"1012,0";"1,0";"16,0";"4,6";"";"0,0"
"01/01/2023";"0600";"22,2";"23,7";"21,4";"86,0";"86,0";"77,0";"19,7";"19,7";"18,6";"1012,0";"1012,1";"1011,9";"1,0";"32,0";"2,4";"";"0,0"
"01/01/2023";"0700";"21,5";"22,6";"21,5";"84,0";"86,0";"83,0";"18,7";"19,8";"18,7";"1011,9";"1012,0";"1011,9";"0,5";"46,0";"2,4";"";"0,0"
"01/01/2023";"0800";"20,0";"21,4";"19,9";"88,0";"88,0";"84,0";"18,0";"18,7";"17,8";"1012,3";"1012,3";"1011,9";"1,0";"100,0";"1,6";"";"0,0"
"01/01/2023";"0900";"22,3";"22,3";"20,0";"89,0";"90,0";"88,0";"20,5";"20,5";"18,1";"1012,3";"1012,3";"1012,2";"2,3";"81,0";"4,1";"37,90";"0,0"
"01/01/2023";"1000";"23,8";"23,8";"22,3";"86,0";"89,0";"86,0";"21,3";"21,4";"20,5";"1012,8";"1012,9";"1012,3";"2,6";"70,0";"4,5";"532,40";"0,0"
"01/01/2023";"1100";"24,0";"24,2";"23,1";"85,0";"87,0";"85,0";"21,3";"21,7";"20,7";"1012,9";"1013,0";"1012,7";"2,9";"87,0";"4,8";"1217,40";"0,0"
