Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m�);Chuva (mm)
2023/01/01;0000 UTC;26,4;28,1;26,4;58;58;43;17,5;17,5;14,5;999,4;999,4;998,7;3,1;111;7,1;;0
2023/01/01;0100 UTC;24,7;26,4;24,6;69;69;58;18,6;18,8;17,6;999,8;999,9;999,4;2,1;88;5,8;;0
2023/01/01;0200 UTC;23,9;24,8;23,9;67;70;65;17,5;18,6;17,5;999,7;999,9;999,7;2,4;86;5,5;;0
2023/01/01;0300 UTC;24;24,4;23,9;62;67;61;16,3;17,6;16,3;999,3;999,8;999,3;3,3;103;7,1;;0
2023/01/01;0400 UTC;22,9;24;22,8;66;67;62;16,2;16,4;16,2;999,2;999,3;999,2;2,9;114;6;;0
2023/01/01;0500 UTC;22;22,9;22;69;70;66;16,2;16,5;16,2;999,2;999,2;999,1;2,2;109;5,2;;0
2023/01/01;0600 UTC;21,4;22,2;21,4;72;72;69;16,2;16,3;16,1;998,9;999,2;998,9;2,1;90;4,5;;0
2023/01/01;0700 UTC;21,4;21,7;21,3;72;73;71;16,2;16,3;16,1;999,1;999,1;998,9;2,2;89;4,4;;0
2023/01/01;0800 UTC;21;21,5;21;75;75;72;16,4;16,4;16,2;999,5;999,5;999,1;2,3;89;4,9;12,7;0
2023/01/01;0900 UTC;22,7;22,7;21;71;76;71;17,2;17,2;16,4;999,8;999,8;999,5;2,5;81;4,2;402;0
2023/01/01;1000 UTC;25,5;25,5;22,7;62;71;62;17,8;18;17,2;1000,2;1000,2;999,8;3;99;5,4;1146,4;0
2023/01/01;1100 UTC;27,4;27,6;25,5;59;63;58;18,6;19,2;17,6;1000;1000,2;1000;3,7;67;6,5;1939,1;0
2023/01/01;1200 UTC;30,1;30,2;27,3;52;60;50;19,2;19,8;18,5;999,7;1000;999,7;2,5;62;6,5;2632,2;0
2023/01/01;1300 UTC;32;32,2;30,1;47;53;46;19,2;19,9;18,5;999,2;999,7;999,2;2,4;49;5,3;3176,4;0
2023/01/01;1400 UTC;33,9;33,9;31,8;43;48;40;19,6;19,6;17,8;998,6;999,2;998,6;2;154;4,6;3552,6;0
2023/01/01;1500 UTC;34,2;34,7;32,9;39;44;38;18,2;19,8;17,7;997,9;998,6;997,9;2;112;4,8;3773,5;0
2023/01/01;1600 UTC;34,8;35,5;34,1;38;40;33;18,2;19,4;16,5;997,2;997,9;997,1;3,1;132;7;3476;0
2023/01/01;1700 UTC;35,4;36,3;34,5;32;37;32;16,3;18,1;16,3;996,3;997,2;996,3;2,1;52;7;2818,9;0
2023/01/01;1800 UTC;36,3;36,9;35,1;29;34;27;15,4;17,5;14,9;995,4;996,3;995,4;2;73;4,5;2655;0
2023/01/01;1900 UTC;35;36,6;34,9;35;35;27;17,1;17,1;14,7;994,5;995,4;994,5;1,6;86;5;1544,7;0
2023/01/01;2000 UTC;33,9;35;33,5;38;45;33;17,8;19,8;16;993,8;994,5;993,8;1,6;60;3,8;813,3;0
2023/01/01;2100 UTC;32,6;34,5;32,6;44;44;37;18,7;19,5;17,7;993,8;993,8;993,6;2,5;72;5,8;810,3;0
2023/01/01;2200 UTC;30,3;32,6;30,3;48;49;43;18,1;18,8;18;994,5;994,5;993,7;2,8;96;7,8;62,5;0
2023/01/01;2300 UTC;28,9;30,3;28,8;48;49;46;16,8;18,1;16,7;994,5;994,9;994,5;3,3;97;6,2;;0
2023/01/02;0000 UTC;27,9;28,9;27,8;55;55;48;18;18;16,8;995,8;995,8;994,3;2,7;91;6,2;;0
2023/01/02;0100 UTC;28,4;28,4;27,6;54;58;54;18,1;18,7;18,1;996,9;997;995,7;2,7;236;8,8;;0
2023/01/02;0200 UTC;24,9;28,6;24,4;75;76;53;20,1;20,4;18;995,9;997,3;995,9;4,1;153;7,3;;2,8
2023/01/02;0300 UTC;24,3;25,5;24,2;82;82;72;21;21;19,9;996,5;997,3;995,2;3,6;280;9,7;0,6;0,4
2023/01/02;0400 UTC;23,5;24,5;23,5;84;84;77;20,6;21;20,2;996,5;996,6;995,9;4;309;5,9;0,9;0
2023/01/02;0500 UTC;23;23,5;23;86;86;84;20,6;20,8;20,6;995,4;996,6;995,4;1,9;16;7,4;;0,2
2023/01/02;0600 UTC;23;23,2;22,9;87;87;85;20,7;20,8;20,5;995;995,7;994,6;0,9;5;4,1;;0
2023/01/02;0700 UTC;23,2;23,3;23;87;87;85;20,8;20,8;20,7;995,1;995,2;995;1,5;326;4,1;;0
2023/01/02;0800 UTC;22,8;23,2;22,8;89;89;87;20,9;21;20,7;995,5;995,5;995,1;2,3;161;4,1;3,1;0
2023/01/02;0900 UTC;22,8;22,9;22,7;90;90;89;21,1;21,1;20,8;995,7;995,8;995,3;1,6;68;4,8;21,7;0,2
2023/01/02;1000 UTC;23,4;23,4;22,8;90;91;89;21,6;21,6;21,1;996,4;996,4;995,7;1,8;19;3,4;209,4;0,2
2023/01/02;1100 UTC;24,1;24,1;23,3;87;90;86;21,7;21,8;21;996,5;996,6;996,4;0,5;295;3,7;354,3;1,2
2023/01/02;1200 UTC;26;26,2;24,1;79;87;79;22;23,1;21,7;996,4;996,8;996,4;2;357;3,4;1299,1;0
2023/01/02;1300 UTC;27,8;27,9;25,9;73;80;67;22,5;23;20,9;995,9;996,5;995,9;1,9;339;4,5;2050,7;0
2023/01/02;1400 UTC;28,9;29,9;27,1;64;73;59;21,5;22,5;20,4;995,1;995,9;995,1;3,7;298;7;3115,9;0
2023/01/02;1500 UTC;30,9;31,3;28,7;57;67;56;21,5;22,8;21,1;994;995,1;994;3;297;7;2651,1;0
2023/01/02;1600 UTC;32,6;33;30,6;49;60;49;20,6;22,7;20,4;993,3;994,1;993,3;4,4;293;8,3;3496,1;0
2023/01/02;1700 UTC;29,1;32,8;27,3;76;80;49;24,5;24,5;20,2;992,8;993,3;992,8;1,1;354;9;2098,2;0,8
2023/01/02;1800 UTC;31,3;31,8;29;58;76;56;22,1;24,2;21,6;991,9;992,8;991,9;4,6;270;8,4;2596;0
2023/01/02;1900 UTC;31,6;32,3;30,8;51;59;51;20,3;22,5;20,3;991,2;991,9;991,2;5,1;273;10,8;2132;0
2023/01/02;2000 UTC;30,5;31,7;30,3;55;58;51;20,5;21,5;20,3;991,3;991,4;991,1;5;262;11,7;1165,2;0
2023/01/02;2100 UTC;29,7;30,7;29,7;55;56;52;19,6;20,8;19,6;991,7;991,7;991,2;4,3;267;9,1;672,3;0
2023/01/02;2200 UTC;27,5;29,7;27,5;63;63;55;19,7;20,1;19,6;992,2;992,2;991,7;2,8;267;7,1;97;0
2023/01/02;2300 UTC;26,5;27,7;26,3;67;69;62;20;20,2;19,6;993;993;992,2;2,1;275;4,1;;0
2023/01/03;0000 UTC;26,1;26,9;26;57;69;57;16,9;20;16,9;994,7;994,7;993;2;239;6,4;;0
2023/01/03;0100 UTC;24,6;26,1;24,6;58;58;54;15,6;17;15,6;994,9;995;994,7;1,7;195;4,7;;0
2023/01/03;0200 UTC;25;25,2;24,4;48;58;48;13,4;15,8;13,4;994,7;994,9;994,6;2,5;193;5,6;;0
2023/01/03;0300 UTC;23,4;25;23,2;54;54;48;13,4;13,6;12,8;994,6;994,7;994,6;0,7;133;5,5;;0
2023/01/03;0400 UTC;21,2;23,6;21,1;72;72;53;15,8;16,1;13,5;994,5;994,6;994,4;1,3;297;2,6;;0
2023/01/03;0500 UTC;20;21,5;20;79;79;67;16,2;16,2;14,8;994;994,5;994;3,4;165;5,1;;0
