"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"28,5";"30,7";"27,9";"38,0";"43,0";"31,0";"12,7";"14,3";"11,7";"978,8";"978,8";"978,2";"1,4";"125,0";"2,9";"";"0,0"
"01/01/2023";"0100";"27,3";"28,5";"27,2";"39,0";"42,0";"38,0";"12,0";"13,2";"12,0";"979,3";"979,3";"978,8";"2,2";"117,0";"3,7";"";"0,0"
"01/01/2023";"0200";"25,8";"27,4";"25,8";"42,0";"43,0";"38,0";"12,0";"12,6";"11,9";"979,6";"979,7";"979,3";"1,4";"110,0";"3,9";"";"0,0"
"01/01/2023";"0300";"25,0";"26,1";"25,0";"44,0";"44,0";"40,0";"12,0";"12,0";"11,5";"979,8";"979,8";"979,6";"1,6";"107,0";"3,6";"";"0,0"
"01/01/2023";"0400";"23,8";"25,2";"23,8";"49,0";"49,0";"43,0";"12,6";"12,6";"11,8";"979,7";"979,8";"979,6";"1,5";"100,0";"3,3";"";"0,0"
"01/01/2023";"0500";"23,2";"24,2";"22,9";"53,0";"55,0";"49,0";"13,0";"13,4";"12,5";"979,4";"979,7";"979,4";"1,2";"90,0";"3,3";"";"0,0"
"01/01/2023";"0600";"22,8";"23,2";"22,6";"55,0";"56,0";"53,0";"13,2";"13,3";"13,0";"979,0";"979,4";"979,0";"1,6";"82,0";"2,6";"";"0,0"
"01/01/2023";"0700";"22,6";"22,9";"22,4";"56,0";"57,0";"54,0";"13,5";"13,5";"13,1";"979,0";"979,0";"978,8";"1,9";"93,0";"3,6";"";"0,0"
"01/01/2023";"0800";"22,7";"22,9";"22,3";"58,0";"58,0";"56,0";"13,9";"13,9";"13,5";"979,4";"979,4";"979,0";"1,6";"107,0";"3,6";"";"0,0"
"01/01/2023";"0900";"23,0";"23,8";"22,4";"60,0";"64,0";"53,0";"14,8";"15,8";"13,8";"979,9";"979,9";"979,4";"1,1";"108,0";"3,0";"5,10";"0,0"
"01/01/2023";"1000";"25,4";"25,4";"23,0";"53,0";"60,0";"53,0";"15,1";"15,2";"14,0";"980,3";"980,3";"979,9";"1,2";"75,0";"3,2";"199,20";"0,0"
"01/01/2023";"1100";"27,4";"27,4";"25,4";"52,0";"58,0";"52,0";"16,7";"16,9";"15,1";"980,5";"980,7";"980,3";"2,4";"60,0";"5,9";"668,00";"0,0"
"01/01/2023";"1200";"29,7";"29,7";"27,4";"50,0";"53,0";"49,0";"18,3";"18,4";"16,6";"980,9";"980,9";"980,5";"2,6";"54,0";"6,2";"1967,30";"0,0"
"01/01/2023";"1300";"30,9";"31,2";"29,7";"50,0";"53,0";"49,0";"19,2";"19,8";"18,1";"980,6";"980,9";"980,6";"3,2";"16,0";"7,5";"2506,10";"0,0"
"01/01/2023";"1400";"32,1";"32,4";"30,6";"46,0";"51,0";"45,0";"19,1";"20,0";"18,7";"980,4";"980,6";"980,4";"2,8";"23,0";"7,6";"2901,30";"0,0"
"01/01/2023";"1500";"33,6";"33,6";"32,1";"46,0";"47,0";"41,0";"20,4";"20,4";"18,0";"979,9";"980,4";"979,9";"2,8";"357,0";"8,2";"3618,60";"0,0"
"01/01/2023";"1600";"33,9";"34,8";"32,6";"40,0";"47,0";"39,0";"18,4";"20,4";"18,0";"979,0";"979,9";"979,0";"3,1";"346,0";"7,8";"3767,30";"0,0"
"01/01/2023";"1700";"35,1";"35,8";"33,6";"35,0";"42,0";"32,0";"17,6";"19,3";"15,8";"978,0";"979,0";"978,0";"1,9";"14,0";"8,1";"3053,20";"0,0"
"01/01/2023";"1800";"35,8";"36,2";"34,5";"33,0";"36,0";"30,0";"16,9";"18,1";"15,3";"977,1";"978,0";"977,1";"2,4";"11,0";"8,4";"2857,00";"0,0"
"01/01/2023";"1900";"35,0";"36,5";"34,8";"31,0";"33,0";"28,0";"15,3";"17,3";"14,9";"976,1";"977,1";"976,1";"2,4";"333,0";"8,0";"2354,80";"0,0"
"01/01/2023";"2000";"35,1";"36,3";"34,9";"31,0";"32,0";"28,0";"15,6";"16,3";"14,4";"975,0";"976,1";"975,0";"2,9";"319,0";"7,7";"1356,00";"0,0"
"01/01/2023";"2100";"34,6";"35,9";"34,5";"32,0";"34,0";"30,0";"15,7";"16,6";"15,2";"975,1";"975,1";"974,8";"2,1";"359,0";"7,3";"753,60";"0,0"
"01/01/2023";"2200";"33,6";"34,6";"33,5";"34,0";"35,0";"32,0";"15,7";"15,9";"15,1";"975,4";"975,5";"975,1";"1,5";"348,0";"5,1";"225,00";"0,0"
"01/01/2023";"2300";"32,0";"33,6";"31,9";"40,0";"41,0";"34,0";"16,8";"17,1";"15,7";"974,5";"975,5";"974,4";"0,7";"53,0";"3,4";"23,10";"0,0"
"02/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0100";"28,7";"29,4";"28,5";"57,0";"61,0";"53,0";"19,4";"20,2";"18,9";"977,3";"977,3";"976,7";"0,4";"112,0";"2,0";"";"0,0"
"02/01/2023";"0200";"26,8";"28,9";"26,8";"72,0";"72,0";"56,0";"21,3";"21,3";"19,1";"977,8";"977,8";"977,3";"1,1";"158,0";"2,1";"";"0,0"
"02/01/2023";"0300";"23,3";"26,8";"23,1";"87,0";"89,0";"72,0";"21,0";"21,8";"20,8";"978,7";"979,7";"977,7";"4,7";"193,0";"17,0";"6,40";"1,4"
"02/01/2023";"0400";"21,2";"23,4";"21,2";"93,0";"93,0";"86,0";"19,9";"20,9";"19,9";"980,1";"981,1";"978,7";"3,0";"219,0";"10,6";"3,90";"3,8"
"02/01/2023";"0500";"21,3";"21,6";"21,1";"93,0";"93,0";"92,0";"20,1";"20,3";"19,9";"978,0";"980,1";"978,0";"2,1";"90,0";"7,4";"0,90";"2,4"
"02/01/2023";"0600";"21,7";"21,9";"21,2";"93,0";"94,0";"92,0";"20,4";"20,7";"20,1";"978,1";"978,5";"977,7";"1,8";"353,0";"5,1";"0,50";"0,2"
"02/01/2023";"0700";"21,5";"21,7";"21,5";"93,0";"93,0";"92,0";"20,3";"20,5";"20,3";"977,6";"978,0";"977,6";"1,6";"39,0";"4,1";"0,10";"0,0"
"02/01/2023";"0800";"21,4";"21,6";"21,4";"93,0";"93,0";"93,0";"20,3";"20,4";"20,2";"977,7";"977,7";"977,1";"1,5";"75,0";"4,0";"";"0,0"
"02/01/2023";"0900";"21,7";"21,8";"21,4";"92,0";"93,0";"92,0";"20,3";"20,4";"20,2";"978,1";"978,4";"977,7";"1,4";"82,0";"3,5";"3,60";"0,0"
"02/01/2023";"1000";"22,6";"22,6";"21,6";"89,0";"93,0";"89,0";"20,7";"20,8";"20,3";"978,0";"978,4";"977,9";"3,3";"56,0";"5,9";"265,00";"0,0"
"02/01/2023";"1100";"24,1";"24,1";"22,6";"85,0";"90,0";"85,0";"21,4";"21,4";"20,7";"978,9";"978,9";"978,0";"1,2";"25,0";"5,9";"547,80";"0,0"
"02/01/2023";"1200";"24,8";"24,8";"24,1";"81,0";"85,0";"80,0";"21,2";"21,3";"20,8";"979,2";"979,2";"978,8";"2,2";"29,0";"5,9";"803,40";"0,0"
