Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m�);Chuva (mm)
2023/01/01;0000 UTC;21,8;21,9;21,6;93;93;92;20,5;20,7;20,3;1012,8;1012,9;1012,2;6,8;;8,8;;0
2023/01/01;0100 UTC;21,7;21,9;21,7;91;93;91;20,2;20,6;20,1;1013,2;1013,2;1012,8;6,8;;9,6;;0
2023/01/01;0200 UTC;21,9;21,9;21,6;91;91;90;20,2;20,2;19,9;1013,5;1013,5;1013,1;5,3;;8,9;;0
2023/01/01;0300 UTC;21,5;21,9;21,5;90;91;90;19,9;20,2;19,9;1013,2;1013,6;1013,2;5,8;;7,6;;0
2023/01/01;0400 UTC;21,4;21,6;21,3;91;91;90;19,8;20;19,7;1013,1;1013,3;1012,9;4,3;;7,6;;0
2023/01/01;0500 UTC;21,2;21,5;21,2;92;92;91;19,8;20;19,8;1012,4;1013,1;1012,4;4,6;;6,4;;0
2023/01/01;0600 UTC;21,1;21,2;21;93;93;92;19,9;20;19,7;1012,1;1012,4;1012,1;4,3;;6,7;;0
2023/01/01;0700 UTC;20,9;21,1;20,9;94;94;93;19,9;19,9;19,8;1011,7;1012,1;1011,7;4,9;;6,9;;0
2023/01/01;0800 UTC;20,8;21;20,8;94;94;94;19,8;20;19,8;1011,8;1011,8;1011,5;5;;7,4;;0
2023/01/01;0900 UTC;21,2;21,2;20,8;94;94;94;20,3;20,3;19,8;1012,1;1012,1;1011,8;4,1;;6,6;40,6;0
2023/01/01;1000 UTC;22,2;22,2;21,2;93;94;93;21;21,1;20,3;1012,3;1012,3;1012;3,4;;6,4;428,3;0
2023/01/01;1100 UTC;23;23;22,1;91;93;91;21,4;21,5;20,8;1012,5;1012,5;1012,2;4,1;;6,3;724,2;0
2023/01/01;1200 UTC;24,1;24,1;22,9;88;91;87;21,9;22;21,3;1012,3;1012,5;1012,3;3,9;;6,3;1170,4;0
2023/01/01;1300 UTC;25,6;26,2;24,1;80;88;79;21,8;22,8;21,6;1012,1;1012,3;1012,1;4,1;;5,8;2237,3;0
2023/01/01;1400 UTC;26,5;26,9;25,3;76;81;76;22;22,7;21,5;1011,9;1012,1;1011,9;4,8;;6,9;2975,5;0
2023/01/01;1500 UTC;26,1;26,9;25,3;80;81;76;22,4;22,8;21,3;1011,2;1011,9;1011,2;5,8;;8,7;3489;0
2023/01/01;1600 UTC;25,4;26,1;25,1;84;85;80;22,5;22,9;21,5;1010,4;1011,2;1010,3;6,6;;9,4;3035,8;0
2023/01/01;1700 UTC;26,6;26,7;24,6;82;87;82;23,3;23,7;21,9;1009,6;1010,4;1009,6;6,4;;9,7;2721,5;0
2023/01/01;1800 UTC;25,4;26,6;25;83;85;81;22,3;23,4;21,9;1008,9;1009,6;1008,9;6,9;;9,7;2860,5;0
2023/01/01;1900 UTC;25,3;25,6;24,6;84;87;83;22,4;22,9;21,8;1008,6;1008,9;1008,5;8;;11,8;2755,2;0
2023/01/01;2000 UTC;24,7;25,3;23,8;89;90;84;22,6;22,6;21,7;1007,7;1008,6;1007,6;7,9;;12,7;1490,9;0
2023/01/01;2100 UTC;23,6;24,7;23,6;90;90;87;21,9;22,6;21,8;1007;1007,8;1007;7,2;;12,8;1002,4;0
2023/01/01;2200 UTC;23,3;23,7;23,3;91;91;90;21,7;22,1;21,7;1006,3;1007;1006,3;7,7;;12,9;428,4;0
2023/01/01;2300 UTC;23,4;23,4;23,2;91;92;91;21,8;21,9;21,7;1006,2;1006,3;1005,9;7,9;;13,4;51,8;0
2023/01/02;0000 UTC;23,2;23,5;23,2;92;92;91;21,9;22;21,8;1006;1006,4;1005,8;7,3;;11,9;;0
2023/01/02;0100 UTC;23,4;23,4;23,1;92;93;92;22,1;22,1;21,9;1006,3;1006,4;1006;4,5;;10,8;;0
2023/01/02;0200 UTC;23,7;23,7;23,4;93;93;92;22,4;22,4;22,1;1006,3;1006,7;1006,3;4,2;;7,1;;0
2023/01/02;0300 UTC;23,9;23,9;23,7;92;93;92;22,5;22,5;22,4;1005,5;1006,3;1005,5;4,6;;8,8;;0
2023/01/02;0400 UTC;24,3;24,4;23,9;90;92;89;22,5;22,5;22,4;1004,2;1005,9;1004,2;6,3;;12,1;;0
2023/01/02;0500 UTC;25;25;24,2;85;90;85;22,2;22,6;22,2;1003,1;1004,2;1003,1;5,4;;12,1;;0
2023/01/02;0600 UTC;24,9;25,3;24,9;80;85;78;21,2;22,1;21,1;1003,3;1003,6;1002,9;4,9;;11,1;;0
2023/01/02;0700 UTC;23,4;24,9;23,4;82;82;78;20,3;21,2;20,2;1002,6;1003,2;1002,6;4,5;;9,8;;0
2023/01/02;0800 UTC;23,3;23,4;22,8;86;88;82;20,9;21;20,3;1002,5;1002,6;1002,3;5,1;;8,2;;0
2023/01/02;0900 UTC;22,8;23,3;22,8;89;89;85;21;21;20,5;1003;1003,1;1002,5;3,8;;9,4;25,5;0
2023/01/02;1000 UTC;23,4;23,5;22,8;91;92;89;21,9;22,1;21;1003,5;1003,6;1002,9;3,5;;6,5;437,2;0
2023/01/02;1100 UTC;24,4;24,6;23,4;82;92;82;21,1;22,9;21,1;1004,1;1004,1;1003,5;4,8;;8,7;814,4;0
2023/01/02;1200 UTC;23,7;24,9;23,7;77;82;75;19,4;21;19,4;1004,6;1004,7;1004,1;4,8;;9,3;800,4;0
2023/01/02;1300 UTC;22,9;24,2;22,9;79;79;76;19,1;19,9;19,1;1004,5;1004,7;1004,4;5,8;;9,6;432,7;0
2023/01/02;1400 UTC;22,9;23;20,9;88;92;79;20,9;21,4;18,6;1003,6;1004,8;1003,6;4,2;;10,7;1364,1;0,2
2023/01/02;1500 UTC;25,7;25,8;22,9;65;89;65;18,7;22,1;18,6;1003,3;1003,6;1003,1;6,3;;12,3;2258,1;0
