"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"28,3";"29,5";"28,3";"33,0";"33,0";"33,0";"10,6";"11,3";"10,6";"987,8";"987,8";"987,5";"0,0";"11,0";"0,0";"";"0,0"
"01/01/2023";"0100";"27,4";"28,3";"26,9";"37,0";"38,0";"33,0";"11,4";"11,5";"10,5";"988,4";"988,4";"987,8";"0,0";"333,0";"0,0";"";"0,0"
"01/01/2023";"0200";"25,6";"27,8";"25,6";"42,0";"42,0";"36,0";"11,8";"11,9";"11,1";"988,5";"988,5";"988,4";"0,0";"281,0";"0,0";"";"0,0"
"01/01/2023";"0300";"25,5";"26,2";"25,3";"41,0";"42,0";"40,0";"11,3";"11,9";"11,3";"988,3";"988,5";"988,3";"0,0";"264,0";"0,0";"";"0,0"
"01/01/2023";"0400";"22,9";"26,1";"20,1";"55,0";"72,0";"40,0";"13,5";"15,1";"11,2";"988,3";"988,6";"988,2";"0,0";"156,0";"0,0";"";"0,0"
"01/01/2023";"0500";"23,0";"24,2";"22,4";"55,0";"56,0";"49,0";"13,5";"13,6";"12,8";"988,5";"988,7";"988,2";"0,0";"147,0";"0,0";"";"0,0"
"01/01/2023";"0600";"22,4";"23,2";"22,3";"60,0";"60,0";"55,0";"14,3";"14,3";"13,5";"988,6";"988,8";"988,4";"0,0";"105,0";"0,0";"";"0,0"
"01/01/2023";"0700";"21,8";"22,5";"21,7";"64,0";"64,0";"60,0";"14,7";"14,7";"14,2";"988,5";"988,6";"988,3";"0,0";"93,0";"0,0";"";"0,0"
"01/01/2023";"0800";"21,0";"22,1";"20,4";"68,0";"70,0";"63,0";"14,9";"15,2";"14,4";"988,8";"988,9";"988,4";"0,0";"101,0";"0,0";"";"0,0"
"01/01/2023";"0900";"20,2";"21,2";"19,4";"73,0";"74,0";"68,0";"15,2";"15,3";"14,4";"988,9";"989,0";"988,7";"0,0";"61,0";"0,0";"10,00";"0,0"
"01/01/2023";"1000";"22,9";"22,9";"20,2";"65,0";"73,0";"65,0";"16,0";"16,3";"15,2";"988,9";"989,0";"988,9";"0,0";"104,0";"0,0";"381,60";"0,0"
"01/01/2023";"1100";"25,0";"25,0";"22,9";"59,0";"65,0";"59,0";"16,5";"16,8";"15,6";"989,2";"989,4";"988,9";"0,0";"69,0";"0,0";"1162,80";"0,0"
"01/01/2023";"1200";"27,9";"27,9";"24,9";"49,0";"60,0";"49,0";"16,3";"16,8";"15,7";"989,1";"989,3";"989,1";"0,0";"47,0";"0,1";"1982,60";"0,0"
"01/01/2023";"1300";"30,6";"30,6";"27,5";"44,0";"50,0";"43,0";"16,9";"17,2";"15,8";"988,6";"989,1";"988,6";"0,0";"13,0";"5,2";"2510,60";"0,0"
"01/01/2023";"1400";"33,2";"33,2";"30,1";"37,0";"44,0";"36,0";"16,4";"17,0";"15,4";"988,3";"988,7";"988,3";"0,0";"26,0";"8,2";"3049,70";"0,0"
"01/01/2023";"1500";"33,6";"35,0";"32,7";"32,0";"37,0";"29,0";"14,7";"16,9";"14,0";"987,6";"988,3";"987,6";"0,0";"20,0";"8,0";"3477,90";"0,0"
"01/01/2023";"1600";"35,4";"35,8";"33,5";"28,0";"33,0";"26,0";"14,2";"15,0";"12,4";"986,6";"987,6";"986,6";"0,0";"3,0";"5,5";"3155,30";"0,0"
"01/01/2023";"1700";"35,2";"36,3";"34,3";"30,0";"31,0";"25,0";"15,2";"15,3";"12,5";"985,6";"986,6";"985,6";"0,0";"7,0";"4,0";"2842,50";"0,0"
"01/01/2023";"1800";"37,2";"37,2";"34,4";"25,0";"32,0";"25,0";"14,1";"16,3";"12,7";"984,7";"985,6";"984,7";"0,0";"16,0";"2,8";"2775,40";"0,0"
"01/01/2023";"1900";"37,4";"37,9";"35,3";"23,0";"28,0";"22,0";"12,8";"15,3";"11,5";"983,5";"984,7";"983,5";"0,0";"280,0";"1,2";"2102,90";"0,0"
"01/01/2023";"2000";"35,2";"37,9";"35,2";"28,0";"29,0";"21,0";"14,1";"14,8";"11,2";"982,7";"983,5";"982,6";"0,0";"7,0";"0,0";"1756,30";"0,0"
"01/01/2023";"2100";"32,6";"35,7";"32,6";"37,0";"37,0";"27,0";"16,2";"16,6";"13,6";"982,4";"982,7";"982,2";"0,7";"28,0";"10,5";"562,70";"0,0"
"01/01/2023";"2200";"23,8";"32,6";"23,8";"78,0";"78,0";"38,0";"19,7";"19,7";"16,0";"983,7";"983,8";"982,4";"6,1";"345,0";"13,2";"99,70";"0,6"
"01/01/2023";"2300";"24,7";"26,0";"23,7";"75,0";"78,0";"56,0";"20,0";"20,1";"16,4";"985,6";"985,6";"983,2";"0,0";"347,0";"15,4";"14,40";"0,4"
"02/01/2023";"0000";"22,5";"25,7";"22,5";"84,0";"84,0";"70,0";"19,6";"20,1";"19,6";"988,2";"988,2";"985,6";"0,5";"254,0";"13,7";"";"0,8"
"02/01/2023";"0100";"21,1";"22,5";"20,9";"91,0";"91,0";"84,0";"19,5";"19,6";"19,1";"987,9";"988,2";"987,8";"0,0";"206,0";"8,7";"";"1,6"
"02/01/2023";"0200";"20,8";"21,1";"20,7";"93,0";"93,0";"91,0";"19,5";"19,5";"19,3";"988,0";"988,0";"987,4";"0,0";"262,0";"3,4";"";"0,2"
"02/01/2023";"0300";"20,8";"21,0";"20,8";"93,0";"93,0";"92,0";"19,6";"19,7";"19,5";"986,6";"988,4";"986,6";"0,0";"150,0";"0,0";"";"0,0"
"02/01/2023";"0400";"20,9";"21,0";"20,7";"94,0";"94,0";"93,0";"19,9";"19,9";"19,6";"985,7";"986,6";"985,7";"0,0";"168,0";"0,0";"";"0,2"
"02/01/2023";"0500";"20,8";"20,9";"20,5";"95,0";"95,0";"94,0";"19,9";"19,9";"19,4";"985,4";"985,9";"985,4";"0,0";"20,0";"0,0";"";"0,0"
"02/01/2023";"0600";"19,7";"20,8";"19,7";"95,0";"95,0";"95,0";"18,9";"19,9";"18,9";"985,5";"985,6";"985,3";"0,0";"36,0";"0,0";"";"0,0"
"02/01/2023";"0700";"19,9";"19,9";"19,4";"95,0";"95,0";"95,0";"19,1";"19,2";"18,6";"985,8";"985,9";"985,5";"0,0";"224,0";"0,0";"";"0,0"
