"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"30,8";"32,8";"30,8";"27,0";"27,0";"22,0";"9,4";"9,4";"8,3";"999,3";"999,3";"998,8";"1,8";"69,0";"4,0";"";"0,0"
"01/01/2023";"0100";"27,5";"30,8";"27,5";"34,0";"34,0";"27,0";"10,2";"10,3";"9,4";"999,7";"999,7";"999,2";"1,0";"57,0";"3,1";"";"0,0"
"01/01/2023";"0200";"28,7";"29,6";"27,1";"30,0";"36,0";"28,0";"9,5";"10,6";"9,2";"1000,2";"1000,2";"999,7";"1,6";"88,0";"3,5";"";"0,0"
"01/01/2023";"0300";"27,3";"28,9";"26,3";"36,0";"38,0";"30,0";"11,0";"11,2";"9,4";"1000,2";"1000,3";"1000,2";"1,7";"92,0";"3,4";"";"0,0"
"01/01/2023";"0400";"26,2";"27,8";"26,2";"41,0";"41,0";"35,0";"11,8";"11,8";"10,8";"1000,1";"1000,2";"1000,0";"1,8";"63,0";"4,5";"";"0,0"
"01/01/2023";"0500";"25,5";"26,3";"25,4";"44,0";"44,0";"40,0";"12,4";"12,4";"11,8";"999,9";"1000,1";"999,9";"2,4";"72,0";"4,1";"";"0,0"
"01/01/2023";"0600";"25,7";"25,7";"25,2";"44,0";"45,0";"43,0";"12,4";"12,6";"12,3";"999,5";"999,9";"999,5";"3,0";"88,0";"4,7";"";"0,0"
"01/01/2023";"0700";"25,1";"26,0";"24,9";"46,0";"47,0";"42,0";"12,7";"12,7";"12,2";"999,2";"999,5";"999,1";"2,7";"79,0";"5,8";"";"0,0"
"01/01/2023";"0800";"24,9";"25,1";"24,7";"47,0";"48,0";"46,0";"12,8";"12,8";"12,6";"999,2";"999,2";"999,1";"2,6";"86,0";"4,7";"";"0,0"
"01/01/2023";"0900";"24,2";"24,9";"24,2";"50,0";"50,0";"47,0";"13,3";"13,3";"12,8";"999,6";"999,6";"999,1";"3,0";"73,0";"5,7";"1,40";"0,0"
"01/01/2023";"1000";"24,9";"24,9";"24,1";"50,0";"51,0";"50,0";"13,9";"13,9";"13,3";"1000,0";"1000,0";"999,6";"3,8";"71,0";"6,0";"194,90";"0,0"
"01/01/2023";"1100";"27,9";"28,0";"24,9";"44,0";"51,0";"43,0";"14,5";"14,7";"13,8";"1000,5";"1000,5";"1000,0";"3,4";"61,0";"6,2";"935,60";"0,0"
"01/01/2023";"1200";"31,0";"31,0";"27,9";"43,0";"45,0";"42,0";"17,0";"17,0";"14,6";"1000,5";"1000,6";"1000,4";"4,4";"46,0";"7,2";"1788,00";"0,0"
"01/01/2023";"1300";"32,2";"33,1";"31,0";"44,0";"46,0";"42,0";"18,5";"19,2";"17,1";"1000,4";"1000,5";"1000,3";"4,1";"2,0";"8,5";"2532,90";"0,0"
"01/01/2023";"1400";"35,5";"35,5";"32,2";"42,0";"46,0";"42,0";"20,5";"20,6";"18,6";"1000,3";"1000,4";"1000,2";"3,7";"17,0";"8,5";"3121,40";"0,0"
