"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"29,1";"30,4";"28,4";"45,0";"57,0";"38,0";"16,0";"19,3";"14,6";"996,9";"996,9";"996,6";"1,5";"20,0";"2,2";"";"0,0"
"01/01/2023";"0100";"28,2";"29,1";"28,1";"52,0";"52,0";"45,0";"17,4";"17,4";"16,0";"997,5";"997,5";"996,9";"1,5";"24,0";"2,6";"";"0,0"
"01/01/2023";"0200";"27,6";"28,3";"27,5";"51,0";"52,0";"49,0";"16,5";"17,5";"16,3";"998,0";"998,0";"997,5";"0,8";"41,0";"2,2";"";"0,0"
"01/01/2023";"0300";"26,1";"27,8";"26,1";"54,0";"54,0";"47,0";"16,0";"17,0";"15,4";"997,9";"998,1";"997,9";"1,1";"99,0";"3,4";"";"0,0"
"01/01/2023";"0400";"26,7";"27,7";"25,3";"52,0";"59,0";"47,0";"16,1";"16,8";"15,3";"998,1";"998,1";"997,9";"3,9";"80,0";"7,3";"";"0,0"
"01/01/2023";"0500";"25,4";"26,7";"25,2";"60,0";"61,0";"52,0";"17,0";"17,4";"16,1";"997,8";"998,1";"997,8";"3,4";"88,0";"6,7";"";"0,0"
"01/01/2023";"0600";"24,8";"25,6";"24,8";"58,0";"60,0";"58,0";"16,0";"17,0";"16,0";"997,7";"997,9";"997,7";"3,5";"89,0";"6,2";"";"0,0"
"01/01/2023";"0700";"23,5";"24,9";"23,5";"63,0";"63,0";"57,0";"16,0";"16,0";"15,8";"997,6";"997,8";"997,5";"1,9";"30,0";"6,3";"";"0,0"
"01/01/2023";"0800";"23,1";"23,5";"22,5";"65,0";"70,0";"63,0";"16,2";"16,8";"16,1";"997,8";"997,8";"997,6";"1,3";"67,0";"3,4";"";"0,0"
"01/01/2023";"0900";"23,4";"23,4";"23,0";"62,0";"65,0";"62,0";"15,6";"16,2";"15,6";"998,1";"998,1";"997,8";"1,5";"69,0";"3,9";"11,80";"0,0"
"01/01/2023";"1000";"25,3";"25,3";"23,4";"56,0";"62,0";"56,0";"15,9";"15,9";"15,4";"998,3";"998,3";"998,1";"2,1";"70,0";"4,8";"420,70";"0,0"
"01/01/2023";"1100";"27,2";"27,2";"25,3";"53,0";"56,0";"53,0";"16,9";"16,9";"15,5";"998,3";"998,4";"998,2";"3,6";"63,0";"6,3";"1194,20";"0,0"
"01/01/2023";"1200";"29,6";"29,6";"27,2";"48,0";"54,0";"48,0";"17,5";"17,8";"16,6";"998,2";"998,5";"998,2";"4,2";"61,0";"7,4";"2004,30";"0,0"
"01/01/2023";"1300";"30,9";"31,2";"29,4";"46,0";"49,0";"45,0";"17,8";"18,5";"17,0";"998,0";"998,2";"998,0";"4,2";"54,0";"7,4";"2705,00";"0,0"
"01/01/2023";"1400";"31,8";"32,4";"30,9";"43,0";"47,0";"42,0";"17,8";"18,7";"17,3";"997,8";"998,0";"997,7";"4,3";"38,0";"8,5";"3244,50";"0,0"
"01/01/2023";"1500";"33,8";"33,9";"31,8";"41,0";"46,0";"41,0";"18,8";"19,3";"17,9";"997,1";"997,8";"997,1";"3,0";"27,0";"6,8";"3442,10";"0,0"
"01/01/2023";"1600";"34,8";"34,8";"33,4";"41,0";"43,0";"38,0";"19,8";"20,0";"17,5";"996,3";"997,1";"996,3";"2,4";"45,0";"5,9";"3167,90";"0,0"
"01/01/2023";"1700";"35,4";"36,1";"34,4";"37,0";"41,0";"32,0";"18,5";"19,6";"16,6";"995,4";"996,3";"995,4";"1,4";"79,0";"4,8";"2943,50";"0,0"
"01/01/2023";"1800";"36,3";"36,8";"35,5";"32,0";"37,0";"29,0";"16,9";"18,4";"15,6";"994,3";"995,4";"994,3";"1,9";"51,0";"5,0";"3096,50";"0,0"
