"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"31,0";"31,8";"30,8";"26,0";"29,0";"26,0";"9,2";"10,8";"9,2";"981,3";"981,3";"980,8";"2,7";"92,0";"5,3";"";"0,0"
"01/01/2023";"0100";"30,7";"31,3";"30,7";"29,0";"29,0";"25,0";"10,4";"10,4";"8,7";"981,8";"981,8";"981,3";"3,3";"86,0";"5,9";"";"0,0"
"01/01/2023";"0200";"30,1";"30,7";"30,1";"29,0";"29,0";"28,0";"10,0";"10,4";"10,0";"982,2";"982,2";"981,8";"3,4";"83,0";"7,4";"";"0,0"
"01/01/2023";"0300";"27,7";"30,1";"27,0";"36,0";"37,0";"29,0";"11,1";"11,2";"10,0";"982,0";"982,3";"982,0";"3,2";"92,0";"6,5";"";"0,0"
"01/01/2023";"0400";"27,3";"28,3";"27,3";"38,0";"38,0";"35,0";"11,8";"11,8";"11,1";"981,8";"982,0";"981,8";"3,1";"85,0";"7,6";"";"0,0"
"01/01/2023";"0500";"26,9";"27,9";"26,9";"40,0";"40,0";"37,0";"12,3";"12,3";"11,8";"981,7";"981,9";"981,7";"4,5";"59,0";"7,9";"";"0,0"
"01/01/2023";"0600";"26,3";"27,2";"26,3";"43,0";"43,0";"40,0";"12,8";"12,8";"12,3";"981,3";"981,7";"981,3";"4,1";"64,0";"7,9";"";"0,0"
"01/01/2023";"0700";"25,9";"26,3";"25,7";"46,0";"46,0";"43,0";"13,3";"13,3";"12,8";"981,1";"981,3";"981,1";"4,5";"62,0";"9,0";"";"0,0"
"01/01/2023";"0800";"25,2";"25,9";"25,2";"49,0";"49,0";"46,0";"13,7";"13,7";"13,3";"981,2";"981,3";"981,0";"4,4";"61,0";"9,4";"";"0,0"
"01/01/2023";"0900";"24,5";"25,3";"24,5";"51,0";"52,0";"48,0";"13,8";"13,9";"13,6";"981,9";"981,9";"981,2";"3,8";"52,0";"9,0";"7,40";"0,0"
"01/01/2023";"1000";"25,5";"25,5";"24,5";"51,0";"52,0";"51,0";"14,6";"14,6";"13,9";"982,4";"982,4";"981,9";"3,6";"51,0";"6,3";"302,80";"0,0"
"01/01/2023";"1100";"28,6";"28,6";"25,5";"49,0";"51,0";"49,0";"17,0";"17,0";"14,7";"982,6";"982,6";"982,2";"2,9";"33,0";"6,9";"1095,20";"0,0"
"01/01/2023";"1200";"31,6";"31,7";"28,6";"46,0";"50,0";"46,0";"18,5";"19,2";"17,1";"982,8";"982,9";"982,6";"3,6";"18,0";"7,2";"1929,00";"0,0"
"01/01/2023";"1300";"32,4";"33,1";"31,0";"46,0";"49,0";"43,0";"19,1";"19,5";"18,5";"982,7";"982,9";"982,6";"3,9";"16,0";"8,5";"2808,20";"0,0"
"01/01/2023";"1400";"34,0";"34,8";"32,4";"";"46,0";"40,0";"";"20,2";"18,8";"982,3";"982,7";"982,3";"4,0";"2,0";"9,0";"3142,00";"0,0"
"01/01/2023";"1500";"35,7";"35,9";"34,0";"";"";"";"";"";"";"981,9";"982,4";"981,9";"3,8";"354,0";"9,4";"3676,90";"0,0"
"01/01/2023";"1600";"35,8";"36,1";"34,8";"";"";"";"";"";"";"981,1";"981,9";"981,1";"3,7";"348,0";"10,2";"3233,10";"0,0"
"01/01/2023";"1700";"37,1";"37,3";"35,3";"36,0";"";"";"19,4";"";"";"980,1";"981,1";"980,1";"3,0";"1,0";"10,2";"2744,60";"0,0"
"01/01/2023";"1800";"36,7";"37,8";"36,0";"33,0";"36,0";"32,0";"17,8";"19,7";"17,1";"979,3";"980,1";"979,3";"3,1";"355,0";"7,7";"2647,70";"0,0"
"01/01/2023";"1900";"36,1";"37,2";"35,9";"";"";"";"";"";"";"978,2";"979,3";"978,2";"2,6";"345,0";"6,9";"1180,90";"0,0"
"01/01/2023";"2000";"36,4";"37,0";"35,9";"31,0";"";"";"16,6";"";"";"977,2";"978,2";"977,1";"1,8";"334,0";"6,2";"1039,50";"0,0"
