"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,8";"29,2";"27,6";"44,0";"46,0";"41,0";"14,3";"15,5";"14,3";"994,4";"994,5";"994,1";"1,5";"131,0";"2,9";"";"0,0"
"01/01/2023";"0100";"27,1";"28,0";"27,0";"44,0";"46,0";"43,0";"13,8";"14,4";"13,8";"994,8";"994,8";"994,4";"1,4";"135,0";"2,0";"";"0,0"
"01/01/2023";"0200";"24,9";"27,2";"24,6";"56,0";"58,0";"44,0";"15,6";"15,8";"13,7";"995,1";"995,1";"994,8";"1,8";"120,0";"2,7";"";"0,0"
"01/01/2023";"0300";"24,4";"25,3";"23,7";"56,0";"61,0";"51,0";"15,0";"15,7";"14,4";"995,0";"995,2";"995,0";"1,9";"120,0";"3,1";"";"0,0"
"01/01/2023";"0400";"23,6";"24,7";"23,6";"58,0";"59,0";"53,0";"15,0";"15,6";"14,6";"994,9";"995,0";"994,8";"2,4";"111,0";"2,9";"";"0,0"
"01/01/2023";"0500";"21,6";"23,6";"21,3";"67,0";"70,0";"58,0";"15,3";"15,8";"14,9";"994,9";"995,0";"994,9";"2,4";"119,0";"3,9";"";"0,0"
"01/01/2023";"0600";"22,0";"22,3";"21,5";"67,0";"67,0";"64,0";"15,6";"15,6";"14,9";"994,9";"995,0";"994,9";"2,3";"120,0";"3,9";"";"0,0"
"01/01/2023";"0700";"21,2";"22,0";"21,1";"75,0";"75,0";"67,0";"16,5";"16,5";"15,5";"994,8";"995,0";"994,8";"3,4";"109,0";"4,8";"";"0,0"
"01/01/2023";"0800";"20,6";"21,7";"20,5";"80,0";"80,0";"74,0";"17,1";"17,3";"16,4";"995,1";"995,1";"994,7";"3,7";"103,0";"5,1";"";"0,0"
"01/01/2023";"0900";"20,6";"21,2";"20,3";"83,0";"83,0";"79,0";"17,6";"17,6";"17,1";"995,2";"995,3";"995,0";"3,7";"104,0";"5,2";"11,30";"0,0"
"01/01/2023";"1000";"22,3";"22,3";"20,6";"77,0";"84,0";"77,0";"18,1";"18,3";"17,5";"995,4";"995,5";"995,2";"4,1";"102,0";"7,1";"360,70";"0,0"
"01/01/2023";"1100";"24,1";"24,5";"22,3";"71,0";"78,0";"70,0";"18,6";"19,2";"18,2";"995,6";"995,6";"995,3";"3,8";"101,0";"7,1";"1026,20";"0,0"
"01/01/2023";"1200";"28,1";"28,1";"24,2";"58,0";"71,0";"58,0";"19,1";"19,5";"18,4";"995,5";"995,8";"995,5";"3,0";"95,0";"5,4";"2023,80";"0,0"
"01/01/2023";"1300";"31,9";"31,9";"28,1";"42,0";"58,0";"42,0";"17,5";"19,2";"17,3";"995,2";"995,7";"995,2";"2,4";"50,0";"6,7";"2664,20";"0,0"
"01/01/2023";"1400";"33,5";"33,8";"31,3";"38,0";"44,0";"37,0";"17,3";"18,0";"16,6";"994,7";"995,2";"994,7";"3,4";"18,0";"7,3";"3250,40";"0,0"
"01/01/2023";"1500";"35,7";"36,2";"33,4";"32,0";"39,0";"31,0";"16,6";"18,1";"16,1";"993,8";"994,7";"993,7";"2,0";"5,0";"6,4";"3404,40";"0,0"
"01/01/2023";"1600";"36,3";"37,8";"35,5";"30,0";"33,0";"27,0";"16,2";"17,9";"14,4";"992,9";"993,8";"992,9";"3,2";"357,0";"6,4";"2923,40";"0,0"
"01/01/2023";"1700";"36,1";"38,0";"35,5";"28,0";"31,0";"25,0";"14,8";"16,4";"14,1";"992,1";"992,9";"992,1";"2,0";"33,0";"8,0";"2223,20";"0,0"
"01/01/2023";"1800";"38,6";"38,6";"36,1";"26,0";"29,0";"25,0";"15,9";"16,3";"13,9";"991,2";"992,1";"991,2";"3,5";"332,0";"8,1";"2925,20";"0,0"
"01/01/2023";"1900";"38,4";"38,6";"36,6";"26,0";"29,0";"25,0";"15,2";"16,2";"14,0";"990,3";"991,2";"990,3";"2,1";"325,0";"7,7";"2010,00";"0,0"
"01/01/2023";"2000";"30,6";"39,0";"30,6";"47,0";"47,0";"24,0";"18,1";"18,2";"14,0";"989,8";"990,3";"989,8";"3,1";"50,0";"12,6";"1364,70";"0,0"
"01/01/2023";"2100";"27,0";"30,9";"26,9";"64,0";"64,0";"44,0";"19,5";"21,3";"16,9";"990,8";"990,8";"989,5";"5,4";"39,0";"17,3";"349,90";"5,0"
"01/01/2023";"2200";"25,6";"30,2";"25,6";"69,0";"69,0";"42,0";"19,6";"19,6";"15,3";"990,7";"990,8";"990,0";"4,6";"245,0";"17,3";"24,60";"3,4"
"01/01/2023";"2300";"27,0";"27,2";"24,9";"57,0";"74,0";"57,0";"17,9";"20,6";"17,9";"990,6";"991,1";"989,9";"3,1";"238,0";"9,7";"";"0,4"
"02/01/2023";"0000";"25,8";"27,5";"25,1";"70,0";"74,0";"54,0";"19,9";"20,1";"17,2";"992,7";"992,7";"990,5";"1,6";"278,0";"10,0";"";"0,0"
"02/01/2023";"0100";"24,8";"25,8";"24,7";"80,0";"81,0";"70,0";"21,2";"21,2";"19,9";"994,5";"994,5";"992,7";"0,7";"315,0";"3,1";"";"0,0"
"02/01/2023";"0200";"24,3";"24,8";"24,1";"82,0";"85,0";"80,0";"21,1";"21,6";"21,0";"994,4";"994,8";"994,4";"0,6";"121,0";"2,1";"";"0,2"
"02/01/2023";"0300";"23,6";"24,5";"23,5";"84,0";"86,0";"81,0";"20,7";"21,3";"20,7";"993,0";"994,4";"993,0";"4,5";"113,0";"7,1";"";"0,0"
"02/01/2023";"0400";"23,2";"23,7";"23,2";"88,0";"89,0";"84,0";"21,2";"21,3";"20,8";"993,6";"993,6";"992,9";"0,4";"56,0";"7,1";"";"0,0"
"02/01/2023";"0500";"23,2";"23,4";"23,2";"99,0";"99,0";"88,0";"23,0";"23,0";"21,2";"993,7";"993,9";"993,5";"1,7";"303,0";"3,6";"";"0,0"
"02/01/2023";"0600";"23,1";"23,2";"23,0";"100,0";"100,0";"99,0";"23,1";"23,1";"23,0";"992,1";"993,6";"992,0";"0,7";"348,0";"3,1";"";"0,0"
