"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"22,0";"24,0";"22,0";"67,0";"68,0";"57,0";"15,6";"16,1";"14,9";"955,7";"955,7";"955,4";"0,2";"360,0";"0,6";"";"0,0"
"01/01/2023";"0100";"20,5";"22,1";"20,5";"73,0";"73,0";"66,0";"15,5";"15,9";"15,3";"956,6";"956,6";"955,7";"0,2";"230,0";"0,7";"";"0,0"
"01/01/2023";"0200";"19,6";"20,7";"19,5";"79,0";"80,0";"72,0";"15,9";"16,3";"15,5";"956,7";"956,8";"956,6";"0,3";"218,0";"1,0";"";"0,0"
"01/01/2023";"0300";"20,0";"20,7";"19,6";"80,0";"80,0";"75,0";"16,5";"16,5";"15,8";"956,7";"956,8";"956,6";"0,4";"114,0";"1,8";"";"0,0"
"01/01/2023";"0400";"19,7";"21,8";"19,5";"83,0";"84,0";"74,0";"16,7";"17,6";"15,8";"956,6";"956,8";"956,6";"0,5";"224,0";"2,1";"";"0,0"
"01/01/2023";"0500";"19,1";"20,6";"19,1";"87,0";"87,0";"81,0";"16,9";"17,6";"16,6";"956,5";"956,7";"956,5";"0,5";"241,0";"1,6";"";"0,0"
"01/01/2023";"0600";"19,0";"20,2";"19,0";"89,0";"89,0";"84,0";"17,2";"17,6";"16,7";"956,6";"956,6";"956,4";"0,4";"276,0";"1,9";"";"0,0"
"01/01/2023";"0700";"18,9";"19,4";"18,8";"89,0";"90,0";"88,0";"17,0";"17,5";"16,9";"956,6";"956,7";"956,6";"0,2";"225,0";"0,8";"";"0,0"
"01/01/2023";"0800";"18,8";"19,7";"18,7";"90,0";"91,0";"86,0";"17,1";"17,6";"17,0";"957,0";"957,0";"956,6";"0,2";"206,0";"1,2";"";"0,0"
"01/01/2023";"0900";"19,3";"19,3";"18,2";"89,0";"92,0";"89,0";"17,6";"17,6";"16,7";"957,5";"957,5";"957,0";"0,6";"290,0";"1,3";"22,10";"0,0"
