"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"23,0";"24,1";"22,9";"54,0";"54,0";"51,0";"13,2";"13,4";"13,2";"938,0";"938,0";"937,4";"0,2";"134,0";"5,2";"";"0,0"
"01/01/2023";"0100";"23,0";"23,8";"22,7";"56,0";"56,0";"51,0";"13,6";"13,7";"12,9";"938,2";"938,3";"938,0";"1,3";"120,0";"6,2";"";"0,0"
"01/01/2023";"0200";"22,9";"23,0";"22,5";"61,0";"62,0";"56,0";"15,1";"15,1";"13,6";"938,0";"938,3";"938,0";"2,5";"114,0";"6,7";"";"0,0"
"01/01/2023";"0300";"21,6";"23,1";"21,6";"69,0";"69,0";"61,0";"15,6";"15,7";"15,1";"937,8";"938,0";"937,8";"1,1";"109,0";"6,8";"";"0,0"
"01/01/2023";"0400";"21,1";"21,6";"20,6";"73,0";"74,0";"69,0";"16,0";"16,1";"15,3";"937,6";"937,9";"937,6";"6,8";"91,0";"8,6";"";"0,0"
"01/01/2023";"0500";"21,2";"21,3";"20,7";"73,0";"74,0";"72,0";"16,1";"16,2";"15,8";"937,8";"937,9";"937,6";"4,4";"95,0";"8,1";"";"0,0"
"01/01/2023";"0600";"22,2";"22,2";"20,9";"70,0";"74,0";"70,0";"16,4";"16,4";"16,0";"937,4";"937,8";"937,4";"5,0";"58,0";"7,5";"";"0,0"
"01/01/2023";"0700";"22,0";"22,4";"22,0";"71,0";"71,0";"69,0";"16,5";"16,5";"16,3";"938,0";"938,0";"937,4";"5,1";"51,0";"9,8";"";"0,0"
"01/01/2023";"0800";"21,7";"22,1";"21,6";"72,0";"72,0";"71,0";"16,5";"16,6";"16,4";"938,6";"938,6";"938,0";"4,8";"64,0";"7,6";"25,90";"0,0"
"01/01/2023";"0900";"23,2";"23,2";"21,7";"66,0";"72,0";"66,0";"16,4";"16,6";"16,4";"938,7";"938,7";"938,5";"6,0";"39,0";"8,5";"512,70";"0,0"
"01/01/2023";"1000";"25,1";"25,1";"23,1";"62,0";"66,0";"62,0";"17,4";"17,5";"16,4";"939,0";"939,0";"938,7";"5,4";"39,0";"9,8";"1249,90";"0,0"
"01/01/2023";"1100";"27,4";"27,4";"25,1";"56,0";"63,0";"56,0";"17,8";"17,8";"17,0";"939,3";"939,4";"939,0";"1,9";"17,0";"8,1";"2066,00";"0,0"
"01/01/2023";"1200";"29,0";"29,2";"27,2";"52,0";"56,0";"51,0";"18,3";"18,5";"17,2";"939,0";"939,3";"939,0";"5,8";"352,0";"10,2";"2818,50";"0,0"
"01/01/2023";"1300";"30,5";"30,8";"28,5";"49,0";"53,0";"48,0";"18,6";"19,2";"17,6";"938,7";"939,0";"938,6";"5,2";"340,0";"11,0";"3420,90";"0,0"
