Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m�);Chuva (mm)
2023/01/01;0000 UTC;29,1;30,3;28,6;48;51;41;17;17,3;15,6;1002,5;1002,5;1001,8;3,3;120;6,8;;0
2023/01/01;0100 UTC;28,1;29,1;27,8;50;52;48;16,7;17,1;16,5;1002,7;1002,7;1002,5;2,7;96;6,9;;0
2023/01/01;0200 UTC;26,1;28,2;26,1;58;58;50;17,2;17,2;16,8;1002,9;1002,9;1002,7;1,5;149;4,4;;0
2023/01/01;0300 UTC;24,3;26,9;24,3;66;66;55;17,5;17,6;17;1003;1003,1;1002,9;1,7;311;4;;0
2023/01/01;0400 UTC;24,3;24,7;24;64;66;64;17;17,6;16,9;1002,8;1003;1002,8;1,2;278;2,5;;0
2023/01/01;0500 UTC;23;24,3;22,9;70;71;64;17,3;17,7;16,9;1003;1003;1002,8;0,6;27;3,1;;0
2023/01/01;0600 UTC;21,6;23,2;21,6;76;76;70;17,2;17,7;17;1003;1003,1;1002,8;1,4;248;2,1;;0
2023/01/01;0700 UTC;20,8;22;20,8;82;83;76;17,6;18,1;17,3;1002,8;1003;1002,7;0,9;155;2,4;;0
2023/01/01;0800 UTC;20,8;21,2;20,4;84;85;81;17,9;18,1;17,6;1003,1;1003,1;1002,8;0,4;116;2,4;;0
2023/01/01;0900 UTC;20,9;21;19,9;83;87;82;17,9;18,2;17,3;1003,7;1003,8;1003,1;1,4;259;3,2;36,8;0
2023/01/01;1000 UTC;23,7;23,7;20,7;73;85;73;18,6;18,8;17,8;1003,8;1003,8;1003,6;2,5;214;3,9;481,8;0
2023/01/01;1100 UTC;28,4;28,5;23,8;54;74;54;18,3;19,5;18,3;1004,1;1004,1;1003,7;2,6;188;4;1275,9;0
2023/01/01;1200 UTC;31;31;28,4;45;56;44;17,6;19;16,5;1003,8;1004,1;1003,8;1,4;356;4,6;2036;0
2023/01/01;1300 UTC;32,2;32,3;30,7;43;47;40;18;18,9;16,7;1003,2;1003,8;1003,1;3,9;322;8,5;2668,5;0
2023/01/01;1400 UTC;33,5;33,9;32,1;40;45;39;17,9;18,8;17,1;1002,5;1003,2;1002,5;4,7;349;8,5;3208,9;0
2023/01/01;1500 UTC;35,2;35,6;33,3;37;42;35;18,3;19,6;16,8;1001,8;1002,6;1001,8;2,3;353;7,7;3554,6;0
2023/01/01;1600 UTC;36,5;36,9;34,8;27;38;27;14,8;18,9;14,8;1000,7;1001,8;1000,7;2,5;9;5,8;3723,8;0
