"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"20,3";"22,1";"20,3";"77,0";"77,0";"71,0";"16,2";"16,6";"16,2";"906,0";"906,0";"905,6";"3,1";"81,0";"7,7";"";"0,0"
"01/01/2023";"0100";"18,8";"20,3";"18,8";"83,0";"83,0";"77,0";"15,9";"16,3";"15,9";"906,6";"906,6";"906,0";"3,0";"64,0";"6,6";"";"0,0"
"01/01/2023";"0200";"19,0";"19,1";"18,2";"81,0";"87,0";"81,0";"15,7";"16,1";"15,7";"906,3";"906,6";"906,3";"3,5";"52,0";"5,2";"";"0,0"
"01/01/2023";"0300";"18,1";"19,2";"17,7";"81,0";"84,0";"78,0";"14,7";"15,7";"14,7";"906,0";"906,3";"906,0";"3,6";"30,0";"6,4";"";"0,0"
"01/01/2023";"0400";"17,6";"18,2";"17,5";"86,0";"86,0";"81,0";"15,2";"15,2";"14,6";"905,8";"906,0";"905,8";"3,5";"27,0";"5,3";"";"0,0"
"01/01/2023";"0500";"16,6";"17,6";"16,6";"91,0";"91,0";"86,0";"15,2";"15,3";"14,9";"906,0";"906,0";"905,7";"3,8";"22,0";"5,6";"";"0,0"
"01/01/2023";"0600";"16,7";"17,1";"16,6";"93,0";"93,0";"91,0";"15,6";"16,0";"15,2";"905,9";"906,0";"905,9";"3,3";"17,0";"5,6";"";"0,0"
"01/01/2023";"0700";"16,4";"16,7";"16,0";"94,0";"95,0";"93,0";"15,5";"15,6";"15,1";"906,1";"906,1";"905,9";"3,5";"13,0";"5,0";"";"0,0"
"01/01/2023";"0800";"15,6";"16,4";"15,5";"95,0";"96,0";"93,0";"14,9";"15,4";"14,7";"906,6";"906,6";"906,1";"3,5";"21,0";"5,0";"4,10";"0,0"
"01/01/2023";"0900";"16,4";"16,4";"15,6";"92,0";"95,0";"92,0";"15,2";"15,2";"14,8";"907,1";"907,1";"906,6";"3,6";"17,0";"5,6";"206,00";"0,0"
"01/01/2023";"1000";"18,7";"18,7";"16,4";"84,0";"92,0";"83,0";"16,0";"16,2";"15,2";"907,2";"907,3";"907,1";"5,4";"25,0";"7,6";"977,20";"0,0"
"01/01/2023";"1100";"20,9";"20,9";"18,7";"74,0";"84,0";"73,0";"16,1";"16,6";"15,5";"907,6";"907,6";"907,2";"5,0";"12,0";"7,9";"1827,10";"0,0"
"01/01/2023";"1200";"23,9";"24,0";"20,9";"63,0";"75,0";"63,0";"16,5";"17,4";"15,6";"907,3";"907,6";"907,3";"4,2";"20,0";"7,5";"2567,30";"0,0"
"01/01/2023";"1300";"25,5";"25,7";"23,6";"54,0";"66,0";"53,0";"15,5";"18,0";"15,1";"906,9";"907,3";"906,9";"3,3";"1,0";"7,0";"3166,40";"0,0"
"01/01/2023";"1400";"26,7";"27,5";"25,5";"51,0";"56,0";"48,0";"15,6";"17,4";"14,5";"906,5";"906,9";"906,5";"2,8";"324,0";"5,9";"3494,20";"0,0"
"01/01/2023";"1500";"28,2";"28,4";"26,1";"43,0";"53,0";"42,0";"14,4";"16,5";"13,2";"905,7";"906,5";"905,7";"2,6";"6,0";"6,1";"3433,00";"0,0"
"01/01/2023";"1600";"29,0";"29,0";"27,5";"34,0";"49,0";"34,0";"11,7";"16,2";"11,7";"905,2";"905,7";"905,2";"1,8";"311,0";"5,5";"3606,80";"0,0"
"01/01/2023";"1700";"28,9";"30,0";"28,3";"39,0";"43,0";"33,0";"13,6";"15,5";"11,0";"904,6";"905,2";"904,6";"2,5";"16,0";"5,5";"3674,10";"0,0"
