epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,90,100,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,2
100,6,6,54,100,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,2
100,12,6,0,60,0.036897145211696625,0.08652740716934204,0.03974580019712448,0.1742650866508484,0.0,2
100,24,6,22,82,0.03366915509104729,0.08584942668676376,0.034160878509283066,0.1447901576757431,0.0,2
200,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,2
200,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,2
200,12,6,0,60,0.036897145211696625,0.08652740716934204,0.03974580019712448,0.1742650866508484,0.0,2
200,24,6,22,82,0.03366915509104729,0.08584942668676376,0.034160878509283066,0.1447901576757431,0.0,2
400,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,2
400,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,2
400,12,6,0,60,0.036897145211696625,0.08652740716934204,0.03974580019712448,0.1742650866508484,0.0,2
400,24,6,22,82,0.03366915509104729,0.08584942668676376,0.034160878509283066,0.1447901576757431,0.0,2
500,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,2
500,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,2
500,12,6,0,60,0.036897145211696625,0.08652740716934204,0.03974580019712448,0.1742650866508484,0.0,2
500,24,6,22,82,0.03366915509104729,0.08584942668676376,0.034160878509283066,0.1447901576757431,0.0,2
1000,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,2
1000,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,2
1000,12,6,0,60,0.036897145211696625,0.08652740716934204,0.03974580019712448,0.1742650866508484,0.0,2
1000,24,6,22,82,0.03366915509104729,0.08584942668676376,0.034160878509283066,0.1447901576757431,0.0,2
100,2,6,90,100,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,3
100,6,6,54,100,0.03830146789550781,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,3
100,12,6,0,60,0.03688708692789078,0.08647990226745605,0.03979476913809776,0.17458324134349823,0.0,3
100,24,6,22,82,0.03365117311477661,0.08624982833862305,0.03382200747728348,0.14245666563510895,0.0,3
200,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,3
200,6,6,54,114,0.03830146789550781,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,3
200,12,6,0,60,0.03688708692789078,0.08647990226745605,0.03979476913809776,0.17458324134349823,0.0,3
200,24,6,22,82,0.03365117311477661,0.08624982833862305,0.03382200747728348,0.14245666563510895,0.0,3
400,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,3
400,6,6,54,114,0.03830146789550781,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,3
400,12,6,0,60,0.03688708692789078,0.08647990226745605,0.03979476913809776,0.17458324134349823,0.0,3
400,24,6,22,82,0.03365117311477661,0.08624982833862305,0.03382200747728348,0.14245666563510895,0.0,3
500,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,3
500,6,6,54,114,0.03830146789550781,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,3
500,12,6,0,60,0.03688708692789078,0.08647990226745605,0.03979476913809776,0.17458324134349823,0.0,3
500,24,6,22,82,0.03365117311477661,0.08624982833862305,0.03382200747728348,0.14245666563510895,0.0,3
1000,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,3
1000,6,6,54,114,0.03830146789550781,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0,3
1000,12,6,0,60,0.03688708692789078,0.08647990226745605,0.03979476913809776,0.17458324134349823,0.0,3
1000,24,6,22,82,0.03365117311477661,0.08624982833862305,0.03382200747728348,0.14245666563510895,0.0,3
100,2,6,90,100,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,5
100,6,6,54,100,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177829682826996,0.0,5
100,12,6,0,60,0.0369475781917572,0.08651122450828552,0.03985104709863663,0.17490965127944946,0.0,5
100,24,6,22,82,0.033427294343709946,0.08583924174308777,0.03362040966749191,0.14173772931098938,0.0,5
200,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,5
200,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177829682826996,0.0,5
200,12,6,0,60,0.0369475781917572,0.08651122450828552,0.03985104709863663,0.17490965127944946,0.0,5
200,24,6,22,82,0.033427294343709946,0.08583924174308777,0.03362040966749191,0.14173772931098938,0.0,5
400,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,5
400,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177829682826996,0.0,5
400,12,6,0,60,0.0369475781917572,0.08651122450828552,0.03985104709863663,0.17490965127944946,0.0,5
400,24,6,22,82,0.033427294343709946,0.08583924174308777,0.03362040966749191,0.14173772931098938,0.0,5
500,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,5
500,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177829682826996,0.0,5
500,12,6,0,60,0.0369475781917572,0.08651122450828552,0.03985104709863663,0.17490965127944946,0.0,5
500,24,6,22,82,0.033427294343709946,0.08583924174308777,0.03362040966749191,0.14173772931098938,0.0,5
1000,2,6,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0,5
1000,6,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177829682826996,0.0,5
1000,12,6,0,60,0.0369475781917572,0.08651122450828552,0.03985104709863663,0.17490965127944946,0.0,5
