epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true
100,2,2,100,100,1335.5125732421875,962.7028198242188,1124.6463623046875,4.721392631530762,35.327911376953125
100,6,2,100,100,1272.7890625,898.0153198242188,1063.502197265625,6.055774211883545,35.327911376953125
100,12,2,100,100,1071.5421142578125,691.831298828125,869.8302001953125,10.84569263458252,35.327911376953125
100,24,2,100,100,943.3457641601562,561.8734130859375,748.7700805664062,14.456249237060547,35.327911376953125
200,2,2,200,200,1071.006103515625,691.590087890625,870.2388916015625,10.789149284362793,35.327911376953125
200,6,2,200,200,837.8566284179688,456.049560546875,651.8089599609375,17.97660255432129,35.327911376953125
200,12,2,200,200,639.027587890625,267.2521057128906,484.2714538574219,29.894916534423828,35.327911376953125
200,24,2,182,200,625.5765991210938,259.0177307128906,480.3478698730469,32.951210021972656,35.327911376953125
400,2,2,400,400,633.86572265625,262.4793395996094,482.4134521484375,30.830902099609375,35.327911376953125
400,6,2,334,394,626.173828125,258.6543884277344,481.3359375,32.92617416381836,35.327911376953125
400,12,2,231,291,625.3305053710938,258.9049377441406,480.3153991699219,32.98509979248047,35.327911376953125
400,24,2,182,242,625.5765991210938,259.0177307128906,480.3478698730469,32.951210021972656,35.327911376953125
500,2,2,451,500,626.5635986328125,258.71697998046875,481.60382080078125,32.89728927612305,35.327911376953125
500,6,2,334,394,626.173828125,258.6543884277344,481.3359375,32.92617416381836,35.327911376953125
500,12,2,231,291,625.3305053710938,258.9049377441406,480.3153991699219,32.98509979248047,35.327911376953125
500,24,2,182,242,625.5765991210938,259.0177307128906,480.3478698730469,32.951210021972656,35.327911376953125
1000,2,2,451,511,626.5635986328125,258.71697998046875,481.60382080078125,32.89728927612305,35.327911376953125
1000,6,2,334,394,626.173828125,258.6543884277344,481.3359375,32.92617416381836,35.327911376953125
1000,12,2,231,291,625.3305053710938,258.9049377441406,480.3153991699219,32.98509979248047,35.327911376953125
1000,24,2,182,242,625.5765991210938,259.0177307128906,480.3478698730469,32.951210021972656,35.327911376953125
