epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,100,100,1549.316650390625,1183.1883544921875,1332.6114501953125,0.622967541217804,35.327911376953125,3
100,6,6,100,100,1532.36669921875,1165.8978271484375,1316.317626953125,0.9085749387741089,35.327911376953125,3
100,12,6,100,100,1218.0634765625,844.1321411132812,1012.9286499023438,7.082156181335449,35.327911376953125,3
100,24,6,92,100,620.0748291015625,243.71315002441406,482.8587341308594,33.003849029541016,35.327911376953125,3
200,2,6,200,200,1527.6231689453125,1161.0579833984375,1311.7586669921875,0.9890018701553345,35.327911376953125,3
200,6,6,200,200,1479.0970458984375,1111.5360107421875,1265.1529541015625,1.8247156143188477,35.327911376953125,3
200,12,6,164,200,621.1998291015625,244.16539001464844,483.5318603515625,32.873680114746094,35.327911376953125,3
200,24,6,136,196,619.7468872070312,243.68968200683594,482.4034423828125,32.930030822753906,35.327911376953125,3
400,2,6,400,400,1433.1510009765625,1064.6192626953125,1221.0782470703125,2.6391425132751465,35.327911376953125,3
400,6,6,400,400,1216.5196533203125,842.962890625,1014.1338500976562,6.8549933433532715,35.327911376953125,3
400,12,6,164,224,621.1998291015625,244.16539001464844,483.5318603515625,32.873680114746094,35.327911376953125,3
400,24,6,136,196,619.7468872070312,243.68968200683594,482.4034423828125,32.930030822753906,35.327911376953125,3
500,2,6,500,500,1350.4481201171875,980.0934448242188,1141.8897705078125,4.168654441833496,35.327911376953125,3
500,6,6,500,500,1012.4365234375,633.1358032226562,821.1231079101562,11.673944473266602,35.327911376953125,3
500,12,6,164,224,621.1998291015625,244.16539001464844,483.5318603515625,32.873680114746094,35.327911376953125,3
500,24,6,136,196,619.7468872070312,243.68968200683594,482.4034423828125,32.930030822753906,35.327911376953125,3
1000,2,6,1000,1000,825.0245971679688,438.655029296875,647.3382568359375,17.604602813720703,35.327911376953125,3
1000,6,6,1000,1000,660.3887329101562,259.0968017578125,511.46832275390625,30.12398338317871,35.327911376953125,3
1000,12,6,164,224,621.1998291015625,244.16539001464844,483.5318603515625,32.873680114746094,35.327911376953125,3
1000,24,6,136,196,619.7468872070312,243.68968200683594,482.4034423828125,32.930030822753906,35.327911376953125,3
